synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
soil,,soil,soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,ENVO environmental material
sediment,,sediment,sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,ENVO environmental material
water,,water,water,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,approved,ENVO environmental material
wastewater,,wastewater,wastewater,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,ENVO environmental material
waste water,,waste water,waste water,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,spelling variant
seawater,,seawater,seawater,Environment_Medium_SD,seawater,seawater,environmental material,ENVO:00002149,dictionary,high,approved,ENVO environmental material
sea water,,sea water,sea water,Environment_Medium_SD,seawater,seawater,environmental material,ENVO:00002149,dictionary,high,approved,spelling variant
freshwater,,freshwater,freshwater,Environment_Medium_SD,freshwater,freshwater,environmental material,ENVO:00002011,dictionary,high,approved,ENVO environmental material
fresh water,,fresh water,fresh water,Environment_Medium_SD,freshwater,freshwater,environmental material,ENVO:00002011,dictionary,high,approved,spelling variant
environment,,environment,environment,Environment_Medium_SD,environmental sample,environmental sample,,ENVO:00010483,dictionary,high,approved,broad environmental sample
environmental,,environmental,environmental,Environment_Medium_SD,environmental sample,environmental sample,,ENVO:00010483,dictionary,high,approved,broad environmental sample
stool,,stool,stool,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,UBERON:0001988,dictionary,high,approved,sample material
feces,,feces,feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,UBERON:0001988,dictionary,high,approved,sample material
faeces,,faeces,faeces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,UBERON:0001988,dictionary,high,approved,spelling variant
fecal,,fecal,fecal,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,UBERON:0001988,dictionary,high,approved,sample material
faecal,,faecal,faecal,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,UBERON:0001988,dictionary,high,approved,spelling variant
stool swab,,stool swab,stool swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,approved,swab-derived feces/stool-associated sample
fecal swab,,fecal swab,fecal swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,approved,swab-derived feces/stool-associated sample
faecal swab,,faecal swab,faecal swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,approved,spelling variant
rectal swab,,rectal swab,rectal swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,needs_review,swab-derived feces/stool-associated sample; demoted duplicate conflict 2026-04-30; preferred=rectal/perianal swab
rectum swab,,rectum swab,rectum swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,needs_review,swab-derived feces/stool-associated sample; demoted duplicate conflict 2026-04-30; preferred=rectal/perianal swab
swab rectum,,swab rectum,swab rectum,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,needs_review,word-order variant; demoted duplicate conflict 2026-04-30; preferred=rectal/perianal swab
stool/rectal swab,,stool/rectal swab,stool rectal swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,approved,swab-derived feces/stool-associated sample
rectal swab/stool,,rectal swab/stool,rectal swab stool,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,approved,swab-derived feces/stool-associated sample
anal swab,,anal swab,anal swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,needs_review,swab-derived feces/stool-associated sample; demoted duplicate conflict 2026-04-30; preferred=rectal/perianal swab
perianal swab,,perianal swab,perianal swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,needs_review,swab-derived feces/stool-associated sample; demoted duplicate conflict 2026-04-30; preferred=rectal/perianal swab
perirectal swab,,perirectal swab,perirectal swab,Sample_Type_SD,feces/stool-associated swab,feces/stool-associated swab,feces/gut/intestinal material,,dictionary,high,needs_review,swab-derived feces/stool-associated sample; demoted duplicate conflict 2026-04-30; preferred=rectal/perianal swab
nasal swab,,nasal swab,nasal swab,Sample_Type_SD,nasal swab,nasal swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
nose swab,,nose swab,nose swab,Sample_Type_SD,nasal swab,nasal swab,clinical/host-associated material,,dictionary,high,approved,synonym
NP swab,,NP swab,np swab,Sample_Type_SD,nasopharyngeal swab,nasopharyngeal swab,clinical/host-associated material,,dictionary,high,approved,abbreviation
nasopharyngeal swab,,nasopharyngeal swab,nasopharyngeal swab,Sample_Type_SD,nasopharyngeal swab,nasopharyngeal swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
oropharyngeal swab,,oropharyngeal swab,oropharyngeal swab,Sample_Type_SD,oropharyngeal swab,oropharyngeal swab,clinical/host-associated material,,dictionary,high,needs_review,anatomical swab; demoted duplicate conflict 2026-04-30; preferred=oropharyngeal/throat swab
throat swab,,throat swab,throat swab,Sample_Type_SD,throat swab,throat swab,clinical/host-associated material,,dictionary,high,needs_review,anatomical swab; demoted duplicate conflict 2026-04-30; preferred=oropharyngeal/throat swab
wound swab,,wound swab,wound swab,Sample_Type_SD,wound swab,wound swab,clinical/host-associated material,,dictionary,high,needs_review,anatomical/clinical swab; demoted duplicate identical-key rule 2026-04-30
SWAB_WOUND,,SWAB_WOUND,swab wound,Sample_Type_SD,wound swab,wound swab,clinical/host-associated material,,dictionary,high,approved,format variant
pus swab,,pus swab,pus swab,Sample_Type_SD,wound/pus swab,wound/pus swab,clinical/host-associated material,,dictionary,high,approved,clinical swab
vaginal swab,,vaginal swab,vaginal swab,Sample_Type_SD,vaginal swab,vaginal swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
urethral swab,,urethral swab,urethral swab,Sample_Type_SD,urethral swab,urethral swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
cloacal swab,,cloacal swab,cloacal swab,Sample_Type_SD,cloacal swab,cloacal swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
skin swab,,skin swab,skin swab,Sample_Type_SD,skin swab,skin swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
ear swab,,ear swab,ear swab,Sample_Type_SD,ear swab,ear swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
eye swab,,eye swab,eye swab,Sample_Type_SD,eye swab,eye swab,clinical/host-associated material,,dictionary,high,approved,anatomical swab
