synonym,canonical,taxid,confidence,note
homosapiens,Homo sapiens,9606,high,spacing variant
homo sapien,Homo sapiens,9606,high,common singular variant
homo sapines,Homo sapiens,9606,high,common typo
sus scofa,Sus scrofa,9823,high,common typo
sus scofa domesticus,Sus scrofa domesticus,9825,high,common typo
oysters,Ostreidae,6563,medium,broad host group
shellfish,Mollusca,6447,medium,broad host/source group
wild bird,Aves,8782,medium,reviewed broad host group
Wild bird,Aves,8782,medium,capitalization variant
wild birds,Aves,8782,medium,reviewed broad host group
Wild birds,Aves,8782,medium,capitalization variant
bird,Aves,8782,medium,reviewed broad host group
Bird,Aves,8782,medium,capitalization variant
Birds,Aves,8782,medium,reviewed broad host group
Birds (Fowl),Aves,8782,medium,broad fowl/bird group
bird (Haussperling),Aves,8782,medium,broad bird with unresolved common name detail
Bird (Chicken),Gallus gallus,9031,medium,broad bird with chicken detail
Bird (Chicks),Gallus gallus,9031,medium,broad bird with chick detail
plant,Viridiplantae,33090,medium,reviewed broad host group
Plant,Viridiplantae,33090,medium,capitalization variant
plants,Viridiplantae,33090,medium,plural variant
Plants,Viridiplantae,33090,medium,capitalization variant
animals,Metazoa,33208,medium,reviewed broad host group
Animals,Metazoa,33208,medium,capitalization variant
reptile,Reptilia,8457,medium,reviewed broad host group
Reptile,Reptilia,8457,medium,capitalization variant
insect,Insecta,50557,medium,reviewed broad host group
Insect,Insecta,50557,medium,capitalization variant
Mammal,Mammalia,40674,medium,reviewed broad host group
mammal,Mammalia,40674,medium,capitalization variant
Mammal (Monkey),Primates,9443,medium,broad mammal with monkey detail
rodents,Rodentia,9989,medium,plural broad host group
Sporobolus alterniflorus,Sporobolus alterniflorus,29706,high,NCBI Taxonomy name2taxid reviewed import
Myodes glareolus,Myodes glareolus,447135,high,NCBI Taxonomy name2taxid reviewed import
Ifremeria nautilei,Ifremeria nautilei,71812,high,NCBI Taxonomy name2taxid reviewed import
Acmispon wrangelianus,Acmispon wrangelianus,118929,high,NCBI Taxonomy name2taxid reviewed import
Neotoma albigula,Neotoma albigula,42408,high,NCBI Taxonomy name2taxid reviewed import
Sargassum hemiphyllum,Sargassum hemiphyllum,127544,high,NCBI Taxonomy name2taxid reviewed import
Otaria byronia,Otaria byronia,161932,high,NCBI Taxonomy name2taxid reviewed import
Larus cachinnans,Larus cachinnans,119609,high,NCBI Taxonomy name2taxid reviewed import
Acmispon brachycarpus,Acmispon brachycarpus,390700,high,NCBI Taxonomy name2taxid reviewed import
Phascolarctos cinereus,Phascolarctos cinereus,38626,high,NCBI Taxonomy name2taxid reviewed import
Milvus milvus,Milvus milvus,43518,high,NCBI Taxonomy name2taxid reviewed import
Apis cerana,Apis cerana,7461,high,NCBI Taxonomy name2taxid reviewed import
Lathyrus oleraceus,Lathyrus oleraceus,3888,high,NCBI Taxonomy name2taxid reviewed import
Cervus elaphus,Cervus elaphus,9860,high,NCBI Taxonomy name2taxid reviewed import
Neogale vison,Neogale vison,452646,high,NCBI Taxonomy name2taxid reviewed import
Bos primigenius taurus,Bos primigenius taurus,9913,high,NCBI Taxonomy name2taxid reviewed import
Ixodes ricinus,Ixodes ricinus,34613,high,NCBI Taxonomy name2taxid reviewed import
Populus alba,Populus alba,43335,high,NCBI Taxonomy name2taxid reviewed import
Dermacentor nuttalli,Dermacentor nuttalli,1046038,high,NCBI Taxonomy name2taxid reviewed import
Brassica napus,Brassica napus,3708,high,NCBI Taxonomy name2taxid reviewed import
Pteropus poliocephalus,Pteropus poliocephalus,9403,high,NCBI Taxonomy name2taxid reviewed import
Pteropus livingstonii,Pteropus livingstonii,589508,high,NCBI Taxonomy name2taxid reviewed import
Larus michahellis,Larus michahellis,119627,high,NCBI Taxonomy name2taxid reviewed import
Diaphorina citri,Diaphorina citri,121845,high,NCBI Taxonomy name2taxid reviewed import
Arachis hypogaea,Arachis hypogaea,3818,high,NCBI Taxonomy name2taxid reviewed import
Vulpes zerda,Vulpes zerda,68732,high,NCBI Taxonomy name2taxid reviewed import
Coloeus monedula,Coloeus monedula,30423,high,NCBI Taxonomy name2taxid reviewed import
Agaricus bisporus,Agaricus bisporus,5341,high,NCBI Taxonomy name2taxid reviewed import
Ictalurus punctatus,Ictalurus punctatus,7998,high,NCBI Taxonomy name2taxid reviewed import
Apodemus agrarius,Apodemus agrarius,39030,high,NCBI Taxonomy name2taxid reviewed import
Marmota himalayana,Marmota himalayana,93163,high,NCBI Taxonomy name2taxid reviewed import
Vulpes lagopus,Vulpes lagopus,494514,high,NCBI Taxonomy name2taxid reviewed import
Alviniconcha boucheti,Alviniconcha boucheti,1491183,high,NCBI Taxonomy name2taxid reviewed import
