field	standardized_value	row_count	review_signal_type	recommended_action
Isolation_Source_SD	environmental material	26862	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	clinical/host-associated material	3187	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	wastewater/organic waste	212	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	mud	146	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Canada Basin,western Arctic Ocean	87	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	temperate grassland biome	78	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	salt crust	72	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	fetilized topsoil	69	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Northwest Arabian Sea Upwelling Province	53	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	South Atlantic Ocean	52	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	plant-associated material	50	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Mid-Cayman Rise Vent Fluids	50	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	basaltic crustal fluids	45	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	brine pool	41	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Richmond Mine C75 location	34	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	hydrothermal plume	33	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Rifle well FP-101 under low O2 conditions; 0.1 micron filter	33	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Rifle well FP-101 under high O2 conditions; 0.2 micron filter	29	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Yellowstone National Park, Wyoming, USA	29	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	hydrothermal vent deposit	28	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Helgoland LTER site	28	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Deep-sea hydrothermal vent chimney	25	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	deepsea hydrothermal sulfide chimney	24	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	subsurface aquifer	22	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Ruminal microbiome of Nelore	21	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Rifle well FP-101 under high O2 conditions; 0.1 micron filter	20	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Shengli oilfield at Shandong province	20	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	active black smoker DFF12	19	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	biomass from liquid digestate stored in the CSTR at the Surrey Biofuel Facility	17	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	AnMBR reactor	16	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Anaerobic reactor	16	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Saanich Inlet, British Columbia, Canada	16	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Alviso Ponds, San Francisco, CA, USA	16	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Monterey Bay, California, USA	14	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	culture	13	process_descriptor_in_source_field	review culture/process wording before source promotion
Isolation_Source_SD	Tropical Atlantic Ocean	13	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	salt mine	12	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	closed biodigester	12	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	bioreactor	12	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	poultry meat/product	12	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Richmond Mine C10 location	11	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Helgoland, North Sea, Atlantic Ocean	11	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Salt mine	10	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Rifle well CD01 at 16ft depth; 0.1 micron filter at time point B	10	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Microbial mat of gas chimney V59 from Kolumbo volcano	10	observed_standardized_value	no action in audit-only phase
