source_field	raw_value	row_count
Host	Homo sapiens	9
Host	Ovis aries	2
Host	Reticulitermes flavipes	2
Host	Laminaria	2
Host	Archispirostreptus gigas	2
Host	fish	1
Host	Paralvinella sp.	1
Host	cow rumen	1
Host	bovine	1
Host	Cui Henglin	1
Host	soil	1
Host	cow	1
Host	Metopus contortus	1
Host	Vombatus ursinus	1
Host	Petaurus gracilis	1
Host	Sus scrofa domesticus	1
Host	Henschoutedenia flexivitta	1
Host	Atopochetus caudulanus	1
Host	Anadenobolus monilicornis	1
Host	Eublaberus serranus	1
Host	Centrobolus splendidus	1
Host	Archimandrita tessellata	1
Isolation Source	sediment	68
Isolation Source	saline soil	23
Isolation Source	solar saltern	16
Isolation Source	salt	13
Isolation Source	salt lake	11
Isolation Source	marine solar saltern	9
Isolation Source	hot spring	8
Isolation Source	Salt mine	8
Isolation Source	marine sediment	7
Isolation Source	soil	6
Isolation Source	solar salt	6
Isolation Source	Hot spring in Mutnovsky Volcano	5
Isolation Source	Salt lake	5
Isolation Source	salt mine	4
Isolation Source	hydrothermal vent	4
Isolation Source	environmental sample	4
Isolation Source	coastal saline-alkali land	4
Isolation Source	gut content	4
Isolation Source	deep-sea hydrothermal vent	4
Isolation Source	Kulunda Steppe hypersaline lake	3
Isolation Source	fecal sample	3
Isolation Source	isolated from salted brown alga Laminaria	3
Isolation Source	water	3
Isolation Source	salt lake sediment	3
Isolation Source	saline-alkali soil	3
Isolation Source	aquaculture farm	3
Isolation Source	sediment and brine samples obtained from hypersaline lake	3
Isolation Source	human gut	3
Isolation Source	hot solfataric spring	2
Isolation Source	freshwater hot spring	2
Isolation Source	hot springs	2
Isolation Source	deep-sea sediment	2
Isolation Source	brine-seawater interface	2
Isolation Source	hindguts	2
Isolation Source	soda lake	2
Isolation Source	endorheic salt-lake	2
Isolation Source	inland saline soil	2
Isolation Source	salted brown alga Laminaria	2
Isolation Source	inland salt lake	2
Isolation Source	isolated from salted brown alga	2
Isolation Source	Salt Lake	2
Isolation Source	tidal flat	2
Isolation Source	hypersaline soil	2
Isolation Source	the red brine of salted Laminaria	2
Isolation Source	gobi saline soil	2
Isolation Source	commercial salt	2
Isolation Source	hypersaline soda lake	2
Isolation Source	Zhoushan marine solar saltern	2
Isolation Source	groundwater	2
Isolation Source	Estuarine environment	2
Sample Type	cell culture	261
Sample Type	pure culture	33
Sample Type	cell cuture	25
Sample Type	whole organism	19
Sample Type	pure isolate	14
Sample Type	Cell culture	13
Sample Type	clonal isolate	10
Sample Type	strain	10
Sample Type	single cell	9
Sample Type	saline water	6
Sample Type	Saline soil	4
Sample Type	Salt lake	4
Sample Type	brine water	3
Sample Type	Mixed culture	3
Sample Type	sediment sample	3
Sample Type	mixed culture	3
Sample Type	Saline Water	3
Sample Type	monoisolate	2
Sample Type	Sediment	2
Sample Type	Single cell	2
Sample Type	Cell Culture	2
Sample Type	Genomic DNA	2
Sample Type	Haloarchaeal cells	2
