count,field,value,recommended_action
196,Isolation_Source_SD,cxwnd,route to controlled category or manual_review
193,Isolation_Source_SD,OT,route to controlled category or manual_review
146,Isolation_Source_SD,derived from the strain Pseudomonas aeruginosa ATCC 27853,route to controlled category or manual_review
114,Isolation_Source_SD,L_index,route to controlled category or manual_review
107,Isolation_Source_SD,L_cheek,route to controlled category or manual_review
105,Isolation_Source_SD,Facility 4,route to controlled category or manual_review
104,Isolation_Source_SD,doxycycline resistant derivatives of parent strain ATCC 14579,route to controlled category or manual_review
101,Isolation_Source_SD,R_palm,route to controlled category or manual_review
97,Isolation_Source_SD,Facility 3,route to controlled category or manual_review
96,Isolation_Source_SD,R_index,route to controlled category or manual_review
94,Isolation_Source_SD,parent strain Bacillus Cereus ATCC 14579 exposed to ciprofloxacin,route to controlled category or manual_review
92,Isolation_Source_SD,L_palm,route to controlled category or manual_review
91,Isolation_Source_SD,Facility F,route to controlled category or manual_review
83,Isolation_Source_SD,Facility E,route to controlled category or manual_review
81,Isolation_Source_SD,Isolated clone,route to controlled category or manual_review
80,Isolation_Source_SD,ROAR,route to controlled category or manual_review
80,Isolation_Source_SD,CIPA,route to controlled category or manual_review
80,Isolation_Source_SD,R_cheek,route to controlled category or manual_review
79,Isolation_Source_SD,HCW Hand,route to controlled category or manual_review
77,Isolation_Source_SD,Isolated Organism,route to controlled category or manual_review
75,Isolation_Source_SD,derived from the parent strain Pseudomonas aeruginosa 39648-20,route to controlled category or manual_review
65,Isolation_Source_SD,#REF!,route to controlled category or manual_review
63,Isolation_Source_SD,ESBA,route to controlled category or manual_review
63,Isolation_Source_SD,BK,route to controlled category or manual_review
63,Isolation_Source_SD,O,route to controlled category or manual_review
60,Isolation_Source_SD,Facility 2,route to controlled category or manual_review
55,Isolation_Source_SD,derived from the strain Pseudomonas aeruginosa 1202,route to controlled category or manual_review
54,Isolation_Source_SD,Facility A,route to controlled category or manual_review
53,Isolation_Source_SD,Facility 1,route to controlled category or manual_review
52,Isolation_Source_SD,Facility 6,route to controlled category or manual_review
50,Isolation_Source_SD,bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles,route to controlled category or manual_review
39,Isolation_Source_SD,anaerobic dechlorinating bioreactor; SDC-9 consortium maintain in serum bottles and exposed to biochar pyrolyzed at different temperatures,route to controlled category or manual_review
34,Isolation_Source_SD,Facility K,route to controlled category or manual_review
32,Isolation_Source_SD,Facility 5,route to controlled category or manual_review
31,Isolation_Source_SD,Facility J,route to controlled category or manual_review
27,Isolation_Source_SD,Facility G,route to controlled category or manual_review
23,Isolation_Source_SD,Facility D,route to controlled category or manual_review
22,Isolation_Source_SD,Facility L,route to controlled category or manual_review
20,Isolation_Source_SD,Facility I,route to controlled category or manual_review
20,Isolation_Source_SD,Facility B,route to controlled category or manual_review
15,Isolation_Source_SD,Facility H,route to controlled category or manual_review
