metric,value
latest_audit_timestamp,20260505_040746
git_commit,b25e90ea62c609ab51b6fb5d3300d7cc1356e51e
git_branch,main
docker_image_tag,unknown
code_version,b25e90ea62c6
worker_state,not_checked_by_audit
files_scanned,5066
rows_scanned,2598486
file_errors,0
unique_isolation_source_broad_values,42
noisy_isolation_source_broad_values,0
noisy_isolation_source_broad_rows,0
body_site_leakage_values,0
disease_leakage_values,0
raw_code_leakage_values,0
controlled_category_total_rows,7305
controlled_category_approved_rows,7199
controlled_category_duplicate_keys,0
controlled_category_conflict_keys,0
controlled_category_suspicious_rows,20
regression_status,passed
regression_tests_run,8
regression_tests_failed,0
