collection_year,assembly_count
2019,285382
2018,264204
2021,221314
2020,209459
2017,192029
2022,191676
2023,183923
2016,160726
2015,126798
2024,116137
2014,101855
2025,80289
2013,71392
2012,59065
2011,49784
2010,46817
2009,37241
2008,25402
2026,20410
2007,19525
2006,16607
2005,12064
2004,11024
2003,9447
2002,7753
2001,7744
2000,5835
1999,4105
1998,3172
1997,2531
1996,2405
1995,2108
1994,1931
1993,1886
1990,1617
1991,1504
1986,1428
1992,1337
1985,1284
1988,1186
1982,1123
1987,1093
1981,961
1989,956
1980,954
1983,875
1984,832
1900,824
1972,705
1950,603
1979,585
1975,563
1959,550
1976,525
1960,516
1964,511
1961,504
1977,502
1978,487
1970,476
1965,449
1966,442
1967,428
1958,362
1963,353
1968,337
1971,337
1974,335
1957,330
1973,328
1951,315
1955,299
1962,299
1952,293
1969,242
1948,239
1954,214
1905,202
1953,200
1956,167
1949,84
1947,77
1941,62
1942,59
1946,52
1929,49
1944,46
1945,45
1938,40
1935,37
1918,33
1937,32
1939,32
1930,31
1931,29
1940,29
1943,28
1934,27
1932,24
1917,23
1936,21
1922,18
1916,17
1924,16
1933,16
1928,13
1925,11
1920,10
1921,10
1919,9
1911,8
1912,8
1923,7
1926,7
1927,7
1901,6
1914,5
1915,5
1906,4
1909,4
1908,3
1913,3
1902,1
1903,1
1904,1
1910,1
