raw_country,assembly_count
missing: third party data,557
missing: sample group,495
Not Determined,336
restricted access,226
not determined,206
Restricted Access,163
Hospital,12
"Newry, Northern Ireland",8
Turks And Caicos Islands,7
"Enniskillen, Northern Ireland",5
Kela,5
"Armagh, Northern Ireland",4
Ross Sea,3
Saint Martin,3
Beijing,2
Catherine Booth,2
Church Of Scotland,2
Inp,2
Jaco Summit,2
M3 Tb Hospital,2
Metropolitan France,2
Siloah Clinic,2
St Margaret'S Hospital,2
"85¡ 56' 39.1"""" W",1
"85¡ 56' 6.5"""" W",1
Ardley Cove£¬Fildes Peninsula,1
Borneo,1
Calgary [Canada],1
"Caraz, Ancash",1
Central Arctic Ocean/Eurasian Basin,1
Christ The King Hospital,1
Chwezi Clinic,1
Cook Islands,1
Dd,1
Dundee Hospital,1
Ethembeni Clinic,1
France And Algeria,1
Goodwins Clinic,1
Java,1
Kurdistan,1
Mexica,1
"Miers Valley, Mcmurdo Region, East Antarctica",1
Not Recorded,1
Not determined,1
"Ollantaytambo, Cuzco",1
"Osindisweni Hospital - Occ Health, Staff Clinic",1
Outpatient,1
"San Pedro, Caraz, Ancash",1
Serbia And Montenegro,1
Spratly Islands,1
St Margaret'S Tb Hospital,1
Stanger Hospital,1
Suburb Of Beijing,1
The Netherland,1
Tokyo,1
Unspecified,1
missing: control sample,1
