country,continent,subcontinent
Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
American Samoa,Oceania,Polynesia
Andorra,Europe,Southern Europe
Angola,Africa,Middle Africa
Antarctica,Antarctica,Antarctica
Antigua and Barbuda,North America,Caribbean
Arctic Ocean,Marine,Ocean
Argentina,South America,South America
Armenia,Asia,Western Asia
Atlantic Ocean,Marine,Ocean
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,North America,Caribbean
Bahrain,Asia,Western Asia
Baltic Sea,Marine,Sea
Bangladesh,Asia,Southern Asia
Barbados,North America,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,North America,Central America
Benin,Africa,Western Africa
Bermuda,North America,Northern America
Bhutan,Asia,Southern Asia
Bolivia,South America,South America
Bosnia and Herzegovina,Europe,Southern Europe
Botswana,Africa,Southern Africa
Brazil,South America,South America
Brunei,Asia,South-Eastern Asia
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Western Africa
Burundi,Africa,Eastern Africa
Cabo Verde,Africa,Western Africa
Cambodia,Asia,South-Eastern Asia
Cameroon,Africa,Middle Africa
Canada,North America,Northern America
Cayman Islands,North America,Caribbean
Central African Republic,Africa,Middle Africa
Chad,Africa,Middle Africa
Chile,South America,South America
China,Asia,Eastern Asia
Christmas Island,Oceania,Australia and New Zealand
Colombia,South America,South America
Comoros,Africa,Eastern Africa
Congo,Africa,Middle Africa
Costa Rica,North America,Central America
Croatia,Europe,Southern Europe
Cuba,North America,Caribbean
Curacao,North America,Caribbean
Cyprus,Asia,Western Asia
Czech Republic,Europe,Eastern Europe
Czechoslovakia,Europe,Eastern Europe
Democratic Republic of the Congo,Africa,Middle Africa
Denmark,Europe,Northern Europe
Djibouti,Africa,Eastern Africa
Dominica,North America,Caribbean
Dominican Republic,North America,Caribbean
Ecuador,South America,South America
Egypt,Africa,Northern Africa
El Salvador,North America,Central America
Equatorial Guinea,Africa,Middle Africa
Eritrea,Africa,Eastern Africa
Estonia,Europe,Northern Europe
Eswatini,Africa,Southern Africa
Ethiopia,Africa,Eastern Africa
Faroe Islands,Europe,Northern Europe
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
French Guiana,South America,South America
French Polynesia,Oceania,Polynesia
Gabon,Africa,Middle Africa
Gambia,Africa,Western Africa
Georgia,Asia,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Western Africa
Greece,Europe,Southern Europe
Greenland,North America,Northern America
Grenada,North America,Caribbean
Guadeloupe,North America,Caribbean
Guam,Oceania,Micronesia
Guatemala,North America,Central America
Guinea,Africa,Western Africa
Guinea-Bissau,Africa,Western Africa
Guyana,South America,South America
Haiti,North America,Caribbean
Honduras,North America,Central America
Hong Kong,Asia,Eastern Asia
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indian Ocean,Marine,Ocean
Indonesia,Asia,South-Eastern Asia
Iran,Asia,Southern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Ivory Coast,Africa,Western Africa
Jamaica,North America,Caribbean
Japan,Asia,Eastern Asia
Jersey,Europe,Northern Europe
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Eastern Africa
Kiribati,Oceania,Micronesia
Kosovo,Europe,Southern Europe
Kuwait,Asia,Western Asia
Kyrgyzstan,Asia,Central Asia
Laos,Asia,South-Eastern Asia
Latvia,Europe,Northern Europe
Lebanon,Asia,Western Asia
Lesotho,Africa,Southern Africa
Liberia,Africa,Western Africa
Libya,Africa,Northern Africa
Liechtenstein,Europe,Western Europe
Line Islands,Oceania,Polynesia
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Macau,Asia,Eastern Asia
Madagascar,Africa,Eastern Africa
Malawi,Africa,Eastern Africa
Malaysia,Asia,South-Eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Western Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
Martinique,North America,Caribbean
Mauritania,Africa,Western Africa
Mauritius,Africa,Eastern Africa
Mayotte,Africa,Eastern Africa
Mediterranean Sea,Marine,Sea
Mexico,North America,Central America
Micronesia,Oceania,Micronesia
Moldova,Europe,Eastern Europe
Monaco,Europe,Western Europe
Mongolia,Asia,Eastern Asia
Montenegro,Europe,Southern Europe
Montserrat,North America,Caribbean
Morocco,Africa,Northern Africa
Mozambique,Africa,Eastern Africa
Myanmar,Asia,South-eastern Asia
Namibia,Africa,Southern Africa
Nauru,Oceania,Micronesia
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
New Caledonia,Oceania,Melanesia
New Zealand,Oceania,Australia and New Zealand
Nicaragua,North America,Central America
Niger,Africa,Western Africa
Nigeria,Africa,Western Africa
North Korea,Asia,Eastern Asia
North Macedonia,Europe,Southern Europe
North Sea,Marine,Sea
Northern Asia,Asia,Northern Asia
Northern Mariana Islands,Oceania,Micronesia
Norway,Europe,Northern Europe
Oman,Asia,Western Asia
Pacific Ocean,Marine,Ocean
Pakistan,Asia,Southern Asia
Palau,Oceania,Micronesia
Palestine,Asia,Western Asia
Palmyra Atoll,Oceania,Polynesia
Panama,North America,Central America
Papua New Guinea,Oceania,Melanesia
Paraguay,South America,South America
Peru,South America,South America
Philippines,Asia,South-Eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Puerto Rico,North America,Caribbean
Qatar,Asia,Western Asia
Republic of the Congo,Africa,Middle Africa
Reunion,Africa,Eastern Africa
Romania,Europe,Eastern Europe
Russia,Asia,Northern Asia
Rwanda,Africa,Eastern Africa
Saint Kitts and Nevis,North America,Caribbean
Saint Lucia,North America,Caribbean
Saint Vincent and the Grenadines,North America,Caribbean
Samoa,Oceania,Polynesia
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Middle Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Western Africa
Serbia,Europe,Southern Europe
Seychelles,Africa,Eastern Africa
Sierra Leone,Africa,Western Africa
Singapore,Asia,South-Eastern Asia
Sint Maarten,North America,Caribbean
Slovakia,Europe,Eastern Europe
Slovenia,Europe,Southern Europe
Solomon Islands,Oceania,Melanesia
Somalia,Africa,Eastern Africa
South Africa,Africa,Southern Africa
South Georgia and the South Sandwich Islands,South America,South America
South Korea,Asia,Eastern Asia
South Sudan,Africa,Eastern Africa
Southern Ocean,Marine,Ocean
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
Sudan,Africa,Northern Africa
Suriname,South America,South America
Svalbard,Europe,Northern Europe
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Syria,Asia,Western Asia
Taiwan,Asia,Eastern Asia
Tajikistan,Asia,Central Asia
Tanzania,Africa,Eastern Africa
Tasman Sea,Marine,Sea
Thailand,Asia,South-Eastern Asia
Timor-Leste,Asia,South-eastern Asia
Togo,Africa,Western Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,North America,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Turkmenistan,Asia,Central Asia
Tuvalu,Oceania,Polynesia
Uganda,Africa,Eastern Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Western Asia
United Kingdom,Europe,Northern Europe
United States,North America,Northern America
Uruguay,South America,South America
Uzbekistan,Asia,Central Asia
Vanuatu,Oceania,Melanesia
Vatican City,Europe,Southern Europe
Venezuela,South America,South America
Vietnam,Asia,South-Eastern Asia
Virgin Islands,North America,Caribbean
Yemen,Asia,Western Asia
Yugoslavia,Europe,Southern Europe
Zambia,Africa,Eastern Africa
Zimbabwe,Africa,Eastern Africa
