country,assembly_count
United States,1151210
China,318412
United Kingdom,223697
Australia,102008
Canada,81628
Denmark,61856
Germany,61667
France,39969
Japan,38768
Netherlands,29043
Spain,27583
Switzerland,25243
Pacific Ocean,23407
Brazil,22979
Singapore,22721
Italy,21834
India,20791
New Zealand,20067
Czech Republic,19569
Sweden,19534
South Africa,19393
Norway,19177
South Korea,15401
Thailand,14300
Mexico,14236
Russia,14206
Atlantic Ocean,14115
Chile,12531
Ireland,10907
Kenya,10509
Belgium,10206
Bangladesh,9899
Antarctica,9441
Finland,9426
Saudi Arabia,8865
Israel,8065
Austria,7451
Tanzania,7337
Peru,7265
Malawi,7202
Taiwan,6949
Poland,6575
Vietnam,6235
Portugal,5432
Arctic Ocean,4822
Ecuador,4589
Hong Kong,4477
Malaysia,4283
Turkey,4237
Pakistan,4108
Slovenia,4057
Colombia,3865
Nigeria,3818
Ethiopia,3797
Uganda,3726
Argentina,3548
Iceland,3346
Fiji,3262
Indonesia,3040
Greece,2945
Ghana,2917
Gambia,2828
Cambodia,2713
Hungary,2606
Baltic Sea,2503
Burkina Faso,2481
Iran,2401
Indian Ocean,2363
Nepal,2276
Mozambique,2266
Ivory Coast,2168
Lebanon,2083
Democratic Republic of the Congo,1924
Slovakia,1923
Costa Rica,1863
Egypt,1813
Lithuania,1722
Romania,1641
Tunisia,1595
Greenland,1519
Bulgaria,1305
Ukraine,1276
Estonia,1273
Puerto Rico,1272
North Sea,1255
Central African Republic,1241
Latvia,1153
Myanmar,1134
Croatia,1100
Madagascar,1042
Cameroon,1022
Guadeloupe,998
Botswana,995
Qatar,975
Panama,965
Mediterranean Sea,892
Samoa,866
Philippines,857
Serbia,844
United Arab Emirates,843
Senegal,834
Laos,800
Venezuela,751
Jordan,739
Haiti,722
Niger,705
Mali,675
Georgia,636
Algeria,619
Paraguay,619
Uruguay,615
Sri Lanka,599
Belarus,584
Zambia,559
Kuwait,556
Morocco,554
Kazakhstan,543
French Guiana,525
Luxembourg,466
Benin,464
Mongolia,458
Rwanda,445
Republic of the Congo,402
Papua New Guinea,380
Svalbard,366
Gabon,357
Sudan,343
Reunion,341
Guatemala,337
Trinidad and Tobago,337
Kyrgyzstan,332
Oman,321
Zimbabwe,321
Cyprus,317
Togo,311
Dominican Republic,305
Guyana,279
North Korea,270
Belize,256
Montenegro,244
Namibia,244
Cuba,240
Iraq,240
Bolivia,224
Palestine,223
Moldova,217
Uzbekistan,211
New Caledonia,208
Honduras,205
Tonga,197
Afghanistan,190
Jersey,170
Southern Ocean,165
Guam,163
Kosovo,151
Mauritius,151
Maldives,130
French Polynesia,126
Comoros,121
Cabo Verde,120
Sao Tome and Principe,112
Bahamas,103
Saint Kitts and Nevis,103
Northern Asia,91
Mayotte,89
Guinea,86
Jamaica,80
Grenada,78
Armenia,77
Djibouti,75
Bahrain,68
Albania,67
Christmas Island,62
Sierra Leone,57
Cayman Islands,54
Turkmenistan,53
Somalia,52
Curacao,50
Bosnia and Herzegovina,48
Malta,47
Syria,47
Azerbaijan,45
Martinique,45
Chad,43
Suriname,43
El Salvador,41
Nicaragua,40
Angola,39
Saint Lucia,39
Barbados,35
Libya,34
Bermuda,33
Tajikistan,32
Solomon Islands,30
Guinea-Bissau,29
Palau,29
Yugoslavia,23
Eritrea,22
Micronesia,22
Seychelles,22
Czechoslovakia,19
Burundi,18
Eswatini,16
Mauritania,13
Tasman Sea,13
Faroe Islands,12
Vanuatu,12
Liberia,11
Palmyra Atoll,11
Virgin Islands,11
American Samoa,10
Line Islands,10
North Macedonia,10
South Sudan,10
Kiribati,8
Yemen,8
Congo,7
Montserrat,6
Northern Mariana Islands,6
Bhutan,5
Equatorial Guinea,5
Liechtenstein,5
South Georgia and the South Sandwich Islands,4
Brunei,2
Dominica,2
Lesotho,2
Macau,2
Timor-Leste,2
Marshall Islands,1
Sint Maarten,1
