subcontinent,assembly_count
Northern America,1234390
Eastern Asia,384737
Northern Europe,352639
Western Europe,174050
Australia and New Zealand,122137
Southern Europe,64385
South America,57837
South-Eastern Asia,54951
Ocean,44872
Southern Asia,40399
Eastern Africa,38105
Eastern Europe,35715
Western Asia,28345
Southern Africa,20650
Central America,17943
Western Africa,17517
Northern Asia,14297
Antarctica,9441
Middle Africa,5152
Northern Africa,4958
Sea,4663
Caribbean,4481
Melanesia,3892
Polynesia,1220
Central Asia,1171
South-eastern Asia,1136
Micronesia,229
