field	standardized_value	semantic_class	row_count	reason	proposed_destination
Isolation_Source_SD_Broad	plant-associated material	host_context	17656	Broad source category mixes non-source semantic classes; document or migrate.	Host_Context_SD
Isolation_Source_SD_Broad	clinical fluid/material	sample_material	9023	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Type_SD
Isolation_Source_SD_Broad	water	environment_medium	5148	Broad source category mixes non-source semantic classes; document or migrate.	Environment_Medium_SD
Isolation_Source_SD_Broad	wastewater/organic waste	environment_medium	3760	Broad source category mixes non-source semantic classes; document or migrate.	Environment_Medium_SD
Isolation_Source_SD_Broad	environmental/geologic material	unresolved	2831	Broad source category mixes non-source semantic classes; document or migrate.	admin_review
Isolation_Source_SD_Broad	culture	sample_processing	1041	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Processing_SD
Isolation_Source_SD_Broad	feces/stool	sample_material	343	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Type_SD
Isolation_Source_SD_Broad	culture/isolate	sample_processing	158	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Processing_SD
Isolation_Source_SD_Broad	tissue	sample_material	44	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Type_SD
Isolation_Source_SD_Broad	swab	collection_device	12	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Collection_Device_SD
Isolation_Source_SD_Broad	cloacal sample	metadata_descriptor	9	Broad source category mixes non-source semantic classes; document or migrate.	suppress/provenance only
Isolation_Source_SD_Broad	animal tissue/site	sample_material	6	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Type_SD
Isolation_Source_SD_Broad	molecular extract	sample_processing	3	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Processing_SD
Isolation_Source_SD_Broad	medical device	unresolved	2	Broad source category mixes non-source semantic classes; document or migrate.	admin_review
Isolation_Source_SD_Broad	sample	metadata_descriptor	2	Broad source category mixes non-source semantic classes; document or migrate.	suppress/provenance only
Isolation_Source_SD_Broad	upper respiratory tract	anatomical_site	2	Broad source category mixes non-source semantic classes; document or migrate.	Host_Anatomical_Site_SD
Isolation_Source_SD_Broad	culture medium	sample_processing	1	Broad source category mixes non-source semantic classes; document or migrate.	Sample_Processing_SD
