assembly_accession	biosample	organism	review_value	Host_SD	Host_Context_SD	before_Isolation_Site_SD	after_Isolation_Site_SD	after_Sample_Material_SD	after_Sample_Collection_Device_SD	after_Host_Context_SD	after_Sampling_Context_SD	evidence_failures	conflicts
GCA_002174925.1	SAMN06197051	Pseudomonas syringae pv. actinidiae	plant-associated material	Actinidia chinensis var. chinensis		plant-associated material		plant material		plant-associated	plant-associated	[]	[]
GCA_002221455.1	SAMN07171768	Methylobacterium radiotolerans	plant-associated material	Combretum erythrophyllum		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_011602315.1	SAMN14299348	Micromonospora sp. CMU55-4	plant-associated material	Campylopus involutus		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_947085915.1	SAMEA111451388	uncultured Parcubacteria group bacterium	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_046549355.1	SAMN16788664	Streptomyces sp. 030-HV	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_002574755.1	SAMN07598172	Bacillus anthracis	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_002586275.1	SAMN07597796	Bacillus cereus	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_025136135.1	SAMN07156305	Clostridioides difficile	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_023278305.1	SAMN18451302	Bacillus velezensis	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_052497575.1	SAMN50796169	Paenibacillus polymyxa	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_003992955.1	SAMN09009258	Xanthomonas vesicatoria	plant-associated material	Solanum lycopersicum		plant-associated material		plant material		plant-associated	plant-associated	[]	[]
GCA_002554755.1	SAMN07597500	Bacillus toyonensis	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_056846615.1	SAMN47254572	Xanthomonas citri pv. citri	plant-associated material	Citrus		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
GCA_046549365.1	SAMN16788666	Streptomyces sp. 049-1	plant-associated material	Viridiplantae		plant-associated material				plant-associated	plant-associated	"[{""condition"":""plant_material_evidence"",""evidence"":""plant_material_evidence=false"",""field"":""Sample_Material_SD"",""rule_id"":""PH2A-SITE-PLANT-SAMPLE-MATERIAL"",""value"":""plant material""}]"	[]
