assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_001010665.1	SAMN02581418	Aliarcobacter butzleri L350	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported			feces/stool
GCA_014295275.1	SAMN15693146	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_018389265.1	SAMN04441124	Lactobacillus paragasseri	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_029694205.1	SAMN32614600	Bacillus anthracis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Capra hircus	9925		diseased	diseased		poultry meat/product	chicken carcass
GCA_029693425.1	SAMN32614569	Bacillus anthracis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos indicus	9915		diseased	diseased		poultry meat/product	chicken carcass
GCA_001481485.1	SAMN04348604	Streptococcus equinus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_052656135.1	SAMN51229358	Pectobacterium brasiliense	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				diseased	diseased	plant stem	plant-associated material	
GCA_018905675.1	SAMEA5849327	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_025599085.1	SAMN31021824	Hominibacterium faecale	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	culture
GCA_033330225.1	SAMN33700744	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_056050555.1	SAMN23709809	Haemophilus influenzae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasal cavity/sinus/upper respiratory tract	clinical/host-associated material	
GCA_051897375.1	SAMN45100519	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_018337435.1	SAMN15150492	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_051905555.1	SAMN49991574	Pseudomonas syringae	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				diseased	diseased		clinical/host-associated material	
GCA_003181895.1	SAMN07326161	Clostridium perfringens	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported		cloacal swab	
GCA_024599935.1	SAMN28230540	Clostridium perfringens	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Canis lupus familiaris	9615		healthy	healthy/no disease reported		clinical/host-associated material	mixed culture
GCA_030373825.1	SAMN34359389	Ligilactobacillus agilis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_043364295.1	SAMN40642688	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Canis lupus familiaris	9615		healthy	healthy/no disease reported		eces	
GCA_037031405.1	SAMN38909322	Fusobacterium polymorphum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		Lateral Border Tongue	
GCA_044989685.1	SAMN44656897	Glaesserella parasuis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Sus scrofa	9823		diseased	diseased			cell culture
GCA_046639425.1	SAMN45032189	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_030371355.1	SAMN34359432	Limosilactobacillus vaginalis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_030371425.1	SAMN34359475	Succinatimonas hippei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_030372265.1	SAMN34359451	Mediterraneibacter glycyrrhizinilyticus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_024451285.1	SAMN29831214	Enterobacter cloacae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_024451425.1	SAMN29831207	Enterobacter cloacae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_018906815.1	SAMEA5849349	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_900640185.1	SAMEA5198084	Legionella sainthelensi	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_050875195.1	SAMN48819329	Aeromonas veronii	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Oreochromis niloticus	8128		diseased	diseased		clinical/host-associated material	culture
GCA_001916255.1	SAMN05717260	Coprobacillus sp. CAG:235_29_27	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_001916835.1	SAMN05717288	Oscillibacter sp. 57_20	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_000737165.1	SAMN02894447	Yersinia ruckeri	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Salmo salar	8030		diseased	diseased	organ/tissue site	environmental material	
GCA_029383955.1	SAMD00467480	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	
GCA_904853585.1	SAMEA7048992	Burkholderia multivorans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported		blood	
GCA_018962075.1	SAMEA7030908	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_026157965.1	SAMN30260669	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_026159355.1	SAMN30260626	Streptococcus mitis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	blood
