assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_012365355.1	SAMN07781719	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_030271535.1	SAMN32648606	Nocardiopsis sp. ATB16-24	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=compost; proposed=agricultural organic material	Mammalia	40674				manure	clinical/host-associated material	cell culture
GCA_057611335.1	SAMN50509720	Hominicoprocola fusiformis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_001512545.1	SAMN03777436	Clostridia bacterium DTU065	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=wastewater; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_001512945.1	SAMN03778992	Clostridiales bacterium DTU023	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=wastewater; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_964508185.1	SAMEA117305307	uncultured Sphingomonadales bacterium	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure		
GCA_013361755.1	SAMN14571733	Sinomonas sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	
GCA_000736455.1	SAMN02911820	Staphylococcus aureus	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=true	existing_different	existing nonblank destination preserved per merge policy; existing=microbial self/lab culture descriptor; proposed=human-associated	Homo sapiens	9606	microbial self/lab culture descriptor	patient	sepsis/bacteremia		environmental material	laboratory
GCA_054956715.1	SAMN55022342	Exiguobacterium sp. EF_C8	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Anser anser	8843				manure	environmental material	culture
GCA_056648225.1	SAMN56814150	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
