assembly_accession	biosample	organism	Host_SD	Host_TaxID	raw_host	human_evidence	nonhuman_host_evidence	clinical_subject_evidence	environment_only_context	before_Host_Health_State_SD	after_Host_Health_State_SD	after_Host_Context_SD	after_Sampling_Context_SD	conditional_assignment_skips	removal_provenance
GCA_020420125.1	SAMN21855348	Burkholderia sp. AU30280	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Host Disease"",""source_raw_value"":""CF patient""}]"
GCA_020420265.1	SAMN21855337	Burkholderia cepacia	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Host Disease"",""source_raw_value"":""CF patient""}]"
GCA_023907655.1	SAMN11339157	Pseudomonas aeruginosa	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Isolation Source"",""source_raw_value"":""pulmonary sample from from cystic fibrosis patient""}]"
GCA_022523325.1	SAMN25989831	Klebsiella pneumoniae	Homo sapiens	9606	patient	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Host"",""source_raw_value"":""patient""}]"
GCA_025195785.1	SAMN15461158	Elizabethkingia anophelis	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Isolation Source"",""source_raw_value"":""Clinical isolate from patient""}]"
GCA_030290935.1	SAMN32360804	Staphylococcus aureus	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Isolation Source"",""source_raw_value"":""Patient Sinus Swab""}]"
GCA_028536015.1	SAMEA7997398	Staphylococcus aureus	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Isolation Source"",""source_raw_value"":""Patient visiting Queen Elizabeth Central Hospital, Blantyre""}]"
GCA_000736455.1	SAMN02911820	Staphylococcus aureus	Homo sapiens	9606	unknown	true	false	true	false	patient		microbial self/lab culture descriptor	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":""existing nonblank destination preserved per merge policy; existing=microbial self/lab culture descriptor; proposed=human-associated"",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""existing_different"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Host_Original"",""source_raw_value"":""strain HG003 was generated by Silvia Herbert in 2010 in the Microbial Genetics department of University of Tubingen, Germany; Herbert received the parental strain NCTC8325 from Richard Novick (NYU Langone Medical Center); parental strain NCTC8325 was isolated in 1960 from a sepsis patient at Colindale, Central Public Health Laboratory, London, UK""}]"
GCA_001609345.1	SAMN04358135	Vibrio parahaemolyticus	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Isolation Source"",""source_raw_value"":""clinical sample from patient with gastroenteritis""}]"
GCA_003839685.1	SAMN07423929	Pseudomonas aeruginosa	Homo sapiens	9606	Homo sapiens	true	false	true	false	patient		human-associated	clinical subject	[]	"[{""cleared_companion_fields"":[{""field"":""Host_Health_State_SD_Detail"",""is_primary"":""false"",""previous_value"":""patient""},{""field"":""Host_Health_State_SD_Method"",""is_primary"":""false"",""previous_value"":""context_dictionary""}],""cleared_field"":""Host_Health_State_SD"",""destination_outcomes"":[{""condition"":""always"",""detail"":""no destination for clear-only rule"",""evidence"":""clear_only_rule=true"",""field"":"""",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""status"":""clear_only"",""value"":""""},{""condition"":""clinical_subject_evidence"",""detail"":"""",""evidence"":""clinical_subject_evidence=true"",""field"":""Sampling_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-SAMPLING"",""status"":""applied"",""value"":""clinical subject""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""PH2A-HHS-PATIENT-HUMAN-CONTEXT"",""status"":""applied"",""value"":""human-associated""}],""destination_status"":""destination_recorded"",""method"":""semantic_phase2a_dry_run"",""previous_value"":""patient"",""reason"":""patient is not a health state; clear only unless subject evidence supports destination context"",""removal_confidence"":""high"",""rule_id"":""PH2A-HHS-PATIENT-CLEAR"",""ruleset_version"":""semantic_phase2a_confirmed_rules_v2"",""source_audit_commit"":""fea41b9430bcf245ce7052b503135316a1a255a2"",""source_raw_field"":""Isolation Source"",""source_raw_value"":""sputum of adult cystic fibrosis patient""}]"
