field	before_present_rows	after_present_rows	delta
Sample_Material_SD	0	12720	12720
Sampling_Context_SD	0	8765	8765
Sample_Processing_SD	0	0	0
Sample_Collection_Device_SD	0	0	0
Sample_Collection_Method_SD	0	0	0
Sample_Entity_SD	0	0	0
Data_Product_SD	0	0	0
Host_Anatomical_Material_SD	0	7909	7909
Host_Study_Group_SD	0	0	0
Host_Hospitalization_Status_SD	0	1680	1680
Host_Care_Setting_SD	0	0	0
Host_Vital_Status_SD	0	329	329
Host_Colonization_Status_SD	0	940	940
Host_Disease_Stage_SD	0	49	49
Host_Disease_Outcome_SD	0	0	0
Host_Exposure_Context_SD	0	95	95
