count,host_original,cluster,recommended_action,recommended_host_sd,recommended_taxid,recommended_rank,recommended_destination,reason,confidence
11,Antho dichotoma,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
6,uncultured eukaryote,common_animal_or_broad_host_name,add_host_synonym,Eukaryota,2759,superkingdom,Host_SD=Eukaryota; Host_TaxID=2759,reviewed broad eukaryote host,medium
6,flower,common_animal_or_broad_host_name,add_host_synonym,Viridiplantae,33090,kingdom,Host_SD=Viridiplantae; Host_TaxID=33090,reviewed broad plant host/material,medium
6,Sprague Dawley,common_animal_or_broad_host_name,add_host_synonym,Rattus norvegicus,10116,species,Host_SD=Rattus norvegicus; Host_TaxID=10116,reviewed laboratory rat strain host,high
6,protist,common_animal_or_broad_host_name,add_host_synonym,Eukaryota,2759,superkingdom,Host_SD=Eukaryota; Host_TaxID=2759,reviewed broad eukaryote/protist host,medium
5,marine macroalgae,common_animal_or_broad_host_name,add_host_synonym,Viridiplantae,33090,kingdom,Host_SD=Viridiplantae; Host_TaxID=33090,reviewed broad algal/plant host,medium
4,macroalgae,common_animal_or_broad_host_name,add_host_synonym,Viridiplantae,33090,kingdom,Host_SD=Viridiplantae; Host_TaxID=33090,reviewed broad algal/plant host,medium
4,Hexactinellid,common_animal_or_broad_host_name,add_host_synonym,Hexactinellida,60882,class,Host_SD=Hexactinellida; Host_TaxID=60882,reviewed sponge class host,medium
4,D. marginatus,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
4,Possum,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
4,saffron finche,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
4,clover,common_animal_or_broad_host_name,add_host_synonym,Viridiplantae,33090,kingdom,Host_SD=Viridiplantae; Host_TaxID=33090,reviewed broad plant host/material,medium
4,Chacoan mara,common_animal_or_broad_host_name,add_host_synonym,Dolichotis salinicola,210422,species,Host_SD=Dolichotis salinicola; Host_TaxID=210422,reviewed common animal host,high
3,Aachener Minipig,common_animal_or_broad_host_name,add_host_synonym,Sus scrofa,9823,species,Host_SD=Sus scrofa; Host_TaxID=9823,reviewed domestic minipig host,high
3,"Crasosstrea spp., Farfantepenaeus spp.",ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
3,lilac,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
3,Discodermia calyx,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
3,Oryctes gigas,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
3,Carpobrotus rossii,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
3,dinoflagellate,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
3,Perognathus penicillatus,ambiguous_manual_review,leave_review_needed,,,,Host_Review_Status=review_needed,No conservative deterministic rule matched.,none
