count,host_original,host_cleaned,proposed_decision,proposed_host_sd,proposed_taxid,proposed_rank,proposed_superkingdom,proposed_phylum,proposed_class,proposed_order,proposed_family,proposed_genus,proposed_species,confidence,apply_recommendation,suggested_destination,reasoning,example_genus,example_organism,example_isolation_source,example_isolation_site,example_sample_type,example_environment_medium,example_environment_broad,example_environment_local,existing_host_context,existing_sample_type_sd,existing_isolation_source_sd,existing_environment_medium_sd
11,Antho dichotoma,antho dichotoma,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Streptomyces,Streptomyces poriferorum,,,whole organism,,temperate marginal sea biome [ENVO:01000856],,,,,
6,uncultured eukaryote,uncultured eukaryote,broad_host_group,Eukaryota,2759,superkingdom,Eukaryota,,,,,,,medium,review_before_apply,Host_SD=Eukaryota; Host_TaxID=2759,broad eukaryote host,Agathobaculum,uncultured Agathobaculum sp.,saline water,,,saline water,marine biome,coastal sea water,,saline water,saline/brine water,saline/brine water
6,flower,flower,broad_host_group,Viridiplantae,33090,kingdom,Eukaryota,,,,,,,medium,review_before_apply,Host_SD=Viridiplantae; Host_TaxID=33090,plant material; host not taxonomically specific,Burkholderia,Burkholderia pseudomallei,,,,honeybee product,basin,apiary,,,,
6,Sprague Dawley,sprague dawley,broad_host_group,Rattus norvegicus,10116,species,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,medium,review_before_apply,Host_SD=Rattus norvegicus; Host_TaxID=10116,laboratory rat strain,Leptospira,Leptospira interrogans,Laboratory,,,,,,,laboratory,laboratory,laboratory
6,protist,protist,broad_host_group,Eukaryota,2759,superkingdom,Eukaryota,,,,,,,medium,review_before_apply,Host_SD=Eukaryota; Host_TaxID=2759,broad protist/eukaryote host,Stenotrophomonas,Stenotrophomonas maltophilia,,,cell culture,,,,,cell culture,,
5,marine macroalgae,marine macroalgae,broad_host_group,Viridiplantae,33090,kingdom,Eukaryota,,,,,,,medium,review_before_apply,Host_SD=Viridiplantae; Host_TaxID=33090,broad algal/plant host,Gilvimarinus,Gilvimarinus sp. F26214L,missing,,tissue sample,,,,,tissue,,
4,macroalgae,macroalgae,broad_host_group,Viridiplantae,33090,kingdom,Eukaryota,,,,,,,medium,review_before_apply,Host_SD=Viridiplantae; Host_TaxID=33090,broad algal/plant host,Alteromonas,Alteromonas algae,,,single cell,,,,,single cell,,
4,Hexactinellid,hexactinellid,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Bacillus,Bacillus sp. C28GYM-DRY-1,,,,ENVO:01001176,ENVO:00000447,ENVO:00000264,,,,
4,D. marginatus,d. marginatus,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Francisella,Francisella tularensis subsp. holarctica,suspension,,,,,,,,suspension,
4,Possum,possum,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Haemophilus,Haemophilus influenzae,feces,UBERON:feces,stool,feces,large river biome,animal-associated habitat,,feces/stool,feces/stool,environmental material
4,saffron finche,saffron finche,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Klebsiella,Klebsiella pneumoniae,feces,,,,,,,feces/stool,feces/stool,
4,clover,clover,broad_host_group,Viridiplantae,33090,kingdom,Eukaryota,,,,,,,medium,review_before_apply,Host_SD=Viridiplantae; keep Host_Common_Name as original,Common plant/material term; useful as broad plant host but not species-level.,Rhizobium,Rhizobium bangladeshense,root nodules,,whole organism,,,,,root,plant-associated material,
4,Chacoan mara,chacoan mara,broad_host_group,Dolichotis salinicola,210422,species,,,,,,,,medium,review_before_apply,Host_SD=Dolichotis salinicola; Host_TaxID=210422,chacoan mara host,Yersinia,Yersinia pseudotuberculosis,missing,,,,,,,,,
3,Aachener Minipig,aachener minipig,broad_host_group,Sus scrofa,9823,species,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,medium,review_before_apply,Host_SD=Sus scrofa; Host_TaxID=9823,domestic pig/minipig host,Absicoccus,Absicoccus intestinalis,,,,missing,missing,missing,,,,
3,"Crasosstrea spp., Farfantepenaeus spp.",crasosstrea spp. farfantepenaeus spp.,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Aeromonas,Aeromonas enteropelogenes,seafood,,cell culture,,,,,cell culture,seafood/aquatic food product,
3,lilac,lilac,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Agrobacterium,Agrobacterium tumefaciens,,,cell culture,,,,,cell culture,,
3,Discodermia calyx,discodermia calyx,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Aquimarina,Aquimarina discodermiae,missing,,single cell,,,,,single cell,,
3,Oryctes gigas,oryctes gigas,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Bacillus,Bacillus thuringiensis LM1212,,,whole organism,,,,,,,
3,Carpobrotus rossii,carpobrotus rossii,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Bacillus,Bacillus cereus,Cadmium-contaminated soil,,cell culture,,,,,cell culture,soil,soil
3,dinoflagellate,dinoflagellate,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Algichlamydia,Candidatus Algichlamydia australiensis,non-axenic Cladocopium sp. culture,Culture supernatant,metagenomic assembly,,dinoflagellate metagenome,dinoflagellate laboratory culture,,metagenomic assembly,culture,laboratory
3,Perognathus penicillatus,perognathus penicillatus,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Escherichia,Escherichia coli,feces,,,,,,,feces/stool,feces/stool,
3,Otariinae,otariinae,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Escherichia,Escherichia coli,Not Provided,,,,,,,,,
3,protozoa,protozoa,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Legionella,Legionella pneumophila subsp. fraseri,not applicable,,bulk water sample from a shower,,,,,sample,,environmental water
3,Trididemnum orbiculatum,trididemnum orbiculatum,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Micromonospora,Micromonospora sp. WMMD882,,,Whole organism,,,,,,,
3,celery,celery,taxonomy_exact_lookup,celery,117781,no rank,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens,high,safe_to_apply,Host_SD=celery; Host_TaxID=117781,TaxonKit exact name lookup found a taxonomic identifier.,Pectobacterium,Pectobacterium colocasium,leaf,leaf stalk,whole organism,,not applicable,,,,plant-associated material,plant tissue
3,Phalangeriformes,phalangeriformes,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Pseudomonas,Pseudomonas aeruginosa,necrotising fasciitis wound,,,,,,,wound,wound,
3,blackberry,blackberry,broad_host_group,Viridiplantae,33090,kingdom,Eukaryota,,,,,,,medium,review_before_apply,Host_SD=Viridiplantae; keep Host_Common_Name as original,Common plant/material term; useful as broad plant host but not species-level.,Rhizobium,Rhizobium rhizogenes,,,cell culture,,,,,cell culture,,
2,Picochlorum sp. 122,picochlorum sp. 122,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Aliikangiella,Aliikangiella marina,culture broth,,green algae culture broth,,,,,culture,culture,
2,Haliclonissa verrucosa (sponge),haliclonissa verrucosa,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Arthrobacter,Arthrobacter sp. CAL618,,,,,,,,,,
2,Aphidus ervi,aphidus ervi,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Bacillus,Bacillus velezensis,missing,,Cell culture,,,,,cell culture,,
2,Cryptomonas gyropyrenoidosa SAG 25.80,cryptomonas gyropyrenoidosa sag 25.80,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Bandiella,Candidatus Bandiella numerosa,freshwater,,mixed culture,,,,,mixed culture,freshwater,freshwater
2,B. minor,b. minor,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Comchoanobacter,Candidatus Comchoanobacter bicostacola,Northeast pacific open ocean,,sorted choanoflagellate cells,,,,,,Northeast pacific open ocean,
2,Diplonema japonicum YPF1604,diplonema japonicum ypf1604,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Cytomitobacter,Candidatus Cytomitobacter primus,"Enoshima Aquarium, Kanagawa",,,Salt water,Marine,Sand filter of aquarium tank,,,"Enoshima Aquarium, Kanagawa",water
2,N. makaihe,n. makaihe,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. ponapona,n. ponapona,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 246,n. sp. 246,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. kanawao,n. kanawao,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 15,n. sp. 15,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 48,n. sp. 48,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 242,n. sp. 242,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 58,n. sp. 58,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 21,n. sp. 21,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 17,n. sp. 17,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 126,n. sp. 126,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 29,n. sp. 29,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 23,n. sp. 23,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. haleakala,n. haleakala,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 281,n. sp. 281,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 302,n. sp. 302,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. ogradyi,n. ogradyi,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,N. sp. 295,n. sp. 295,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Candidatus Karelsulcia,Candidatus Karelsulcia muelleri,,,whole genome,,,,,whole genome sequencing sample,,
2,Gynura pseudochina L.DC.,gynura pseudochina l.dc.,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Chryseobacterium,Chryseobacterium sp. GTID13,,,whole organism,,,,,,,
2,Lasioglossum apopkense,lasioglossum apopkense,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Clostridium,uncultured Clostridium sp.,FL294,,,,,,,,FL294,
2,Amphilectus digitatus,amphilectus digitatus,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Cobetia,Cobetia amphilecti,internal tissue,,bacterial culture,,,,,bacterial culture,tissue,
2,Dercitus (Stoeba) latex,dercitus latex,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Ectopseudomonas,Ectopseudomonas khazarica,,,cell culture,,,,,cell culture,,
2,Bombax costatum,bombax costatum,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Enterobacter,Enterobacter cloacae,missing,,culture,,,,,culture,,
2,Diestrammena coreana,diestrammena coreana,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Enterococcus,Enterococcus diestrammenae,gut,,,,,,,gut content,clinical/host-associated material,
2,Crabapple,crabapple,manual_review_remaining,,,,,,,,,,,none,manual_validation_required,Keep in review queue,No conservative taxonomy/source/noise rule matched.,Erwinia,Erwinia amylovora,,,cell culture,,,,,cell culture,,
