synonym,canonical,taxid,rank,superkingdom,note
Streptococcus agalactiae,Streptococcus agalactiae,1311,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Klebsiella pneumoniae,Klebsiella pneumoniae,573,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Campylobacter coli,Campylobacter coli,195,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Shigella flexneri,Shigella flexneri,623,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Listeria monocytogenes,Listeria monocytogenes,1639,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Microcystis aeruginosa,Microcystis aeruginosa,1126,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Campylobacter sp. CFSAN093238,Campylobacter sp. CFSAN093238,2572084,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Neisseria bergeri,Neisseria bergeri,1906581,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Nostoc sp.,Nostoc sp.,1180,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Staphylococcus aureus,Staphylococcus aureus,1280,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Mycobacterium abscessus,Mycobacterium abscessus,36809,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Neisseria polysaccharea,Neisseria polysaccharea,489,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Cereibacter sphaeroides 2.4.1,Cereibacter sphaeroides 2.4.1,272943,strain,Bacteria,NCBI Taxonomy name2taxid reviewed import
Staphylococcus capitis,Staphylococcus capitis,29388,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Cyanobacterium stanieri,Cyanobacterium stanieri,102235,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Uncultured virus,Uncultured virus,340016,species,Viruses,NCBI Taxonomy name2taxid reviewed import
Nostoc flagelliforme FACHB-838,Nostoc flagelliforme FACHB-838,2692904,strain,Bacteria,NCBI Taxonomy name2taxid reviewed import
Rhodococcus sp. DK17,Rhodococcus sp. DK17,186196,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Neisseria subflava,Neisseria subflava,28449,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Nostocales cyanobacterium HT-58-2,Nostocales cyanobacterium HT-58-2,1940762,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Enterococcus faecium,Enterococcus faecium,1352,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Vibrio parahaemolyticus,Vibrio parahaemolyticus,670,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Vibrio alginolyticus,Vibrio alginolyticus,663,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Calothrix membranacea FACHB-236,Calothrix membranacea FACHB-236,2692895,strain,Bacteria,NCBI Taxonomy name2taxid reviewed import
Neisseria meningitidis,Neisseria meningitidis,487,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Actinoplanes sp.,Actinoplanes sp.,1871,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Microcystis aeruginosa FACHB-905,Microcystis aeruginosa FACHB-905,267865,strain,Bacteria,NCBI Taxonomy name2taxid reviewed import
Stenotrophomonas sp.,Stenotrophomonas sp.,69392,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Pseudomonas sp. 286,Pseudomonas sp. 286,33069,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Corynebacterium ulcerans,Corynebacterium ulcerans,65058,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Limnospira platensis,Limnospira platensis,118562,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Helicobacter pylori,Helicobacter pylori,210,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Schaalia odontolytica,Schaalia odontolytica,1660,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Gordonia amarae,Gordonia amarae,36821,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Nostoc linckia FACHB-391,Nostoc linckia FACHB-391,2692906,strain,Bacteria,NCBI Taxonomy name2taxid reviewed import
Vibrio hippocampi,Vibrio hippocampi,654686,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Nostoc flagelliforme,Nostoc flagelliforme,1306274,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Arthrospira sp.,Arthrospira sp.,35824,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Treponema pallidum subsp. pallidum SS14,Treponema pallidum subsp. pallidum SS14,455434,strain,Bacteria,NCBI Taxonomy name2taxid reviewed import
Nostoc sp. FACHB-973,Nostoc sp. FACHB-973,2692844,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Acinetobacter junii,Acinetobacter junii,40215,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Burkholderia gladioli,Burkholderia gladioli,28095,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Neisseria lactamica,Neisseria lactamica,486,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Neisseria benedictiae,Neisseria benedictiae,2830649,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Neisseria blantyrii,Neisseria blantyrii,2830647,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
Synechococcus sp. CBW1107,Synechococcus sp. CBW1107,2789857,species,Bacteria,NCBI Taxonomy name2taxid reviewed import
