source_batch,raw_host,normalized_host,review_action,reviewed_host,resolved_taxid,rank,superkingdom,result,detail
reviewer_batch_20260609.csv,Myodes,myodes,exact_host,Myodes,447134,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,avain,avain,broad_host,Aves,8782,class,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Microtus,microtus,exact_host,Microtus,10053,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Sarracenia,sarracenia,exact_host,Sarracenia,4358,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Iophon,iophon,exact_host,Iophon,1336928,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,lichi,lichi,exact_host,Litchi chinensis,151069,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,swallow,swallow,broad_host,Hirundinidae,43148,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Wildpig,wildpig,exact_host,Sus scrofa,9823,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,D. marginatus,d. marginatus,exact_host,Dermacentor marginatus,49202,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,hyacinth,hyacinth,broad_host,Hyacinthus,82024,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Ursidae,ursidae,exact_host,Ursidae,9632,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Branta,branta,exact_host,Branta,8852,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Caenorhabditis,caenorhabditis,exact_host,Caenorhabditis,6237,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Halophytes,halophytes,broad_host,Viridiplantae,33090,kingdom,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Hexactinellida,hexactinellida,exact_host,Hexactinellida,60882,class,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Cephalopoda,cephalopoda,exact_host,Cephalopoda,6605,class,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Chili,chili,broad_host,Capsicum,4071,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Epiponini,epiponini,exact_host,Epiponini,76992,tribe,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Euphausiacea,euphausiacea,exact_host,Euphausiacea,6816,order,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Felis,felis,exact_host,Felis,9682,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Hyacint,hyacint,broad_host,Hyacinthus,82024,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Megaspora,megaspora,exact_host,Megaspora,88750,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Nasutitermes_voeltzkowi,nasutitermes voeltzkowi,exact_host,Nasutitermes voeltzkowi,377956,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Oxytropis,oxytropis,exact_host,Oxytropis,20802,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Pelican,pelican,broad_host,Pelecanidae,30444,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
