rule_file,action,normalized_synonym,before_value,after_value,before_taxid,after_taxid
host_synonyms,added,abyssinian ground hornbill,,Bucorvus abyssinicus,,153643
host_synonyms,added,acanthaphora specifera,,Acanthophora spicifera,,385024
host_synonyms,added,achillia millefolium,,Achillea millefolium,,13329
host_synonyms,added,adelaide rosella,,Platycercus,,35541
host_synonyms,added,african spoonbiil,,Platalea alba,,33578
host_synonyms,added,agapostemon sp.,,Agapostemon,,88590
host_synonyms,added,akashiwo sangruia,,Akashiwo sanguinea,,143672
host_synonyms,added,allomyria dichotoma,,Allomyrina dichotoma,,273928
host_synonyms,added,alyscotermes sp.,,Alyscotermes,,377663
host_synonyms,added,amaranthaceae,,Amaranthaceae,,3563
host_synonyms,added,anaerameoba flamelloides busselton2,,Anaeramoeba flamelloides,,1746091
host_synonyms,added,ananeramoeba flamelloides schooner1,,Anaeramoeba flamelloides,,1746091
host_synonyms,added,anastrepha ludens black pupae genetic sexing strain guatemala 10,,Anastrepha ludens,,28586
host_synonyms,added,anatine,,Anatidae,,8830
host_synonyms,added,anopheles gambiae g3 strain,,Anopheles gambiae,,7165
host_synonyms,added,anopheles gambiae strain g3,,Anopheles gambiae,,7165
host_synonyms,added,anopheline albitarsis,,Anopheles albitarsis,,58236
host_synonyms,added,aphidus ervi,,Aphidius ervi,,37627
host_synonyms,added,aplysina fulva,,Aplysina fulva,,289401
host_synonyms,added,apoidea,,Apoidea,,34735
host_synonyms,added,apsterostigma,,Apterostigma,,34696
host_synonyms,added,aquatic mosses,,Bryophyta,,3208
host_synonyms,added,arctic char,,Salvelinus alpinus,,8036
host_synonyms,added,arctium lappa l.,,Arctium lappa,,4217
host_synonyms,added,arthrocaulon sp.,,Arthrocaulon,,2116365
host_synonyms,added,asteriscus sp.,,Asteriscus,,56520
host_synonyms,added,athyrium wallichianum ching,,Athyrium wallichianum,,2055122
host_synonyms,added,augochlorella sp.,,Augochlorella,,178017
host_synonyms,added,aulonothroscus sp. aus03,,Aulonothroscus,,445462
host_synonyms,added,avain,,Aves,,8782
host_synonyms,added,axinellida sp.,,Axinellida,,1779152
host_synonyms,added,b. oleracea var. alba,,Brassica oleracea,,3712
host_synonyms,added,b. oleracea var. sabauda,,Brassica oleracea,,3712
host_synonyms,added,barberry,,Berberis,,22774
