raw_host,final_is_approved,rule_type,final_host,final_taxid,final_confidence,reviewer_note
Myodes,TRUE,exact_host,Myodes,,high,Valid rodent genus
avain,TRUE,broad_host,Aves,8782,medium,Typo reviewed avian
Microtus,TRUE,exact_host,Microtus,,high,Valid rodent genus
Sarracenia,TRUE,exact_host,Sarracenia,,high,Valid plant genus
Iophon,TRUE,exact_host,Iophon,,medium,Valid sponge genus
lichi,TRUE,exact_host,Litchi chinensis,,medium,Lychee common name
swallow,TRUE,broad_host,Hirundinidae,,medium,Broad common bird family
Wildpig,TRUE,exact_host,Sus scrofa,9823,high,Wild pig or wild boar
D. marginatus,TRUE,exact_host,Dermacentor marginatus,,medium,Reviewer resolved abbreviated tick
hyacinth,TRUE,broad_host,Hyacinthus,,medium,Common plant genus
Ursidae,TRUE,exact_host,Ursidae,,high,Valid bear family
Branta,TRUE,exact_host,Branta,,high,Valid goose genus
Caenorhabditis,TRUE,exact_host,Caenorhabditis,,high,Valid nematode genus
Halophytes,TRUE,broad_host,Viridiplantae,33090,low,Ecological plant category
Hexactinellida,TRUE,exact_host,Hexactinellida,,high,Valid sponge class
Cephalopoda,TRUE,exact_host,Cephalopoda,,high,Valid mollusc class
chili,TRUE,broad_host,Capsicum,,medium,Common crop genus
Epiponini,TRUE,exact_host,Epiponini,,high,Valid wasp tribe
Euphausiacea,TRUE,exact_host,Euphausiacea,,high,Valid krill order
Felis,TRUE,exact_host,Felis,,high,Valid cat genus
Hyacint,TRUE,broad_host,Hyacinthus,,medium,Typo reviewed hyacinth
Megaspora,TRUE,exact_host,Megaspora,,medium,Valid lichen or fungal genus
Nasutitermes_voeltzkowi,TRUE,exact_host,Nasutitermes voeltzkowi,,medium,Underscore normalized
Oxytropis,TRUE,exact_host,Oxytropis,,high,Valid plant genus
Pelican,TRUE,broad_host,Pelecanidae,,medium,Broad common bird family
pumpkin,TRUE,broad_host,Cucurbita,,medium,Common crop genus
Q. agrifolia x Q. wislizeni,TRUE,broad_host,Quercus,,medium,Oak hybrid mapped to genus
Sarcophagidae,TRUE,exact_host,Sarcophagidae,,high,Valid fly family
"""Ipomoea aquatic""",TRUE,exact_host,Ipomoea aquatica,,medium,Typo and quoting reviewed
'Dasytes' lineellus,FALSE,ignore,,,,NCBI taxonomy has no supported exact mapping
'Dasytes' seminudus,FALSE,ignore,,,,NCBI taxonomy has no supported exact mapping
algea,FALSE,ignore,,,,Preserve algae context without false taxonomy
Amaranthaceae,TRUE,exact_host,Amaranthaceae,,high,Valid plant family
Amphisylla,FALSE,ignore,,,,NCBI taxonomy has no supported exact mapping
anatine,TRUE,broad_host,Anatidae,,medium,Duck-like family mapping
Apoidea,TRUE,exact_host,Apoidea,,high,Valid superfamily
Apsterostigma,TRUE,exact_host,Apterostigma,,medium,Typo reviewed ant genus
B. oleracea var. alba,TRUE,exact_host,Brassica oleracea,,medium,Abbreviated crop resolved
