raw_host,final_is_approved,rule_type,final_host,final_taxid,final_confidence,reviewer_note
Poephagus grunniens,TRUE,exact_host,Poephagus grunniens,,medium,historical yak label
Myodes sp,TRUE,exact_host,Myodes,,medium,genus-level sp label
Antho dichotoma,TRUE,exact_host,Antho dichotoma,,medium,sponge species
Aellenia lancifolia,TRUE,exact_host,Aellenia lancifolia,,medium,plant species
Erodium sp.,TRUE,exact_host,Erodium,,medium,genus-level sp label
Lissodendoryx nobilis,TRUE,exact_host,Lissodendoryx nobilis,,medium,sponge species
Agapostemon sp.,TRUE,exact_host,Agapostemon,,medium,genus-level sp label
Anoxycalyx joubini,TRUE,exact_host,Anoxycalyx joubini,,medium,sponge species
Augochlorella sp.,TRUE,exact_host,Augochlorella,,medium,genus-level sp label
Ircinia cf. reteplana JBK-2021,TRUE,broad_host,Ircinia,,medium,cf and voucher removed to genus
Ceratius sp.,FALSE,ignore,,,,unsafe ambiguous taxonomy candidate
Discodermia calyx,TRUE,exact_host,Discodermia calyx,,medium,sponge species
Sander vitreus and Perca sp.,TRUE,broad_host,Percidae,,medium,multiple hosts mapped to family
Siphamia cephalotes,TRUE,exact_host,Siphamia cephalotes,,medium,fish species
Anopheles gambiae strain G3,TRUE,exact_host,Anopheles gambiae,,medium,strain removed
Carpobrotus rossii,TRUE,exact_host,Carpobrotus rossii,,medium,plant species
Cleopatra sp.,TRUE,exact_host,Cleopatra,,medium,genus-level sp label
"Crasosstrea spp., Farfantepenaeus spp.",FALSE,ignore,,,,multiple host context without controlled taxonomy
Filago sp.,TRUE,exact_host,Filago,,medium,genus-level sp label
Iophon sp.,TRUE,exact_host,Iophon,,medium,genus-level sp label
Oryctes gigas,TRUE,exact_host,Oryctes gigas,,medium,insect species
Perognathus penicillatus,TRUE,exact_host,Perognathus penicillatus,,medium,mammal species
Trididemnum orbiculatum,TRUE,exact_host,Trididemnum orbiculatum,,medium,tunicate species
uncultured Desulfovibrio sp.,FALSE,non_host_source,,,,microbial taxon in host field
Allomyria dichotoma,TRUE,exact_host,Allomyrina dichotoma,,medium,spelling normalized
Alyscotermes sp.,TRUE,exact_host,Alyscotermes,,medium,genus-level sp label
Amphilectus digitatus,TRUE,exact_host,Amphilectus digitatus,,medium,sponge species
Aphidus ervi,TRUE,exact_host,Aphidius ervi,,medium,spelling normalized
Beilhmielda manni,TRUE,exact_host,Beilschmiedia mannii,,medium,spelling normalized
Bombax costatum,TRUE,exact_host,Bombax costatum,,medium,plant species
bracket mold,FALSE,ignore,,,,broad fungal context without controlled taxonomy
Capsella sp.,TRUE,exact_host,Capsella,,medium,genus-level sp label
Citellus musticus,TRUE,exact_host,Citellus musicus,,medium,spelling normalized if taxonomy validates
common redpoll,TRUE,exact_host,Acanthis flammea,,medium,common name normalized
Dercitus (Stoeba) latex,TRUE,exact_host,Dercitus latex,,medium,subgenus removed
Dialictus sp.,TRUE,exact_host,Dialictus,,medium,genus-level sp label
Diestrammena coreana,TRUE,exact_host,Diestrammena coreana,,medium,insect species
Diestrammena coreana (camel cricket),TRUE,exact_host,Diestrammena coreana,,medium,parenthetical removed
Dipodomys sp.,TRUE,exact_host,Dipodomys,,medium,genus-level sp label
dolphinfish (mahi-mahi),TRUE,exact_host,Coryphaena hippurus,,medium,common name normalized
Gallas gallas domesticus,TRUE,exact_host,Gallus gallus domesticus,,medium,spelling normalized
Haliclonissa verrucosa,TRUE,exact_host,Haliclonissa verrucosa,,medium,sponge species
Haliclonissa verrucosa (sponge),TRUE,exact_host,Haliclonissa verrucosa,,medium,parenthetical removed
Homalodisca coagulata (glassy-winged sharpshooter),TRUE,exact_host,Homalodisca vitripennis,,medium,synonym normalized
Lophophysema sp. RT-2015,TRUE,broad_host,Poecilosclerida,,medium,uncertain sponge mapped to order
marine ciliate,TRUE,broad_host,Ciliophora,,medium,broad ciliate host
Micromys sp,TRUE,exact_host,Micromys,,medium,genus-level sp label
Microtus sp,TRUE,exact_host,Microtus,,medium,genus-level sp label
Nasonia sp. VxG hybrid,TRUE,exact_host,Nasonia,,medium,hybrid descriptor removed
Neopsylla setosa,TRUE,exact_host,Neopsylla setosa,,medium,flea species
Ocimum lamiifolium,TRUE,exact_host,Ocimum lamiifolium,,medium,plant species
Picochlorum sp. 122,FALSE,ignore,,,,culture code and uncertain host status
Pittosporum phillyreoides,TRUE,exact_host,Pittosporum phillyreoides,,medium,plant species
Poecilosclerida sp.,TRUE,exact_host,Poecilosclerida,,medium,order-level label
Sayornic nigricans,TRUE,exact_host,Sayornis nigricans,,medium,spelling normalized
Sertella sp.,TRUE,exact_host,Sertella,,medium,genus-level sp label
Spongia sp.,TRUE,exact_host,Spongia,,medium,genus-level sp label
Stichoplastoris elusinus,TRUE,exact_host,Stichoplastoris elusinus,,medium,submitted taxonomy candidate
uncultured Alistipes sp.,FALSE,non_host_source,,,,microbial taxon in host field
uncultured Clostridiales bacterium,FALSE,non_host_source,,,,microbial taxon in host field
uncultured Lachnobacterium sp.,FALSE,non_host_source,,,,microbial taxon in host field
