raw_host,final_is_approved,final_host,final_confidence,rule_type,reviewer_note
Justicia subcoriacea,TRUE,Justicia subcoriacea,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
king palm,TRUE,Arecaceae,medium,broad_host,Finalized by reviewer batch 4
Kroswia sp. S13,TRUE,Kroswia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lagria grenieri,TRUE,Lagria grenieri,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lagria okinawana,TRUE,Lagria okinawana,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lasioglossum apopkense,TRUE,Lasioglossum apopkense,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Latuca sp.,TRUE,Lactuca,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Leobordea lanceolata,TRUE,Leobordea lanceolata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Leobordea pulchra,TRUE,Leobordea pulchra,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lepidocollema sp. S4,TRUE,Lepidocollema,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
LEPM 108,FALSE,,low,ignore,Finalized by reviewer batch 4
Leptosemia sp. G,TRUE,Leptosemia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Linaria sp.,TRUE,Linaria,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lissodendoryx diversichela,TRUE,Lissodendoryx diversichela,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Listrus sp. 00,TRUE,Listrus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Listrus sp. 01,TRUE,Listrus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Listrus sp. 02,TRUE,Listrus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Listrus sp. 04,TRUE,Listrus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Listrus sp. 06,TRUE,Listrus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Listrus sp. 07,TRUE,Listrus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Listrus sp. 09,TRUE,Listrus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lobaria pulmonaria thallus,TRUE,Lobaria pulmonaria,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lucinoma atalantae,TRUE,Lucinoma atalantae,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Luffae sp.,TRUE,Luffa,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Lyonycteris spurrelli,TRUE,Lyonycteris spurrelli,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Macherium nyctitans,TRUE,Machaerium nyctitans,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Malawi cichlid (Auloncara maleri),TRUE,Aulonocara maleri,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Mantidactylus aff. curtus 19,TRUE,Mantidactylus curtus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Maoctra Veneriformis,TRUE,Mactra veneriformis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Marantha leuconeura,TRUE,Maranta leuconeura,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Marcelaria sp.,TRUE,Marcelaria,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Marine invertebrate,TRUE,marine invertebrate,medium,broad_host,Finalized by reviewer batch 4
marine invertebrate,TRUE,marine invertebrate,medium,broad_host,Finalized by reviewer batch 4
Marmosa camescens,TRUE,Marmosa canescens,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
