count,host_sd,taxid,rank
1143218,Homo sapiens,9606,species
111815,Gallus gallus,9031,species
68745,Bos taurus,9913,species
44699,Sus scrofa,9823,species
23324,Meleagris gallopavo,9103,species
16228,Canis lupus familiaris,9615,subspecies
11313,Sus scrofa domesticus,9825,subspecies
8017,Aves,8782,class
6716,Ovis aries,9940,species
6117,Equus caballus,9796,species
4788,Mus musculus,10090,species
4595,Metazoa,33208,kingdom
3023,Felis catus,9685,species
2586,Anas platyrhynchos,8839,species
2459,Actinopterygii,7898,superclass
2343,Capra hircus,9925,species
2287,Oryza sativa,4530,species
2137,Viridiplantae,33090,kingdom
1955,Solanum lycopersicum,4081,species
1697,Zea mays,4577,species
1583,Macrocystis pyrifera,35122,species
1576,Solanum tuberosum,4113,species
1496,Bos grunniens,30521,species
1466,Diptera,7147,order
1159,Arabidopsis thaliana,3702,species
1096,Pantholops hodgsonii,59538,species
1078,Bacteria,2,domain
1032,Glycine max,3847,species
1028,Capsicum,4071,genus
1004,Citrus sinensis,2711,species
980,Marmota himalayana,93163,species
955,Triticum aestivum,4565,species
908,Citrus,2706,genus
822,Andrias davidianus,141262,species
811,Oryctolagus cuniculus,9986,species
768,Apis mellifera,7460,species
764,Cicer arietinum,3827,species
741,Cucumis sativus,3659,species
673,Brassica oleracea,3712,species
664,Cervidae,9850,family
646,Salmo salar,8030,species
639,Allium cepa,4679,species
638,Camelus dromedarius,9838,species
623,Pistacia vera,55513,species
618,Laridae,8911,genus
618,Oncorhynchus mykiss,8022,species
612,Phaseolus vulgaris,3885,species
594,Lactuca sativa,4236,species
585,Ostreidae,6563,family
581,Rattus norvegicus,10116,species
553,Chroicocephalus novaehollandiae,2547444,species
505,Columba livia,8932,species
500,Mammalia,40674,class
497,Porifera,6040,phylum
487,Culicidae,7157,family
472,Penaeus vannamei,6689,species
471,Medicago sativa,3879,species
460,Salmonidae,8015,family
458,Rodentia,9989,order
452,Malus domestica,3750,species
441,Salmonella enterica,28901,species
435,Bubalus bubalis,89462,species
434,Lepus europaeus,9983,species
411,Procyon lotor,9654,species
401,Meriones unguiculatus,10047,species
391,Cervus canadensis,1574408,species
387,Hordeum vulgare,4513,species
383,Trifolium repens,3899,species
377,Nicotiana tabacum,4097,species
366,Platygyra acuta,983579,species
360,Dendrobranchiata,6684,suborder
358,Oulastrea crispata,154329,species
357,Anser anser,8843,species
351,Canis lupus,9612,species
345,Macaca mulatta,9544,species
337,Oreochromis niloticus,8128,species
334,Prunus avium,42229,species
333,Vitis vinifera,29760,species
322,Ciconia ciconia,8928,species
317,Lens culinaris,3864,species
310,Zostera marina,29655,species
309,Equus kiang,94398,species
307,Tilapia,8126,genus
307,Neogale vison,452646,species
286,Arachis hypogaea,3818,species
284,Cetonia aurata,290679,species
284,Hydropotes inermis,9883,species
260,Larus cachinnans,119609,species
251,Campylobacter jejuni,197,species
247,Magallana gigas,29159,species
246,Rattus flavipectus,69074,species
245,Testudines,8459,order
245,Ifremeria nautilei,71812,species
243,Corvus,30420,genus
237,Sporobolus alterniflorus,29706,species
234,Drosophila melanogaster,7227,species
229,Prunus persica,3760,species
229,Actinidia,3624,genus
224,Odocoileus virginianus,9874,species
216,Marmota,9992,genus
213,Macaca fascicularis,9541,species
210,Stomoxys,35569,genus
204,Enhydra lutris nereis,1049777,subspecies
202,Camellia sinensis,4442,species
201,Saccharomyces cerevisiae,4932,species
198,Agama agama,103336,species
197,Vicugna pacos,30538,species
195,Phaseolus,3883,genus
194,Erinaceidae,9363,family
192,Brachyura,6752,infraorder
190,Myodes glareolus,447135,species
188,Sciurus vulgaris,55149,species
185,Veneroida,6565,species
184,Acmispon wrangelianus,118929,species
181,Formicidae,36668,family
180,Skeletonema costatum,2843,species
179,Neotoma albigula,42408,species
172,Chroicocephalus,1129741,genus
171,Bathymodiolus septemdierum,220392,species
166,Anthozoa,6101,class
165,Poaceae,4479,family
160,Anura,8342,order
160,Sargassum hemiphyllum,127544,species
156,Pyrus communis,23211,species
155,Vulpes vulpes,9627,species
154,Otaria byronia,161932,species
154,Bovinae,27592,subfamily
153,Saccharum officinarum,4547,species
148,Insecta,50557,class
144,Agaricales,5338,order
143,Siluriformes,7997,genus
142,Phaeophyceae,2870,class
142,Crassostrea virginica,6565,species
141,Mollusca,6447,phylum
140,Mangifera indica,29780,species
140,Cervus elaphus,9860,species
140,Phocidae,9709,family
137,Capsicum annuum,4072,species
136,Phascolarctos cinereus,38626,species
135,Vicia sativa,3908,species
128,Anatidae,8830,family
127,Primates,9443,order
127,Acmispon brachycarpus,390700,species
126,Mytilus edulis complex,6579,species
126,Streptococcus pneumoniae,1313,species
125,Milvus milvus,43518,species
125,Apis cerana,7461,species
124,Reptilia,8457,clade
123,Ursus americanus,9643,species
123,Marmota baibacina,93157,species
122,Mytilidae,6547,family
121,Lathyrus oleraceus,3888,species
