count,collection_year
240728,2019
215341,2018
184934,2021
172755,2020
171764,2022
166243,2023
158829,2017
127682,2016
105540,2024
103978,2015
77877,2014
75447,2025
56882,2013
46266,2012
38169,2010
34426,2011
29585,2009
21363,2008
17463,2007
15979,2006
13706,2026
11090,2005
8964,2004
8564,2003
7195,2002
5626,2000
5559,2001
4068,1999
3001,1998
2431,1997
2301,1996
2044,1995
1837,1994
1728,1993
1609,1990
1485,1991
1426,1986
1318,1992
1275,1985
1147,1988
1121,1982
1077,1987
958,1981
947,1980
946,1989
869,1983
825,1984
820,1900
702,1972
603,1950
578,1979
558,1975
548,1959
519,1976
516,1960
507,1964
500,1977
499,1961
483,1978
472,1970
450,1965
442,1966
425,1967
359,1958
349,1963
336,1968
333,1971
331,1974
329,1957
326,1973
315,1951
299,1962
299,1955
292,1952
239,1969
238,1948
214,1954
200,1953
192,1905
167,1956
81,1949
75,1947
62,1941
59,1942
52,1946
49,1929
46,1944
45,1945
40,1938
37,1935
33,1918
32,1939
32,1937
30,1930
29,1940
29,1931
28,1943
27,1934
24,1932
23,1917
21,1936
18,1922
17,1916
16,1933
16,1924
13,1928
11,1925
10,1920
10,1921
9,1919
8,1911
8,1912
7,1927
7,1926
7,1923
6,1901
5,1914
5,1915
4,1909
4,1906
3,1913
3,1908
1,1910
1,1902
1,1903
1,1904
