count,host_original,host_sd,host_method
676,Food,,non_host_source
492,wastewater,,non_host_source
408,Environmental,,non_host_source
377,Environment,,non_host_source
211,environment,,non_host_source
175,soil,,non_host_source
163,environmental,,non_host_source
157,stool,,non_host_source
143,Water,,non_host_source
124,seafood,,non_host_source
101,Wastewater,,non_host_source
97,Soil,,non_host_source
93,environmental sample,,non_host_source
92,meat,,non_host_source
79,WATER,,non_host_source
75,environmental waters,,non_host_source
55,"Dairy Farm, Water",,non_host_source
50,dairy product,,non_host_source
49,"Dairy Farm, Faecal",,non_host_source
48,Hospital environment,Hospital environment,non_host_source
48,freshwater metagenome,,non_host_source
45,water,,non_host_source
42,"Food, pork",,non_host_source
42,indoor metagenome,,non_host_source
35,imported food,,non_host_source
32,soil metagenome,,non_host_source
26,ready-to-eat food,,non_host_source
25,lake water,,non_host_source
24,sediment,,non_host_source
23,food,,non_host_source
23,metagenome,,non_host_source
22,Milk powder,,non_host_source
21,milk product,,non_host_source
20,"Poultry Environment, bootsock",,non_host_source
17,ICU environment,ICU environment,non_host_source
14,fecal,fecal,non_host_source
12,feces metagenome,,non_host_source
12,grassland soil,,non_host_source
10,Meat,,non_host_source
10,farm environment,,non_host_source
10,feces from wild bird,,context_broad_dictionary
9,Milk,,non_host_source
9,hot water systems,,non_host_source
8,meat products,,non_host_source
8,marine metagenome,,non_host_source
7,Seafood,,non_host_source
7,fresh water tilapia tank,,context_broad_dictionary
7,environmental sample,environmental sample,non_host_source
7,rhizosphere soil,,non_host_source
7,rain water,,non_host_source
6,lamb offal or meat,,non_host_source
6,"Poultry Environment, water",,non_host_source
6,Raw water,,non_host_source
6,sludge,,non_host_source
6,activated sludge,,non_host_source
5,Sediment,,non_host_source
5,soil substrate,,non_host_source
5,industrial environment,,non_host_source
5,Aquatic bird feces,,context_broad_dictionary
5,gut of abalone,,context_broad_dictionary
4,Grown in Blood agar culture medium.,,non_host_source
4,Storm water,,non_host_source
4,Hospital Waste Water,,non_host_source
4,pork offal or meat,,non_host_source
4,Environment of nosocomial settings,,non_host_source
4,feces from giant panda,,context_broad_dictionary
4,catfish Homogenized Tissue Dillution,,context_broad_dictionary
4,synthetic metagenome,,non_host_source
4,fermented food,,non_host_source
4,Soil aggregate,,non_host_source
3,milk products,,non_host_source
