count,environment_medium_sd_broad
259650,feces/stool
69394,water
38376,environmental material
35168,soil
15315,sediment
8521,wastewater/sewage
6005,marine
5428,food/dairy
4180,plant-associated material
3418,agricultural fecal material
2250,biofilm
2180,culture medium
2029,laboratory environment
1028,healthcare-associated environment
794,biological/clinical product
786,leachate
683,sea ice
616,biological waste material
490,surface sample
416,environmental/geologic material
377,dust
343,compost
179,cryoconite
146,metadata descriptor / non-source
64,clinical fluid/material
6,land crag
2,mine tailings
1,microplastic/plastic
