count,country
1054831,United States
215608,China
214136,United Kingdom
84992,Australia
64160,Canada
46794,Germany
38479,Denmark
34555,France
32212,Japan
27837,Netherlands
22119,Spain
18940,India
17815,Brazil
17627,New Zealand
17323,South Africa
16890,Switzerland
16853,Italy
16141,Norway
14097,Thailand
13030,South Korea
10730,Ireland
10303,Russia
10128,Mexico
9991,Belgium
9866,Chile
9649,Bangladesh
9257,Kenya
9085,Singapore
7595,Czech Republic
7577,Sweden
7516,Saudi Arabia
7165,Malawi
6887,Peru
6775,Taiwan
6439,Israel
5862,Vietnam
5583,Poland
4960,Portugal
4854,Austria
4082,Pakistan
4041,Tanzania
3979,Finland
3791,Nigeria
3607,Ecuador
3439,Colombia
3394,Slovenia
3278,Pacific Ocean
3245,Iceland
3089,Turkey
2945,Antarctica
2920,Hong Kong
2910,Argentina
2839,Ghana
2831,Fiji
2775,Gambia
2708,Cambodia
2649,Malaysia
2457,Burkina Faso
2440,Ethiopia
2315,Indonesia
2143,Greece
2132,Mozambique
2087,Hungary
2033,Lebanon
1894,Atlantic Ocean
1880,Uganda
1834,Slovakia
1798,Egypt
1509,Tunisia
1452,Nepal
1211,Democratic Republic of the Congo
1134,Myanmar
1111,Estonia
1074,Romania
1042,Ukraine
990,Botswana
987,Madagascar
975,Qatar
973,Iran
960,Arctic Ocean
950,Costa Rica
923,Bulgaria
910,Guadeloupe
866,Samoa
835,Senegal
806,Serbia
801,Laos
792,Lithuania
774,Philippines
771,United Arab Emirates
738,Jordan
723,Cameroon
723,Haiti
705,Niger
675,Mali
650,Croatia
635,Georgia
626,Panama
618,Paraguay
610,Algeria
606,Indian Ocean
598,Sri Lanka
594,Latvia
584,Belarus
555,Greenland
549,Zambia
533,Kazakhstan
529,Morocco
469,Kuwait
464,Benin
454,Uruguay
434,Central African Republic
370,Mongolia
344,Rwanda
343,Sudan
339,Venezuela
337,Trinidad and Tobago
337,Guatemala
317,Zimbabwe
311,Togo
305,Dominican Republic
282,Puerto Rico
279,Guyana
277,Reunion
266,North Korea
253,Oman
245,Cyprus
245,Luxembourg
244,Montenegro
226,Ivory Coast
224,Bolivia
223,Palestine
218,Iraq
217,Moldova
205,Honduras
199,Papua New Guinea
197,Namibia
196,New Caledonia
190,Afghanistan
182,Mediterranean Sea
170,Jersey
167,Kyrgyzstan
159,Uzbekistan
151,Mauritius
151,Kosovo
139,Gabon
135,Svalbard
133,Baltic Sea
130,Maldives
122,Cuba
121,Comoros
116,Cabo Verde
112,Sao Tome and Principe
108,French Guiana
103,Saint Kitts and Nevis
98,North Sea
91,Northern Asia
89,Mayotte
86,Guinea
80,Bahamas
78,Grenada
77,Armenia
75,Djibouti
68,Tonga
68,Bahrain
62,Albania
61,Jamaica
57,Guam
57,Sierra Leone
56,Belize
53,Turkmenistan
52,Somalia
48,Bosnia and Herzegovina
47,Syria
45,Malta
45,Martinique
45,Azerbaijan
43,Suriname
41,Christmas Island
40,Nicaragua
40,French Polynesia
39,Angola
39,Chad
35,Southern Ocean
34,Libya
31,Republic of the Congo
30,El Salvador
30,Solomon Islands
30,Saint Lucia
29,Guinea-Bissau
27,Tajikistan
23,Yugoslavia
22,Seychelles
22,Eritrea
21,Barbados
21,Micronesia
19,Czechoslovakia
19,Palau
18,Burundi
17,Cayman Islands
16,Eswatini
13,Mauritania
13,Tasman Sea
11,Vanuatu
11,Liberia
11,Palmyra Atoll
10,South Sudan
10,Faroe Islands
10,Line Islands
10,Virgin Islands
10,American Samoa
8,North Macedonia
8,Yemen
8,Kiribati
7,Curacao
7,Congo
6,Northern Mariana Islands
6,Montserrat
5,Bermuda
5,Bhutan
5,Liechtenstein
5,Equatorial Guinea
4,South Georgia and the South Sandwich Islands
2,Timor-Leste
2,Brunei
2,Lesotho
2,Macau
1,Sint Maarten
1,Dominica
1,Marshall Islands
