count,subcontinent
1119551,Northern America
297099,Northern Europe
271183,Eastern Asia
141171,Western Europe
102660,Australia and New Zealand
51506,Southern Europe
46593,South America
38293,South-Eastern Asia
36019,Southern Asia
29949,Eastern Africa
23849,Western Asia
20958,Eastern Europe
18528,Southern Africa
15390,Western Africa
12372,Central America
10394,Northern Asia
6773,Ocean
4823,Northern Africa
3267,Melanesia
3139,Caribbean
2945,Antarctica
2740,Middle Africa
1136,South-eastern Asia
1005,Polynesia
939,Central Asia
426,Sea
112,Micronesia
