count,host_original
11,Antho dichotoma
6,flower
6,protist
6,uncultured eukaryote
6,Sprague Dawley
5,marine macroalgae
4,saffron finche
4,Hexactinellid
4,Chacoan mara
4,Possum
4,clover
4,D. marginatus
4,macroalgae
3,Perognathus penicillatus
3,Otariinae
3,Phalangeriformes
3,Carpobrotus rossii
3,Oryctes gigas
3,protozoa
3,"Crasosstrea spp., Farfantepenaeus spp."
3,blackberry
3,Trididemnum orbiculatum
3,lilac
3,celery
3,Discodermia calyx
3,dinoflagellate
3,Aachener Minipig
2,Beilhmielda manni
2,anguine
2,possum
2,Celery
2,Morone saxatilis x M. chrysops
2,seabass
2,Sugar cane
2,Barbera
2,Hazelnut
2,Broussonetia kazinoki Sieb. X Broussonetia papyrifa Vent.
2,Dercitus (Stoeba) latex
2,Aphidus ervi
2,horsechestnut
2,Hazel
2,Diestrammena coreana
2,rhodolith
2,zoanthid Palythoa caribaeorum
2,Bombax costatum
2,black gobi
2,Averhoa belimbi
2,bracket mold
2,sponges
2,Lasioglossum apopkense
2,Neopsylla setosa
2,Capsella sp.
2,B. oleracea var. rubra
2,E. vesicaria ssp. sativa
2,Suidae sp. LYD
2,Nasonia sp. VxG hybrid
2,Stichoplastoris elusinus
2,Gynura pseudochina L.DC.
2,Olallieberry
2,Sainfoin
2,Crabapple
2,Caraganae sp.
2,Menacanthus eurysternus GA72
2,Ocimum lamiifolium
2,Stevia rebaudiana Bertoni
2,Panax ginseng Meyer
2,Allomyria dichotoma
2,wangyaru
2,grasses
2,Morone chrysops X M. saxatilis
2,marine ciliate
2,Arvicolinae sp.
2,Aplysina aerophoba SAPs10
2,Aplysina aerophoba SAPs15
2,Haliclonissa verrucosa (sponge)
2,Lissodendoryx nobilis
2,Anoxycalyx joubini
2,Hyacint
2,Siphamia cephalotes
2,Dinoflagellate
2,N. makaihe
2,N. ponapona
2,N. sp. 246
2,N. kanawao
2,N. sp. 15
2,N. sp. 48
2,N. sp. 242
2,N. sp. 58
2,N. sp. 21
2,N. sp. 17
2,N. sp. 126
2,N. sp. 29
2,N. sp. 23
2,N. haleakala
2,N. sp. 281
2,N. sp. 302
2,N. ogradyi
2,N. sp. 295
2,Q. agrifolia x Q. wislizeni
2,Picochlorum sp. 122
2,Amphilectus digitatus
2,melon
2,Jiuqu
2,Cryptomonas gyropyrenoidosa SAG 25.80
2,Diplonema japonicum YPF1604
2,B. minor
1,toucan
1,Partridge
1,eared grebe
1,Pelicanus rufescens
1,Varanus albigularis ionidesi
1,Others -Heterodon platrhinos
1,cetacean
1,Otis tarde
1,anatine
1,Focha andina
1,weever
1,Hawk
1,Soy
1,Agamid
1,opposum
1,Lampine
1,albatros
1,waterbird
1,Basunti mas
1,Tinamu major
1,Lyonycteris spurrelli
1,Marmosa camescens
1,Eupsittula pertinax ocularis
1,Sula nebouxi
1,Buffonidae sp
1,South american tapirus terrestris
1,night heron
1,capercailie grouse
1,stork
1,heron
1,macaw
1,Abyssinian ground hornbill
1,soldier
1,slender-horned gazella
1,Cockatoo sp.
1,House martin
1,Dunnock
1,Superb Starling
1,Pakchoi
1,Garlic bolt
1,White-Breasted Nuthatch
1,Shanxi
1,Sichuan
1,Hainan
1,wood-wren
1,Serinus canaria forma domestica
1,Bluefox
1,Neonates
1,Epalzeothynchos frenatum
1,wild rabbits
1,"Bootsock, Great Harewood"
1,snipe
1,Red tailed hawk
1,White radish
1,Weever
1,marter
1,partridge
1,Cloudrat
1,GuineaPig
1,Desmodium pulchellum
1,roe buck
1,wild chukar
1,Maoctra Veneriformis
1,Anopheline albitarsis
1,straw
1,Ustilago maydis YZZF202006
1,Padding
1,Lemuroidea
1,sprouted soy
1,gander
1,red cocoyam
1,Sangiovese
1,Ortrugo
1,olive
1,Geophilidae_myriapod
1,swallow
1,Pistacia chinensis Bunge
1,olive knot (Olea europaea)
1,Apium graveolens L. var. dulce
1,Broussonetia kazinoki X Broussonetia papyrifa
1,hime-yuzuriha
1,Persicae
1,ciliate
1,Anemarrhena asphodeloides Bunge
1,Mullberry
1,Barberry
1,Chinese chive
1,Rapeseed
1,reed
1,Zoysia sinica Hance
1,nature
1,Terfezia claveryi Chatin
1,Landolita
1,Winterberry holly
1,ferr living
1,Phyton sp.
1,Parthenium argentatum Gray (guayule shrubs)
1,Pullet carpet shell
1,BSFL
1,Bacteriophage
1,Bombyx mori larvae
1,red-billed woodhoopoe
1,Bedding
1,cockatoo
1,Cuttloefish
1,Ostrea edulis larvae
1,Akashiwo sangruia
1,diseased yellow croaker
1,Others -Oxycirrhites typus
1,cage-cultured red drum
1,Mya arenaria oonogai Makiyama
1,Scleritoderma cyanea
1,flumen aquae
1,Hipocampus ingens (seahorse)
1,shirasu
1,Giant seaperch
1,Corbicula aurea
1,mudfish
1,Vibriosis affected Asian seabass (Lates calcarifer) fingerling
1,Cronobacter malonaticus LMG 23826
1,Anolis marmoratus speciosus
1,longicorn
1,"Anopheles gambiae G3 strain, lab colony"
1,Contoneaster amiguus
1,GROUNDNUT
1,Tabaco
1,Fritillaria taipaiensis P. Y. Li
1,Honeysuckle
1,Guang Chen Pi
1,Ephistia cautella
1,budworm
1,Ephestia (Aphomia) qularis
1,smooth vetch
1,palm
1,Thai silk cocoon
1,Euphorbia hirta Linn.
1,Fragaria x ananassa Duch.
1,Primula vulgaris seeds
1,Sanqi
1,ivy
1,chili
1,silk worm litter
1,Paramyelois transitella
1,casava
1,Aspergillus flavus sclerotia
1,Vectobac
1,wheatgrass
1,chinese okra
1,invertebrates
1,F21Forl
1,M422A2
1,Bombyx mori litter
1,peony
1,M21Kner
1,Tryonyx sinensis (Chinese soft-shell turtle)
1,Macrotermes natalensis colony Mn106
1,Nostoc flagelliforme colonies
1,Erigeron annuus L. Pers
1,Angelica sinensis Dlies
1,Sophora tonkinensis Radix
1,wenyujin
1,honeysuckle
1,Polygonatum cyrtonema Hua
1,Chinese chives
1,Amitermes hastatus
1,LEPM 108
1,Fritillariae Cirrhosae
1,Juniperus excelsa M. Bieb.
1,Streptomyes sp.HNM0140
1,Justicia subcoriacea
1,Salp sp.
1,O. stricta
1,Xestosponiga sp. QYP07 (sponge)
1,Xestospongia sp. SYM12 (sponge)
1,Peperomia dindygulensis Miq.
1,Axinellida sp. (marine sponge)
1,M43Fcsw
1,Adenophora trachelioides Maxim.
1,M43Plmr
1,F34Frhd
1,Cyanobacterium Lyngbya cf. aestuarii
1,Streptomyces
1,Lissodendoryx diversichela
1,Ipomoea batatas [L.] Lam.
1,Eucommia ulmoides Oliver
1,Brasillia sp.
1,Ursidae sp.
1,M41Glns
1,Orchid
1,Saurania reinwardti
1,aquatic mosses
1,slime mold
1,Haemophilus ducreyi
1,C57BL/6J
1,tenophyllus hirticrus
1,Siberian jerboa (Allactagasibirica)
1,Ctenophthalmus orientalis
1,Citellus musticus
1,Pallasiomys meridianus
1,Haemophisalus
1,Coleophora tesquorum
1,Ctenophthalmus teres
1,Paradoxopsyllus scorodumovi
1,Blandfordimys juldaschi carruthersi
1,Citellus fulvus
1,Stiralius aporus rectodigitus
1,Amphisylla
1,Lagria grenieri
1,Saccharum officinarum SP80-1842
1,boxwood
1,gingsen
1,Concentrated platelets mixture
1,Concentrated platelets mixture -Preservative solution
1,Concentrated platelets mixture-Preservative solution
1,Hydrangea arborescens cv Bella Anna
1,Vibernum davidii
1,Crape Myrtle
1,Strawberry cv. Aura
1,Strawberry cv. Festival
1,Strawberry cv. Capri
1,Strawberry cv. Sweet Charlie
1,Strawberry cv. Syria
1,Strawberry cv. Malaga
1,Strawberry cv. Roxana
1,Sinapsis avensis
1,Rhynchosiae phaseoloides
1,Nightshade (Solanum nigrum)
1,Latuca sp.
1,Linaria sp.
1,Cucurbit
1,Orizae sativa L.
1,mexican lime
1,Greek oregano
1,B. oleracea var. alba
1,B. oleracea var. sabauda
1,Ipomea obscura
1,"""Ipomoea aquatic"""
1,Manihot esculenta Crantz
1,Crambe sp.
1,brolier
1,pasture gramineae
1,M32Plmr
1,scrub2
1,bath1b
1,scrub1a
1,bath1a
1,Borellia bruneri
1,sika
1,Nasonia vitripennis x Nasonia giraulti hybrid
1,Panthera tigris Amoyensis facel
1,S.paradoxus
1,Boraras naevus
