count,isolation_source_sd
253022,feces/stool
126784,blood
76356,poultry meat/product
70531,urine
55238,gut content
46780,sterile body site
38885,metadata descriptor/non-source
35935,environmental sample
34759,clinical sample
34381,sputum
33197,rectum
32761,nasopharynx/oropharynx
26817,soil
26643,food/food product
26617,healthcare facility
20924,wound
17337,nasal site
15124,plant-associated material
14785,pork/meat product
14322,beef/meat product
14028,turkey meat/product
12045,water
11855,skin
10871,whole organism
10779,respiratory sample
10603,sediment
10353,lung
10053,cell culture
9615,wastewater
9375,body fluid
9205,milk
7162,tissue
7063,environmental material
6555,plant/produce food product
6190,cerebrospinal fluid
6144,seawater
5973,dairy food
5631,farm
5519,culture
5409,liver
5385,oral cavity
5069,sewage
4942,swab
4848,meat product
4453,perianal/anal swab
4349,bronchoalveolar lavage fluid
4130,surface
3992,abscess
3913,seafood/aquatic food product
3842,urban
3625,freshwater
3622,laboratory
3324,pure culture
3225,microbial isolate
3215,single cell
3171,urethra/penis
3107,stream
2932,metagenome
2828,broiler
2818,poultry
2783,gastric biopsy
2638,tracheal aspirate
2589,ear
2564,pus
2487,lake water
2417,aspirate
2410,mixed culture
2292,fecal/stool swab
2226,Oyster
2202,pond
2114,catheter
2093,canal
2006,leaf tissue
1971,marine
1919,groundwater
1842,bacterial culture
1837,hot spring water
1829,secretion
1760,groin
1710,drainage
1676,manure
1572,spore release material
1546,saliva
1536,bone
1520,biofilm
1478,biopsy
1471,sample
1469,environmental water
1453,cloacal swab
1446,marine sediment
1405,drain
1364,skin/body-surface swab
1313,vaginal site
1293,shrimp
1266,hospital wastewater
1248,cervix
1206,sludge
1192,sink
1174,heart
1141,core
1133,Citrus leaf
1127,bloodstream
1104,Cheese rind
1103,pure/single culture
1100,bile
1002,terrestrial environment
972,lymph node
955,brain
933,rectovaginal site
919,salmon
910,hospital sewage
905,pleural fluid
893,Marmota himalayana
883,urogenital
861,eye
835,irrigation canal
785,kidney
774,metal
740,environmental swab
680,air
678,spleen
674,vaginal swab
672,ground chicken
667,food/animal-production swab
662,Physical
644,sponge
639,enrichment culture
624,oropharyngeal/throat swab
612,ice cream
609,leachate
597,fermented food/beverage
590,Aquatic products
589,gill
571,deciduous forest
569,ice core section from central arctic ocean
568,deep-sea hydrothermal deposit
567,estuary
542,dairy milk
542,Nottingham
541,built-environment water
536,urogenital swab
536,cultured embryonic stem cells
532,pancreas
523,kratom
517,glacier
512,enoki mushroom
508,DNA extract
506,drinking/distribution water
506,plant root/rhizosphere
499,dental plaque
499,saline/brine water
494,trachea
487,cubital fossa
480,surface layer
458,wood
449,Agricultural
434,avocado
434,water column
425,anthropogenic
422,oral/oropharyngeal swab
421,produced fluids from hydraulically fractured shales
411,placenta
411,abdomen
411,intestinal epithelial cells
410,ascites
403,liver abscess
395,anaerobic digester
393,prawn product
380,built environment surface
378,plant stem
377,fish
371,rectal/cloacal/perianal swab
370,wildlife
357,Meriones unguiculatus
348,cilantro
346,Římov reservoir
339,mammary gland
335,fluff/lint material
311,Gastric
310,tooth
299,peanut butter
293,compost
292,dust
277,whole genome sequencing sample
276,genitourinary tract
274,colon contents
273,respiratory swab
272,Guyana
271,endovascular
270,leafy greens
268,tree nut
263,wound/lesion/abscess swab
257,cold seep
253,Buffy Coat
241,irrigation water
238,Whole polyp cell suspension neuron
225,domestic wastewater
211,Ruminal microbiome of Nelore
210,nodules
210,estuarine water
208,infection
208,China:Shenzhen
200,catfish product
199,Breast
198,decomposed grub time point 2
198,patients
198,Southern Sea Otter
197,lesion
196,cxwnd
193,OT
188,Right-Popliteal-Fossa
187,digestive system
187,H�pitaux Universitaires - Henri Mondor
185,Layers
185,colon
185,South Tunisia
185,Non-CF Bronchiectasis
184,ENVO:00000114
182,Colon
180,SSTI
179,marine shellfish
178,recto-anal junction
178,mud
177,urea
177,retail deli
177,sea ice
176,genital
174,Bovine hide
174,excreted bodily substance
173,rodent
170,host-associated
169,Perineum
168,surgical site
167,Inshell pistachio from a storage silo
166,cloaca
166,spring water
165,slurry
165,Community
165,Extraintestinal sites
164,Western Australia
163,Chick paper
