count,host_original,cluster,recommended_action,recommended_host_sd,recommended_taxid,rank,confidence,reason
11,Antho dichotoma,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
4,saffron finche,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
4,Possum,common_host_name,add_reviewed_host_synonym,Phalangeriformes,38603,order,medium,reviewed broad possum group; species ambiguous
4,D. marginatus,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,Perognathus penicillatus,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,Otariinae,common_host_name,add_reviewed_host_synonym,Otariinae,9709,subfamily,medium,reviewed sea lion/fur seal subfamily
3,Phalangeriformes,common_host_name,add_reviewed_host_synonym,Phalangeriformes,38603,order,medium,reviewed possum group
3,Carpobrotus rossii,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,Oryctes gigas,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,protozoa,common_host_name,add_reviewed_host_synonym,Eukaryota,2759,superkingdom,medium,reviewed broad protozoan/eukaryote host
3,"Crasosstrea spp., Farfantepenaeus spp.",ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,Trididemnum orbiculatum,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,lilac,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,Discodermia calyx,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
3,dinoflagellate,common_host_name,add_reviewed_host_synonym,Dinophyceae,2864,class,medium,reviewed broad dinoflagellate host
2,Beilhmielda manni,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,anguine,common_host_name,add_reviewed_host_synonym,Squamata,8509,order,medium,reviewed broad snake/lizard adjective; kept broad
2,Sow,common_host_name,add_reviewed_host_synonym,Sus scrofa,9823,species,high,reviewed common female pig host
2,possum,common_host_name,add_reviewed_host_synonym,Phalangeriformes,38603,order,medium,reviewed broad possum group; species ambiguous
2,seabass,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Sugar cane,common_host_name,add_reviewed_host_synonym,Saccharum officinarum,4547,species,high,reviewed crop host/common name
2,Barbera,common_host_name,add_reviewed_host_synonym,Vitis vinifera,29760,species,high,reviewed grape cultivar host/source
2,Hazelnut,common_host_name,add_reviewed_host_synonym,Corylus,13451,genus,medium,reviewed broad hazelnut plant host
2,Dercitus (Stoeba) latex,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Aphidus ervi,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,horsechestnut,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Hazel,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Diestrammena coreana,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,rhodolith,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,zoanthid Palythoa caribaeorum,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Bombax costatum,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,black gobi,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Averhoa belimbi,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,bracket mold,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Lasioglossum apopkense,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Neopsylla setosa,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Capsella sp.,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,B. oleracea var. rubra,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,E. vesicaria ssp. sativa,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Suidae sp. LYD,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Nasonia sp. VxG hybrid,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Stichoplastoris elusinus,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Olallieberry,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Sainfoin,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Crabapple,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Caraganae sp.,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Ocimum lamiifolium,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Allomyria dichotoma,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,wangyaru,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,grasses,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,marine ciliate,ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
2,Haliclonissa verrucosa (sponge),ambiguous_manual_review,leave_review_needed,,,,none,No conservative final-host rule matched.
