count,host_original,host_method,decision,destination,proposed_value,reason
676,Food,non_host_source,route_non_host_source,Isolation_Source_SD,food/food product,food source
492,wastewater,non_host_source,route_non_host_source,Environment_Medium_SD,wastewater,wastewater source
408,Environmental,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
377,Environment,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
211,environment,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
175,soil,non_host_source,route_non_host_source,Environment_Medium_SD,soil,soil source
163,environmental,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
157,stool,non_host_source,route_non_host_source,Sample_Type_SD,feces/stool,feces/stool material
143,Water,non_host_source,route_non_host_source,Environment_Medium_SD,water,water source
124,seafood,non_host_source,route_non_host_source,Sample_Type_SD,seafood,seafood source
101,Wastewater,non_host_source,route_non_host_source,Environment_Medium_SD,wastewater,wastewater source
100,environmental sample,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
97,Soil,non_host_source,route_non_host_source,Environment_Medium_SD,soil,soil source
92,meat,non_host_source,route_non_host_source,Sample_Type_SD,meat product,meat/food source
79,WATER,non_host_source,route_non_host_source,Environment_Medium_SD,water,water source
75,environmental waters,non_host_source,route_non_host_source,Environment_Medium_SD,water,water source
55,"Dairy Farm, Water",non_host_source,route_non_host_source,Environment_Medium_SD,water,water source
50,dairy product,non_host_source,route_non_host_source,Sample_Type_SD,milk/dairy product,milk/dairy source
49,"Dairy Farm, Faecal",non_host_source,route_non_host_source,Sample_Type_SD,feces/stool,feces/stool material
49,Hospital environment,non_host_source,route_non_host_source,Isolation_Source_SD,healthcare facility,healthcare environment
48,freshwater metagenome,non_host_source,route_non_host_source,Environment_Medium_SD,freshwater,freshwater source
45,water,non_host_source,route_non_host_source,Environment_Medium_SD,water,water source
42,"Food, pork",non_host_source,route_non_host_source,Isolation_Source_SD,food/food product,food source
42,indoor metagenome,non_host_source,retained_manual_review,,,No deterministic source/sample/environment route matched.
35,imported food,non_host_source,route_non_host_source,Isolation_Source_SD,food/food product,food source
32,soil metagenome,non_host_source,route_non_host_source,Environment_Medium_SD,soil,soil source
26,ready-to-eat food,non_host_source,route_non_host_source,Isolation_Source_SD,food/food product,food source
26,lake water,non_host_source,route_non_host_source,Environment_Medium_SD,lake water,lake water source
24,sediment,non_host_source,route_non_host_source,Environment_Medium_SD,sediment,sediment source
23,food,non_host_source,route_non_host_source,Isolation_Source_SD,food/food product,food source
23,metagenome,non_host_source,retained_manual_review,,,No deterministic source/sample/environment route matched.
22,Milk powder,non_host_source,route_non_host_source,Sample_Type_SD,milk/dairy product,milk/dairy source
21,milk product,non_host_source,route_non_host_source,Sample_Type_SD,milk/dairy product,milk/dairy source
20,"Poultry Environment, bootsock",non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
17,ICU environment,non_host_source,route_non_host_source,Isolation_Source_SD,healthcare facility,healthcare environment
14,fecal,non_host_source,route_non_host_source,Sample_Type_SD,feces/stool,feces/stool material
12,feces metagenome,non_host_source,route_non_host_source,Sample_Type_SD,feces/stool,feces/stool material
12,grassland soil,non_host_source,route_non_host_source,Environment_Medium_SD,soil,soil source
10,Meat,non_host_source,route_non_host_source,Sample_Type_SD,meat product,meat/food source
10,farm environment,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
