assembly_accession	biosample	organism	rule_id	field	previous_value	is_primary
GCA_001053095.1	SAMEA859916	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001053095.1	SAMEA859916	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001053095.1	SAMEA859916	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001089645.1	SAMEA859870	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001089645.1	SAMEA859870	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001089645.1	SAMEA859870	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001104045.1	SAMEA859877	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001104045.1	SAMEA859877	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001104045.1	SAMEA859877	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001125265.1	SAMEA859893	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001125265.1	SAMEA859893	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001125265.1	SAMEA859893	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001136465.1	SAMEA859914	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001136465.1	SAMEA859914	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001136465.1	SAMEA859914	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001142745.1	SAMEA859868	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001142745.1	SAMEA859868	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001142745.1	SAMEA859868	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001144805.1	SAMEA859932	Yersinia kristensenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001144805.1	SAMEA859932	Yersinia kristensenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001144805.1	SAMEA859932	Yersinia kristensenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001149645.1	SAMEA859879	Yersinia mollaretii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001149645.1	SAMEA859879	Yersinia mollaretii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001149645.1	SAMEA859879	Yersinia mollaretii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001150985.1	SAMEA859917	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001150985.1	SAMEA859917	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001150985.1	SAMEA859917	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001151185.1	SAMEA859881	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001151185.1	SAMEA859881	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001151185.1	SAMEA859881	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001152185.1	SAMEA859904	Yersinia rohdei	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001152185.1	SAMEA859904	Yersinia rohdei	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001152185.1	SAMEA859904	Yersinia rohdei	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001166625.1	SAMEA859871	Yersinia intermedia	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001166625.1	SAMEA859871	Yersinia intermedia	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001166625.1	SAMEA859871	Yersinia intermedia	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001167085.1	SAMEA859880	Yersinia intermedia	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001167085.1	SAMEA859880	Yersinia intermedia	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001167085.1	SAMEA859880	Yersinia intermedia	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001244605.1	SAMEA859918	Yersinia kristensenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001244605.1	SAMEA859918	Yersinia kristensenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001244605.1	SAMEA859918	Yersinia kristensenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001319525.1	SAMEA859853	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001319525.1	SAMEA859853	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001319525.1	SAMEA859853	Yersinia frederiksenii	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001319745.1	SAMEA859915	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001319745.1	SAMEA859915	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001319745.1	SAMEA859915	Yersinia similis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001319885.1	SAMEA859934	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001319885.1	SAMEA859934	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001319885.1	SAMEA859934	Yersinia pseudotuberculosis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	dictionary	false
GCA_001643135.1	SAMN04489739	Sphingobium yanoikuyae	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD	healthy/control	true
GCA_001643135.1	SAMN04489739	Sphingobium yanoikuyae	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Detail	healthy/control	false
GCA_001643135.1	SAMN04489739	Sphingobium yanoikuyae	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Method	context_dictionary	false
GCA_001877015.1	SAMN05948859	Glaesserella parasuis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	true
GCA_001877015.1	SAMN05948859	Glaesserella parasuis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Detail	diseased/patient	false
GCA_001877015.1	SAMN05948859	Glaesserella parasuis	SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD_Method	context_dictionary	false
GCA_002075615.1	SAMN06124517	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD	healthy/control	true
GCA_002075615.1	SAMN06124517	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Detail	healthy/control	false
GCA_002075615.1	SAMN06124517	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Method	context_dictionary	false
GCA_002075655.1	SAMN06124516	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD	healthy/control	true
GCA_002075655.1	SAMN06124516	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Detail	healthy/control	false
GCA_002075655.1	SAMN06124516	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Method	context_dictionary	false
GCA_002075695.1	SAMN06124499	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD	healthy/control	true
GCA_002075695.1	SAMN06124499	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Detail	healthy/control	false
GCA_002075695.1	SAMN06124499	Cronobacter sakazakii	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Method	context_dictionary	false
GCA_002208725.2	SAMN06173319	Prevotella melaninogenica	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD	healthy/control	true
GCA_002208725.2	SAMN06173319	Prevotella melaninogenica	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Detail	healthy/control	false
GCA_002208725.2	SAMN06173319	Prevotella melaninogenica	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Method	context_dictionary	false
GCA_002285635.2	SAMN07488153	Chryseobacterium piperi	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD	healthy/control	true
GCA_002285635.2	SAMN07488153	Chryseobacterium piperi	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Detail	healthy/control	false
GCA_002285635.2	SAMN07488153	Chryseobacterium piperi	SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD_Method	context_dictionary	false
