assembly_accession	biosample	organism	changed_fields	matched_rules	outcomes
GCA_001053095.1	SAMEA859916	Yersinia similis	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001089645.1	SAMEA859870	Yersinia frederiksenii	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001104045.1	SAMEA859877	Yersinia pseudotuberculosis	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001125265.1	SAMEA859893	Yersinia pseudotuberculosis	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001136465.1	SAMEA859914	Yersinia similis	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001142745.1	SAMEA859868	Yersinia frederiksenii	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001144805.1	SAMEA859932	Yersinia kristensenii	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001149645.1	SAMEA859879	Yersinia mollaretii	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001150985.1	SAMEA859917	Yersinia pseudotuberculosis	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
GCA_001151185.1	SAMEA859881	Yersinia frederiksenii	Host_Context_SD;Host_Health_State_SD;Host_Health_State_SD_Detail;Host_Health_State_SD_Method;Semantic_Axis_Provenance	SC1-HHS-DISEASED-PATIENT-HEALTH;SC1-HHS-DISEASED-PATIENT-HUMAN	"[{""condition"":""always"",""detail"":"""",""evidence"":""condition=always"",""field"":""Host_Health_State_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HEALTH"",""status"":""applied"",""value"":""diseased""},{""condition"":""human_host_evidence"",""detail"":"""",""evidence"":""human_host_evidence=true"",""field"":""Host_Context_SD"",""rule_id"":""SC1-HHS-DISEASED-PATIENT-HUMAN"",""status"":""applied"",""value"":""human-associated""}]"
