assembly_accession	biosample	organism	rule_id	field	previous_value	is_primary
GCA_000025705.1	SAMN02598496	Sideroxydans lithotrophicus ES-1	SC1-ENV-LOCAL-GROUNDWATER	Environment_Local_Scale_SD	groundwater	true
GCA_000143085.1	SAMN02598531	Nitrosococcus watsonii C-113	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000147735.3	SAMN00016994	Shewanella baltica BA175	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000148645.1	SAMN00115627	Ferrimonas balearica DSM 9799	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000165505.1	SAMN00116458	Ilyobacter polytropus DSM 2926	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000165715.3	SAMN00103628	Rubinisphaera brasiliensis DSM 5305	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000175595.1	SAMN02441784	Clostridium carboxidivorans P7	SC1-ENV-LOCAL-AGRICULTURAL-ENV	Environment_Local_Scale_SD	agricultural environment	true
GCA_000177275.2	SAMN02472029	Candidatus Poribacteria bacterium WGA-A3	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000178875.2	SAMN00016780	Shewanella baltica OS678	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000179535.2	SAMN02256524	Shewanella baltica OS183	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000183745.1	SAMN00138957	Oceanithermus profundus DSM 14977	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000185925.2	SAMN02469497	Paracoccus sp. TRP	SC1-ENV-BROAD-WASTEWATER	Environment_Local_Scale_SD	activated sludge	true
GCA_000188955.5	SAMN00710608	Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000190735.2	SAMN00103626	Pseudopedobacter saltans DSM 12145	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000191045.1	SAMN00713591	Desulfurobacterium thermolithotrophum DSM 11699	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000192865.1	SAMN00713593	Marinomonas mediterranea MMB-1	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000194135.1	SAMN00713597	Hippea maritima DSM 10411	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000195335.1	SAMN00713602	Marinithermus hydrothermalis DSM 14884	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000195835.3	SAMEA20450668	Mycobacterium tuberculosis variant bovis AF2122/97	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000214215.1	SAMN00713622	Marinomonas posidonica IVIA-Po-181	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000214335.2	SAMN02470047	Sphingomonas sp. KC8	SC1-ENV-BROAD-WASTEWATER	Environment_Local_Scale_SD	activated sludge	true
GCA_000215895.1	SAMN00713637	Shewanella baltica OS117	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000217795.1	SAMN02232057	Thermodesulfatator indicus DSM 15286	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000218625.1	SAMN02232022	Flexistipes sinusarabici DSM 4947	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000224065.2	SAMN02256531	Thiorhodococcus drewsii AZ1	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000228725.3	SAMN02261404	Thiorhodovibrio frisius	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000230655.3	SAMN02261406	Thermotoga maritima MSB8	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000230675.2	SAMN02261394	Synechococcus sp. WH 8016	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000231345.2	SAMN02256537	Shewanella baltica OS625	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000231385.3	SAMN02261405	Desulfosporosinus meridiei DSM 13257	SC1-ENV-LOCAL-GROUNDWATER	Environment_Local_Scale_SD	groundwater	true
GCA_000237885.2	SAMN02471579	Stutzerimonas stutzeri ATCC 14405 = CCUG 16156	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000240225.2	SAMN02391504	Patulibacter medicamentivorans	SC1-ENV-BROAD-WASTEWATER	Environment_Local_Scale_SD	activated sludge	true
GCA_000255135.1	SAMN02261422	Marinitoga piezophila KA3	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000258765.1	SAMN02470140	Gillisia marina	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000259075.1	SAMN02469978	Marinilabilia salmonicolor JCM 21150	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000265385.1	SAMN02232006	Aequorivita sublithincola DSM 14238	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000265505.1	SAMN02261370	Bernardetia litoralis DSM 6794	SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	true
GCA_000271485.2	SAMN01057329	Pelosinus fermentans DSM 17108	SC1-ENV-LOCAL-GROUNDWATER	Environment_Local_Scale_SD	groundwater	true
GCA_000280075.1	SAMN01041114	Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280155.1	SAMN01041109	Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280175.1	SAMN01041093	Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280195.1	SAMN01041105	Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-22	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280215.1	SAMN01041106	Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-70	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280235.1	SAMN01041116	Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-26	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280255.1	SAMN01041117	Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280275.1	SAMN01041121	Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280295.1	SAMN01041122	Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280415.1	SAMN01041137	Salmonella enterica subsp. enterica serovar Enteritidis str. 648905 5-18	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
GCA_000280435.1	SAMN01041133	Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 6-18	SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	true
