assembly_accession	biosample	organism	changed_fields	matched_rules	outcomes
GCA_000024165.1	SAMN02598465	Candidatus Accumulibacter phosphatis		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=wastewater"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000024365.1	SAMN02598467	Nakamurella multipartita DSM 44233		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=sludge"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000024985.1	SAMN02598446	Sphaerobacter thermophilus DSM 20745		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=sewage"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000025705.1	SAMN02598496	Sideroxydans lithotrophicus ES-1	Environment_Local_Scale_SD;Semantic_Axis_Provenance	SC1-ENV-LOCAL-GROUNDWATER	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-LOCAL-GROUNDWATER"",""status"":""already_same"",""value"":""groundwater""}]"
GCA_000025885.1	SAMN02598488	Aminobacterium colombiense DSM 12261		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=wastewater"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000092405.1	SAMN02598518	Syntrophothermus lipocalidus DSM 12680		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=sludge"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000092945.1	SAMN02598533	Thermincola carboxydiphila JR		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=sludge"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000143085.1	SAMN02598531	Nitrosococcus watsonii C-113	Environment_Medium_SD;Semantic_Axis_Provenance	SC1-ENV-MEDIUM-MARINE	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Broad_Scale_SD"",""rule_id"":""SC1-ENV-MEDIUM-MARINE"",""status"":""already_same"",""value"":""marine environment""}]"
GCA_000144625.1	SAMN00017134	[Clostridium] saccharolyticum WM1		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=sludge"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000145255.1	SAMN00002572	Gallionella capsiferriformans ES-2		SC1-ENV-LOCAL-GROUNDWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=freshwater"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-LOCAL-GROUNDWATER"",""status"":""existing_different"",""value"":""groundwater""}]"
GCA_000147735.3	SAMN00016994	Shewanella baltica BA175	Environment_Medium_SD;Semantic_Axis_Provenance	SC1-ENV-MEDIUM-MARINE	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Broad_Scale_SD"",""rule_id"":""SC1-ENV-MEDIUM-MARINE"",""status"":""already_same"",""value"":""marine environment""}]"
GCA_000148645.1	SAMN00115627	Ferrimonas balearica DSM 9799	Environment_Medium_SD;Semantic_Axis_Provenance	SC1-ENV-MEDIUM-MARINE	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Broad_Scale_SD"",""rule_id"":""SC1-ENV-MEDIUM-MARINE"",""status"":""already_same"",""value"":""marine environment""}]"
GCA_000165505.1	SAMN00116458	Ilyobacter polytropus DSM 2926	Environment_Medium_SD;Semantic_Axis_Provenance	SC1-ENV-MEDIUM-MARINE	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Broad_Scale_SD"",""rule_id"":""SC1-ENV-MEDIUM-MARINE"",""status"":""already_same"",""value"":""marine environment""}]"
GCA_000165715.3	SAMN00103628	Rubinisphaera brasiliensis DSM 5305	Environment_Medium_SD;Semantic_Axis_Provenance	SC1-ENV-MEDIUM-MARINE	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Broad_Scale_SD"",""rule_id"":""SC1-ENV-MEDIUM-MARINE"",""status"":""already_same"",""value"":""marine environment""}]"
GCA_000165795.1	SAMN02256532	Aminomonas paucivorans DSM 12260		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=wastewater"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000175595.1	SAMN02441784	Clostridium carboxidivorans P7	Environment_Local_Scale_SD;Semantic_Axis_Provenance	SC1-ENV-LOCAL-AGRICULTURAL-ENV	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Broad_Scale_SD"",""rule_id"":""SC1-ENV-LOCAL-AGRICULTURAL-ENV"",""status"":""already_same"",""value"":""agricultural environment""}]"
GCA_000176455.1	SAMN02393824	Vibrio cholerae CT 5369-93		SC1-ENV-BROAD-WASTEWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=sewage"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-BROAD-WASTEWATER"",""status"":""existing_different"",""value"":""wastewater/sewage""}]"
GCA_000177215.2	SAMN02256536	Solidesulfovibrio carbinoliphilus subsp. oakridgensis		SC1-ENV-LOCAL-GROUNDWATER	"[{""condition"":""blank_or_same"",""detail"":""existing_different"",""evidence"":""existing_different=agricultural/food-production water"",""field"":""Environment_Medium_SD"",""rule_id"":""SC1-ENV-LOCAL-GROUNDWATER"",""status"":""existing_different"",""value"":""groundwater""}]"
GCA_000177275.2	SAMN02472029	Candidatus Poribacteria bacterium WGA-A3	Environment_Medium_SD;Semantic_Axis_Provenance	SC1-ENV-MEDIUM-MARINE	"[{""condition"":""blank_or_same"",""detail"":""same destination value already present"",""evidence"":""destination_same=true"",""field"":""Environment_Broad_Scale_SD"",""rule_id"":""SC1-ENV-MEDIUM-MARINE"",""status"":""already_same"",""value"":""marine environment""}]"
