rule_id	current_field	current_value	destination_field	destination_value	matched_rows	applied	already_same	existing_different	conditional_assignment_skip	clear_only
SC1-SITE-CATHETER-CLEAR	Isolation_Site_SD	catheter			2	0	0	0	0	2
SC1-SITE-CATHETER-DEVICE	Isolation_Site_SD	catheter	Sample_Collection_Device_SD	catheter	2	0	0	0	2	0
SC1-HHS-HEALTHY-CONTROL-HEALTH	Host_Health_State_SD	healthy/control	Host_Health_State_SD	healthy	1077	1077	0	0	0	0
SC1-HHS-HEALTHY-CONTROL-STUDY	Host_Health_State_SD	healthy/control	Host_Study_Group_SD	control	1077	1077	0	0	0	0
SC1-HHS-DISEASED-PATIENT-HEALTH	Host_Health_State_SD	diseased/patient	Host_Health_State_SD	diseased	50	50	0	0	0	0
SC1-HHS-DISEASED-PATIENT-SAMPLING	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject	50	0	0	0	50	0
SC1-HHS-DISEASED-PATIENT-HUMAN	Host_Health_State_SD	diseased/patient	Host_Context_SD	human-associated	50	49	0	0	1	0
SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	40376	689	38812	875	0	0
SC1-ENV-BROAD-WASTEWATER	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	37767	42	0	37725	0	0
SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental	33064	33058	0	6	0	0
SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Local_Scale_SD	activated sludge	Environment_Medium_SD	activated sludge	13130	0	7988	5142	0	0
SC1-ENV-LOCAL-GROUNDWATER	Environment_Local_Scale_SD	groundwater	Environment_Medium_SD	groundwater	12834	0	11179	1655	0	0
SC1-ENV-MEDIUM-HEALTHCARE-FACILITY	Environment_Medium_SD	healthcare facility	Environment_Local_Scale_SD	healthcare facility	1029	5	169	855	0	0
SC1-ENV-MEDIUM-GLACIER	Environment_Medium_SD	glacier	Environment_Local_Scale_SD	glacier	434	0	432	2	0	0
SC1-ENV-LOCAL-AGRICULTURAL-ENV	Environment_Local_Scale_SD	agricultural environment	Environment_Broad_Scale_SD	agricultural environment	1441	7	1145	289	0	0
