assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail
GCA_000024165.1	SAMN02598465	Candidatus Accumulibacter phosphatis	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000024365.1	SAMN02598467	Nakamurella multipartita DSM 44233	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000024985.1	SAMN02598446	Sphaerobacter thermophilus DSM 20745	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000025885.1	SAMN02598488	Aminobacterium colombiense DSM 12261	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000092405.1	SAMN02598518	Syntrophothermus lipocalidus DSM 12680	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000092945.1	SAMN02598533	Thermincola carboxydiphila JR	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000144625.1	SAMN00017134	[Clostridium] saccharolyticum WM1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000145255.1	SAMN00002572	Gallionella capsiferriformans ES-2	SC1-ENV-LOCAL-GROUNDWATER	Environment_Medium_SD	groundwater	blank_or_same	existing_different=freshwater	existing_different	existing_different
GCA_000165795.1	SAMN02256532	Aminomonas paucivorans DSM 12260	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000176455.1	SAMN02393824	Vibrio cholerae CT 5369-93	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000177215.2	SAMN02256536	Solidesulfovibrio carbinoliphilus subsp. oakridgensis	SC1-ENV-LOCAL-GROUNDWATER	Environment_Medium_SD	groundwater	blank_or_same	existing_different=agricultural/food-production water	existing_different	existing_different
GCA_000178115.2	SAMN00008641	Ethanoligenens harbinense YUAN-3	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000178115.2	SAMN00008641	Ethanoligenens harbinense YUAN-3	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000179595.2	SAMN02256541	Acetivibrio cellulolyticus CD2	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000185805.1	SAMN00713575	Thermovibrio ammonificans HB-1	SC1-ENV-MEDIUM-MARINE	Environment_Broad_Scale_SD	marine environment	blank_or_same	existing_different=geologic/extreme environment	existing_different	existing_different
