rule_id	outcome_status	recommended_reviewer_decision	assembly_accession	biosample	organism	current_field	current_value	destination_field	destination_value	existing_destination_value	event_evidence	event_detail	raw_evidence_json	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Sampling_Context_SD	Host_Context_SD	Host_Health_State_SD	Host_Study_Group_SD	Semantic_Axis_Provenance
SC1-ENV-LOCAL-GROUNDWATER	already_same	hold; destination already represented	GCA_000025705.1	SAMN02598496	Sideroxydans lithotrophicus ES-1	Environment_Local_Scale_SD	groundwater	Environment_Medium_SD	groundwater	groundwater	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""iron contaminated groundwater in Michigan"",""Isolation Site"":""iron contaminated groundwater in Michigan"",""Isolation Source"":""iron contaminated groundwater in Michigan""}"	groundwater		groundwater					{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000143085.1	SAMN02598531	Nitrosococcus watsonii C-113	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	{}	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000147735.3	SAMN00016994	Shewanella baltica BA175	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	{}	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000148645.1	SAMN00115627	Ferrimonas balearica DSM 9799	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""Surface sediment in harbor of Palma de Mallorca, Spain"",""BioSample Isolation Source"":""surface sediment"",""Isolation Site"":""Surface sediment in harbor of Palma de Mallorca, Spain"",""Isolation Source"":""surface sediment""}"	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000165505.1	SAMN00116458	Ilyobacter polytropus DSM 2926	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""Marine mud from Germany"",""BioSample Isolation Source"":""marine mud"",""Isolation Site"":""Marine mud from Germany"",""Isolation Source"":""marine mud""}"	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000165715.3	SAMN00103628	Rubinisphaera brasiliensis DSM 5305	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""Water from salt pit, Lagoa Vermelha, Brazil"",""BioSample Isolation Source"":""water from a salt pit"",""Isolation Site"":""Water from salt pit, Lagoa Vermelha, Brazil"",""Isolation Source"":""water from a salt pit""}"	marine	marine environment						{}
SC1-ENV-LOCAL-AGRICULTURAL-ENV	already_same	hold; destination already represented	GCA_000175595.1	SAMN02441784	Clostridium carboxidivorans P7	Environment_Local_Scale_SD	agricultural environment	Environment_Broad_Scale_SD	agricultural environment	agricultural environment	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""agricultural settling lagoon at Oklahoma State University"",""BioSample Isolation Source"":""agricultural settling lagoon at Oklahoma State University"",""Isolation Site"":""agricultural settling lagoon at Oklahoma State University"",""Isolation Source"":""agricultural settling lagoon at Oklahoma State University""}"		agricultural environment	agricultural environment					"{""Environment_Broad_Scale_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-BROAD-AGRICULTURAL"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Local_Scale_SD"",""source_current_value"":""agricultural environment"",""source_raw_field"":""Environment_Local_Scale_SD"",""source_raw_value"":""agricultural environment""}]}"
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000177275.2	SAMN02472029	Candidatus Poribacteria bacterium WGA-A3	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	"{""Host"":""Aplysina aerophoba"",""Host_Cleaned"":""aplysina aerophoba"",""Host_Original"":""Aplysina aerophoba"",""Isolation Source"":""single bacterial cell isolated from a marine sponge, at 2-15m depth""}"	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000178875.2	SAMN00016780	Shewanella baltica OS678	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	{}	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000179535.2	SAMN02256524	Shewanella baltica OS183	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	{}	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000183745.1	SAMN00138957	Oceanithermus profundus DSM 14977	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""Deep-sea hot vent; 13N, East Pacific Rise"",""BioSample Isolation Source"":""deep sea hot vent"",""Isolation Site"":""Deep-sea hot vent; 13N, East Pacific Rise"",""Isolation Source"":""deep sea hot vent""}"	marine	marine environment						{}
SC1-ENV-LOCAL-ACTIVATED-SLUDGE	already_same	hold; destination already represented	GCA_000185925.2	SAMN02469497	Paracoccus sp. TRP	Environment_Local_Scale_SD	activated sludge	Environment_Medium_SD	activated sludge	activated sludge	destination_same=true	same destination value already present	"{""BioSample Isolation Source"":""activated sludge"",""Isolation Source"":""activated sludge""}"	activated sludge	wastewater/sewage	activated sludge					{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000190735.2	SAMN00103626	Pseudopedobacter saltans DSM 12145	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""Soil, Iceland"",""BioSample Isolation Source"":""soil"",""Isolation Site"":""Soil, Iceland"",""Isolation Source"":""soil""}"	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000191045.1	SAMN00713591	Desulfurobacterium thermolithotrophum DSM 11699	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	"{""BioSample Isolation Site"":""Deep-sea hydrothermal vent chimney; Mid-Atlantic Ridge"",""BioSample Isolation Source"":""deep-sea hydrothermal vent chimney"",""Isolation Site"":""Deep-sea hydrothermal vent chimney; Mid-Atlantic Ridge"",""Isolation Source"":""deep-sea hydrothermal vent chimney""}"	marine	marine environment						{}
SC1-ENV-MEDIUM-MARINE	already_same	hold; destination already represented	GCA_000192865.1	SAMN00713593	Marinomonas mediterranea MMB-1	Environment_Medium_SD	marine	Environment_Broad_Scale_SD	marine environment	marine environment	destination_same=true	same destination value already present	{}	marine	marine environment						{}
