rule_id	outcome_status	recommended_reviewer_decision	assembly_accession	biosample	organism	current_field	current_value	destination_field	destination_value	existing_destination_value	event_evidence	event_detail	raw_evidence_json	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Sampling_Context_SD	Host_Context_SD	Host_Health_State_SD	Host_Study_Group_SD	Semantic_Axis_Provenance
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000188955.5	SAMN00710608	Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280075.1	SAMN01041114	Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280155.1	SAMN01041109	Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280175.1	SAMN01041093	Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280195.1	SAMN01041105	Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-22	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280215.1	SAMN01041106	Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-70	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280235.1	SAMN01041116	Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-26	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280255.1	SAMN01041117	Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280275.1	SAMN01041121	Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280295.1	SAMN01041122	Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280415.1	SAMN01041137	Salmonella enterica subsp. enterica serovar Enteritidis str. 648905 5-18	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000280435.1	SAMN01041133	Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 6-18	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000307635.1	SAMN01816400	Clostridium botulinum CFSAN001627	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""BioSample Isolation Source"":""well water"",""Host Disease"":""environmental-water"",""Isolation Source"":""well water"",""Sample Type"":""environmental""}"	water	environmental sample						"{""Environment_Medium_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-MEDIUM-WATER"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Medium_SD"",""source_current_value"":""water"",""source_raw_field"":""Environment_Medium_SD"",""source_raw_value"":""water""}]}"
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000307655.2	SAMN01816399	Clostridium botulinum CFSAN001628	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""BioSample Isolation Source"":""well water"",""Host Disease"":""environmental-water"",""Isolation Source"":""well water"",""Sample Type"":""environmental""}"	water	environmental sample						"{""Environment_Medium_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-MEDIUM-WATER"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Medium_SD"",""source_current_value"":""water"",""source_raw_field"":""Environment_Medium_SD"",""source_raw_value"":""water""}]}"
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000314025.1	SAMN01795759	Campylobacter coli BIGS0003	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000314525.1	SAMN01795910	Campylobacter jejuni subsp. jejuni BIGS0030	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000321325.1	SAMN01795757	Campylobacter coli BIGS0001	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental""}"	air	environmental sample						{}
SC1-ENV-BROAD-ENV-SAMPLE	applied	hold for manual review	GCA_000329665.1	SAMN01041118	Salmonella enterica subsp. enterica serovar Enteritidis str. 635290-58	Environment_Broad_Scale_SD	environmental sample	Sampling_Context_SD	environmental		destination_blank=true		"{""Isolation Source"":""environmental swab""}"	air	environmental sample						{}
