rule_id	outcome_status	recommended_reviewer_decision	assembly_accession	biosample	organism	current_field	current_value	destination_field	destination_value	existing_destination_value	event_evidence	event_detail	raw_evidence_json	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Sampling_Context_SD	Host_Context_SD	Host_Health_State_SD	Host_Study_Group_SD	Semantic_Axis_Provenance
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000024165.1	SAMN02598465	Candidatus Accumulibacter phosphatis	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	wastewater	existing_different=wastewater	existing_different	"{""BioSample Isolation Site"":""enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor"",""Isolation Site"":""enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor"",""Isolation Source"":""enhanced biological phosphorus removal (EBPR) wastewater treatment bioreactor""}"	wastewater	wastewater/sewage						"{""Environment_Medium_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-MEDIUM-WASTEWATER"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Medium_SD"",""source_current_value"":""wastewater"",""source_raw_field"":""Environment_Medium_SD"",""source_raw_value"":""wastewater""}]}"
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000024365.1	SAMN02598467	Nakamurella multipartita DSM 44233	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	sludge	existing_different=sludge	existing_different	"{""BioSample Isolation Site"":""Actived sludge cultured in fed-batch reactors"",""Isolation Site"":""Actived sludge cultured in fed-batch reactors"",""Isolation Source"":""Actived sludge cultured in fed-batch reactors""}"	sludge	wastewater/sewage						{}
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000024985.1	SAMN02598446	Sphaerobacter thermophilus DSM 20745	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	sewage	existing_different=sewage	existing_different	"{""BioSample Isolation Site"":""thermal treated municipal sewage sludge from Muenchen-Grosslappen, Germany"",""Isolation Site"":""thermal treated municipal sewage sludge from Muenchen-Grosslappen, Germany"",""Isolation Source"":""thermal treated municipal sewage sludge from Muenchen-Grosslappen, Germany""}"	sewage	wastewater/sewage						"{""Environment_Medium_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-MEDIUM-SEWAGE"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Medium_SD"",""source_current_value"":""sewage"",""source_raw_field"":""Environment_Medium_SD"",""source_raw_value"":""sewage""}]}"
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000025885.1	SAMN02598488	Aminobacterium colombiense DSM 12261	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	wastewater	existing_different=wastewater	existing_different	"{""BioSample Isolation Site"":""Anaerobic lagoon of dairy wastewater treatment plant in Colombia"",""Isolation Site"":""Anaerobic lagoon of dairy wastewater treatment plant in Colombia"",""Isolation Source"":""Anaerobic lagoon of dairy wastewater treatment plant in Colombia""}"	wastewater	wastewater/sewage						"{""Environment_Medium_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-MEDIUM-WASTEWATER"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Medium_SD"",""source_current_value"":""wastewater"",""source_raw_field"":""Environment_Medium_SD"",""source_raw_value"":""wastewater""}]}"
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000092405.1	SAMN02598518	Syntrophothermus lipocalidus DSM 12680	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	sludge	existing_different=sludge	existing_different	"{""BioSample Isolation Site"":""anaerobic granular sludge, thermophilic UASB reactor"",""BioSample Isolation Source"":""anaerobic granular sludge, thermophilic UASB reactor"",""Isolation Site"":""anaerobic granular sludge, thermophilic UASB reactor"",""Isolation Source"":""anaerobic granular sludge, thermophilic UASB reactor""}"	sludge	wastewater/sewage						{}
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000092945.1	SAMN02598533	Thermincola carboxydiphila JR	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	sludge	existing_different=sludge	existing_different	"{""BioSample Isolation Site"":""sludge reactor; East Bay MUD; Oakland, CA"",""BioSample Isolation Source"":""sludge reactor"",""Isolation Site"":""sludge reactor; East Bay MUD; Oakland, CA"",""Isolation Source"":""sludge reactor""}"	sludge	wastewater/sewage						{}
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000144625.1	SAMN00017134	[Clostridium] saccharolyticum WM1	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	sludge	existing_different=sludge	existing_different	"{""BioSample Isolation Site"":""Sewage sludge in Canada"",""BioSample Isolation Source"":""sludge"",""Isolation Site"":""Sewage sludge in Canada"",""Isolation Source"":""sludge""}"	sludge	wastewater/sewage						{}
SC1-ENV-LOCAL-GROUNDWATER	existing_different	hold; preserve existing different destination pending review	GCA_000145255.1	SAMN00002572	Gallionella capsiferriformans ES-2	Environment_Local_Scale_SD	groundwater	Environment_Medium_SD	groundwater	freshwater	existing_different=freshwater	existing_different	"{""BioSample Isolation Site"":""iron contaminated groundwater in Michigan"",""Isolation Site"":""iron contaminated groundwater in Michigan"",""Isolation Source"":""iron contaminated groundwater in Michigan""}"	freshwater	freshwater environment	groundwater					{}
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000165795.1	SAMN02256532	Aminomonas paucivorans DSM 12260	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	wastewater	existing_different=wastewater	existing_different	"{""BioSample Isolation Source"":""anaerobic lagoon of a dairy wastewater treatment plant"",""Isolation Source"":""anaerobic lagoon of a dairy wastewater treatment plant""}"	wastewater	wastewater/sewage						"{""Environment_Medium_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-MEDIUM-WASTEWATER"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Medium_SD"",""source_current_value"":""wastewater"",""source_raw_field"":""Environment_Medium_SD"",""source_raw_value"":""wastewater""}]}"
SC1-ENV-BROAD-WASTEWATER	existing_different	hold; preserve existing different destination pending review	GCA_000176455.1	SAMN02393824	Vibrio cholerae CT 5369-93	Environment_Broad_Scale_SD	wastewater/sewage	Environment_Medium_SD	wastewater/sewage	sewage	existing_different=sewage	existing_different	"{""Isolation Source"":""sewage""}"	sewage	wastewater/sewage						"{""Environment_Medium_SD"":[{""confidence"":""high"",""evidence"":""destination_same=true"",""method"":""source_environment_semantic_completion"",""rule_id"":""SEC-MEDIUM-SEWAGE"",""ruleset_version"":""source_environment_semantic_completion_v1"",""source_current_field"":""Environment_Medium_SD"",""source_current_value"":""sewage"",""source_raw_field"":""Environment_Medium_SD"",""source_raw_value"":""sewage""}]}"
