assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_938035345.1	SAMEA14084239	uncultured Ruminococcus sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_938044455.1	SAMEA14084222	uncultured Clostridium sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_938033355.1	SAMEA14084236	uncultured Prevotella sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_937921815.1	SAMEA14084232	uncultured Phascolarctobacterium sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_040763755.1	SAMN39706836	Trueperella pyogenes	keep	generic-fluid audit	Bos taurus	Bos taurus	Bos taurus	9913					body fluid	body fluid					body fluid | Peri fluid | Peri fluid
GCA_938038985.1	SAMEA14084214	Bacteroides cellulosilyticus	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_938048275.1	SAMEA14084221	uncultured Ruminococcus sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_938048215.1	SAMEA14084233	uncultured Clostridium sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_938048225.1	SAMEA14084231	uncultured Phascolarctobacterium sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_938035265.1	SAMEA14084235	uncultured Anaerotignum sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_937966005.1	SAMEA14084227	uncultured Sutterella sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_937949805.1	SAMEA14084230	uncultured Succinatimonas sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
GCA_937927475.1	SAMEA14084202	uncultured Bacteroides sp.	keep	generic-fluid audit	absent	absent							body fluid	body fluid					body fluid | Amniotic fluid
