assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_001608685.1	SAMN04422051	Vibrio parahaemolyticus	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical sample from patient with gastroenteritis
GCA_001608855.1	SAMN04422063	Vibrio parahaemolyticus	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical sample from patient with gastroenteritis
GCA_001609105.1	SAMN04441017	Vibrio parahaemolyticus	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical sample from patient with gastroenteritis
GCA_032302435.1	SAMEA112957164	Escherichia coli	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject									skin/body surface | Index patient
GCA_034907325.1	SAMN14437247	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034907825.1	SAMN14436808	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034910365.1	SAMN14436457	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034910665.1	SAMN14436876	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034911305.1	SAMN14436905	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034913625.1	SAMN14436574	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
