metric	value
generated_at	2026-06-24T20:18:54.578129+00:00
git_commit	28ff0c440ebc0a7351140a69c01427355b7b4fe9
snapshot_id	20260602T140414Z_genbank_bacteria_root
canonical_write_run	True
backup_table	assembly_standardization_backup_semantic_exception_20260624201244
rows_scanned	3131699
changed_rows	30738
provenance_methods_migrated	76046
patient_sampling_cleared	733
patient_human_context_cleared	386
colonization_cleared	9
vital_status_cleared	13
bare_fluid_cleared	0
patient_sampling_kept	6141
colonization_kept	931
vital_status_kept	316
legacy_field_changes	0
raw_field_changes	0
protected_field_changes	0
