assembly_accession	biosample	organism	migrated_entries
GCA_001608685.1	SAMN04422051	Vibrio parahaemolyticus	3
GCA_001608855.1	SAMN04422063	Vibrio parahaemolyticus	3
GCA_001609105.1	SAMN04441017	Vibrio parahaemolyticus	3
GCA_004419265.1	SAMN02265461	Listeria monocytogenes	3
GCA_006167925.1	SAMN07781588	Salmonella enterica	2
GCA_007080465.1	SAMN07781593	Salmonella enterica	2
GCA_007106675.1	SAMN07781624	Salmonella enterica	2
GCA_012313545.1	SAMN07781656	Escherichia coli	2
GCA_012362315.1	SAMN07781724	Escherichia coli	2
GCA_015698745.2	SAMN16955493	Escherichia coli	2
GCA_018409345.1	SAMN16131620	Klebsiella pneumoniae	3
GCA_032302435.1	SAMEA112957164	Escherichia coli	3
GCA_034907325.1	SAMN14437247	Streptococcus pyogenes	3
GCA_034907825.1	SAMN14436808	Streptococcus pyogenes	3
GCA_034910365.1	SAMN14436457	Streptococcus pyogenes	3
GCA_034910665.1	SAMN14436876	Streptococcus pyogenes	3
GCA_034911305.1	SAMN14436905	Streptococcus pyogenes	3
GCA_034913625.1	SAMN14436574	Streptococcus pyogenes	3
GCA_034914445.1	SAMN14436755	Streptococcus pyogenes	3
GCA_034917685.1	SAMN14437010	Streptococcus pyogenes	3
GCA_034918365.1	SAMN14437299	Streptococcus pyogenes	3
GCA_045185625.1	SAMN32815831	Neisseria meningitidis	3
GCA_050265555.1	SAMN41150861	Pseudomonas aeruginosa	3
GCA_052704245.1	SAMN51207528	Escherichia coli	2
GCA_900030515.1	SAMEA2238802	Streptococcus pneumoniae	3
GCA_900050955.1	SAMEA1033586	Streptococcus pneumoniae	3
GCA_002407305.1	SAMN05786721	Escherichia coli	3
GCA_022525925.1	SAMN25988962	Klebsiella pneumoniae	1
GCA_029722095.1	SAMN28858601	Escherichia coli	3
GCA_034902665.1	SAMN14437062	Streptococcus pyogenes	3
GCA_034904305.1	SAMN14436793	Streptococcus pyogenes	3
GCA_034904745.1	SAMN14436729	Streptococcus pyogenes	3
GCA_051347425.1	SAMN46444741	Pseudomonas aeruginosa	3
GCA_052182525.1	SAMN50721761	Salmonella enterica	2
GCA_052625785.1	SAMN43306782	Escherichia coli	3
GCA_054559795.1	SAMN54138467	Staphylococcus aureus	3
GCA_055534785.1	SAMN53842228	Klebsiella pneumoniae	3
GCA_900025895.1	SAMEA2238950	Streptococcus pneumoniae	3
GCA_901219905.1	SAMEA2553906	Streptococcus pneumoniae	3
GCA_901246595.1	SAMEA2658896	Streptococcus pneumoniae	3
GCA_901249125.1	SAMEA2298239	Streptococcus pneumoniae	3
GCA_901273755.1	SAMEA2204101	Streptococcus pneumoniae	3
GCA_901278465.1	SAMEA2554306	Streptococcus pneumoniae	3
GCA_901299255.1	SAMEA3389852	Streptococcus pneumoniae	3
GCA_901296505.1	SAMEA3389842	Streptococcus pneumoniae	3
GCA_901325185.1	SAMEA3389931	Streptococcus pneumoniae	3
GCA_901299145.1	SAMEA4388388	Streptococcus pneumoniae	3
GCA_901299455.1	SAMEA4388322	Streptococcus pneumoniae	3
GCA_901299935.1	SAMEA4388323	Streptococcus pneumoniae	3
GCA_901306835.1	SAMEA4388024	Streptococcus pneumoniae	3
GCA_901333735.1	SAMEA2814137	Streptococcus pneumoniae	3
