metric	value
generated_at	2026-06-24T20:25:09.793133+00:00
git_commit	28ff0c440ebc0a7351140a69c01427355b7b4fe9
snapshot_id	20260602T140414Z_genbank_bacteria_root
canonical_write_run	False
backup_table	
rows_scanned	3131699
changed_rows	0
provenance_methods_migrated	0
patient_sampling_cleared	0
patient_human_context_cleared	0
colonization_cleared	0
vital_status_cleared	0
bare_fluid_cleared	0
patient_sampling_kept	6141
colonization_kept	931
vital_status_kept	316
legacy_field_changes	0
raw_field_changes	0
protected_field_changes	0
