count,field,raw_value,normalized_value,status,current_standardized_value
164396,Isolation Source,human,human,unmapped,
140442,Isolation Source,stool,stool,standardized,feces/stool
107393,Sample Type,metagenomic assembly,metagenomic assembly,standardized,metagenomic assembly
103096,Isolation Source,blood,blood,standardized,blood
72322,Isolation Source,feces,feces,standardized,feces/stool
63099,Isolation Source,urine,urine,standardized,urine
44039,Isolation Source,sterile site,sterile site,standardized,sterile body site
39171,Sample Type,cell culture,cell culture,standardized,cell culture
32709,Isolation Source,sputum,sputum,standardized,sputum
28283,Isolation Source,raw intact chicken,raw intact chicken,standardized,poultry meat/product
24468,Isolation Source,pathogen.cl,pathogen.cl,standardized,metadata descriptor/non-source
21147,Isolation Source,food,food,standardized,food/food product
18848,Isolation Source,hospital,hospital,standardized,healthcare facility
17820,Isolation Source,soil,soil,standardized,soil
14781,Isolation Source,clinical,clinical,standardized,clinical sample
14617,Isolation Source,wound,wound,standardized,wound
12751,Isolation Source,rectal swab,rectal swab,standardized,clinical/host-associated material
12207,Isolation Source,gut,gut,standardized,clinical/host-associated material
11564,Isolation Source,environmental,environmental,standardized,environmental material
10993,Isolation Source,chicken carcass,chicken carcass,standardized,poultry meat/product
10304,Environment Medium,ENVO:01001029,envo 01001029,unmapped,
10277,Environment (Broad Scale),ENVO:00000428,envo 00000428,standardized,host-associated gut/oral/fecal environment
10260,Environment (Local Scale),ENVO:00002003,envo 00002003,standardized,gut/fecal local context
10216,Environment Medium,feces,feces,unmapped,
10006,Sample Type,whole organism,whole organism,unmapped,
9628,Isolation Source,ground turkey,ground turkey,standardized,turkey meat/product
9248,Isolation Source,water,water,standardized,water
9246,Isolation Source,chicken,chicken,unmapped,
9119,Isolation Source,nasopharynx,nasopharynx,standardized,nasopharynx/oropharynx
9116,Isolation Source,lung,lung,standardized,clinical/host-associated material
9023,Isolation Source,comminuted chicken,comminuted chicken,standardized,poultry meat/product
8243,Isolation Source,whole organism,whole organism,standardized,whole organism
8210,Isolation Source,chicken - young chicken carcass rinse (post-chill),chicken young chicken carcass rinse,standardized,poultry meat/product
7813,Isolation Source,cell culture,cell culture,standardized,cell culture
7637,Isolation Source,clinical sample,clinical sample,standardized,clinical sample
7184,Isolation Source,patient,patient,unmapped,
7103,Sample Type,pure culture,pure culture,standardized,pure culture
7020,Isolation Source,environmental swab,environmental swab,standardized,environmental material
6972,Isolation Source,respiratory,respiratory,standardized,respiratory sample
6586,Environment Medium,fecal material [ENVO:00002003],fecal material envo 00002003,unmapped,
6245,Isolation Source,Rectal swab,rectal swab,standardized,clinical/host-associated material
6021,Isolation Source,"""Product-Raw-Ground\, Comminuted or Otherwise Nonintact-Pork""",product raw ground comminuted or otherwise nonintact pork,standardized,pork/meat product
5947,Isolation Source,comminuted beef,comminuted beef,standardized,beef/meat product
5879,Environment (Local Scale),human gut,human gut,standardized,gut/fecal local context
5875,Isolation Source,chicken breast,chicken breast,standardized,poultry meat/product
5726,Isolation Site,Blood,blood,standardized,blood
5332,Isolation Source,wastewater,wastewater,standardized,wastewater
5187,Environment (Broad Scale),human,human,standardized,host-associated gut/oral/fecal environment
5161,Isolation Source,CSF,csf,standardized,cerebrospinal fluid
5085,Isolation Source,skin,skin,standardized,clinical/host-associated material
5029,Sample Type,Cell culture,cell culture,standardized,cell culture
4965,Isolation Source,environmental swab sponge,environmental swab sponge,standardized,environmental material
4899,Isolation Source,nasal swab,nasal swab,standardized,clinical/host-associated material
4685,Isolation Source,throat,throat,standardized,nasopharynx/oropharynx
4482,Environment (Broad Scale),gut metagenome,gut metagenome,standardized,host-associated gut/oral/fecal environment
4449,Environment (Broad Scale),human gut,human gut,standardized,host-associated gut/oral/fecal environment
4245,Sample Type,single cell,single cell,standardized,single cell
4236,Isolation Source,Animal-Chicken-Young Chicken (cecal),animal chicken young chicken,standardized,clinical/host-associated material
4112,Environment (Broad Scale),soil biome [ENVO:01001044],soil biome envo 01001044,standardized,terrestrial environment
4086,Isolation Source,sediment,sediment,standardized,sediment
4054,Isolation Source,blood culture,blood culture,standardized,blood
4032,Isolation Source,high altitude fresh fecal sample,high altitude fresh fecal sample,standardized,feces/stool
