isolation_source_sd_broad,assembly_count
clinical/host-associated material,1015918
environmental material,415311
food/meat,126955
feces/stool,36144
food,33201
healthcare-associated environment,29845
plant-associated material,21203
host-associated context,11246
environmental/geologic material,11024
aquatic food product,7906
water,6297
clinical fluid/material,6272
tissue,5271
food/dairy,2695
agricultural environment,2040
culture,1777
wastewater/organic waste,1575
built environment,1412
surface sample,898
surface/sample collection material,818
molecular extract,201
culture/isolate,169
animal tissue/site,156
swab,14
laboratory environment,12
cloacal sample,9
food/produce,8
food/plant product,6
single cell,6
medical device,2
sample,2
upper respiratory tract,2
culture medium,1
