environment_medium_sd,assembly_count
soil,97503
sediment,64607
marine,40376
wastewater,39434
agricultural/food-production water,34590
air,33025
seawater,30305
freshwater,24058
lake water,17508
groundwater,11342
activated sludge,8104
environmental material,7929
biofilm,6560
estuarine water,6379
river water,6305
marine sediment,6246
sewage,5921
water,5560
dairy food,5494
tidal flat sediment,5263
manure,4626
plant tissue,4481
leachate,3937
sludge,3204
environmental water,2924
surface water,2882
laboratory,2251
culture medium,2229
pond water,2219
hot spring water,1989
saline/brine water,1919
hospital wastewater,1445
built-environment water,1374
sea ice,1317
healthcare facility,1029
drinking/distribution water,996
water column,972
hospital sewage,942
brackish water,852
subsurface shale,847
cryoconite,835
biological product,826
biological waste material,796
canal water,741
chemically distinct water,634
spring water,625
environmental sample,463
glacier,434
compost,395
built environment surface,384
dust,380
surface/open water,379
natural/free-living,290
irrigation water,261
agricultural/aquaculture water,217
geologic/produced water,153
metadata descriptor/non-source,146
produced water,121
salt marsh sediment,116
ice water,100
Oyster pond,86
mud/sediment,77
drainage/runoff water,51
domestic wastewater,29
mine water,27
food-processing water,23
cave/cryoconite water,22
pond sediment,22
drainage water,14
wastewater/sewage treatment plant,11
water/sediment mixture,10
running water,8
land crag,6
stormwater,6
aquarium/aquaculture water,4
landfill/leachate water,3
retting water,3
mine tailings,2
healthcare facility surface,1
microplastic/plastic,1
river sediment,1
