isolation_site_sd,assembly_count
gastrointestinal tract,105918
sterile body site,46777
rectum/perianal region,36352
nasopharynx/oropharynx,29951
wound,21683
lower respiratory tract/bronch/pleural cavity,20323
skin/body surface,20076
organ/tissue site,18063
nasal cavity/sinus/upper respiratory tract,17920
oral cavity,14437
respiratory tract,11118
plant-associated material,8964
plant root/rhizosphere,8574
urogenital tract,7114
leaf tissue,6869
cerebrospinal fluid,5264
manure,4577
abscess,4087
gut content,3255
root,2950
pus,2646
cloaca,1900
cervix,1165
plant stem,977
breast,972
vagina,675
tonsil/oropharyngeal site,639
bronchoalveolar lavage fluid,258
gastric biopsy,256
uterus,226
cubital fossa,225
liver,6
nasal site,6
brain,5
placenta,4
catheter,2
ear,2
skin,2
bone,1
