isolation_source_sd,assembly_count,recommended_action
ENVO_00005801,112,route_to_non_source_descriptor
ENVO_01000248,15,route_to_non_source_descriptor
BLDP1,12,route_to_non_source_descriptor
curd_Producer_2,12,route_to_non_source_descriptor
curd_Producer_3,12,route_to_non_source_descriptor
Anholt2,10,route_to_non_source_descriptor
Bornholm3,9,route_to_non_source_descriptor
Dyre1,8,route_to_non_source_descriptor
K562,8,route_to_non_source_descriptor
guineaPig7,8,route_to_non_source_descriptor
ENVO_00000115,7,route_to_non_source_descriptor
HEK293,7,route_to_non_source_descriptor
Room_1_C_Organism_2,7,route_to_non_source_descriptor
Bornholm1,6,route_to_non_source_descriptor
Bornholm2,6,route_to_non_source_descriptor
Room_4_E_Organism_2,6,route_to_non_source_descriptor
Room_5_E_Organism_1,6,route_to_non_source_descriptor
U2932,6,route_to_non_source_descriptor
Ventilator_P26_BU28,6,route_to_non_source_descriptor
Ventilator_P2_BU1,6,route_to_non_source_descriptor
guineaPig1,6,route_to_non_source_descriptor
guineaPig6,6,route_to_non_source_descriptor
Anholt10,5,route_to_non_source_descriptor
MDA-MB-231-1833,5,route_to_non_source_descriptor
MDA-MB-231p27CK-DD,5,route_to_non_source_descriptor
PO_0009046,5,route_to_non_source_descriptor
Room_4_C_Organism_2,5,route_to_non_source_descriptor
Room_4_C_Organism_3,5,route_to_non_source_descriptor
Room_5_E_Organism_2,5,route_to_non_source_descriptor
Ventilator_P91_BU9,5,route_to_non_source_descriptor
huh7,5,route_to_non_source_descriptor
DyreVideo4,4,route_to_non_source_descriptor
ENVO_00000447,4,route_to_non_source_descriptor
ENVO_01001055,4,route_to_non_source_descriptor
EVB2,4,route_to_non_source_descriptor
MDA-MB-231,4,route_to_non_source_descriptor
Room_2_C_Organism_1,4,route_to_non_source_descriptor
Room_3_C_Organism_3,4,route_to_non_source_descriptor
Room_4_C_Organism_1,4,route_to_non_source_descriptor
Room_4_E_Organism_3,4,route_to_non_source_descriptor
Room_5_C_Organism_1,4,route_to_non_source_descriptor
curd_Producer_1,4,route_to_non_source_descriptor
guineaPig8,4,route_to_non_source_descriptor
patient2,4,route_to_non_source_descriptor
Anholt16,3,route_to_non_source_descriptor
Anholt9,3,route_to_non_source_descriptor
BLDL1,3,route_to_non_source_descriptor
ENVO_00000446,3,route_to_non_source_descriptor
EVB15,3,route_to_non_source_descriptor
EVB16,3,route_to_non_source_descriptor
EVB4,3,route_to_non_source_descriptor
EVB6,3,route_to_non_source_descriptor
EVB9,3,route_to_non_source_descriptor
FOODON_00002403,3,route_to_non_source_descriptor
HET.02_hemi-forebrain,3,route_to_non_source_descriptor
HET.06_hemi-forebrain,3,route_to_non_source_descriptor
HET.18_hemi-forebrain,3,route_to_non_source_descriptor
HET.24_hemi-forebrain,3,route_to_non_source_descriptor
MDA-MB-231-1833shp27,3,route_to_non_source_descriptor
Mstd3,3,route_to_non_source_descriptor
Nebuliser_P91_BU9,3,route_to_non_source_descriptor
O_Room_2_D_Organism_1,3,route_to_non_source_descriptor
