source_column,normalized_value,destination,rule_count,proposed_values,duplicate_key,conflict_key
,0 22 um filtrate of the rio agrio inferior river water column sample collected from geothermal system copahue caviahue chanchoco,Environment_Medium_SD,1,river water,false,false
,1 l bulk water,Environment_Medium_SD,1,surface/open water,false,false
,1 liter bulk water,Environment_Medium_SD,1,surface/open water,false,false
,10 gulf of mexico water column samples before the dwh oil spill,Environment_Medium_SD,1,water column,false,false
,10 mm sulfoquinovose amended vegetarian human fecal microcosm,Sample_Type_SD,1,feces/stool,false,false
,10 sea water samples from phytoplankton spring bloom collected during heincke cruise he327,Environment_Medium_SD,1,seawater,false,false
,10 single cells amplified by mda cell type akinete from sediment,Environment_Medium_SD,1,sediment,false,false
,20 years wild ginseng rhizosphere soil,Environment_Medium_SD,1,soil,false,false
,300 m depth seawater,Environment_Medium_SD,1,seawater,false,false
,4 hydroxychlorothalonil dehalogenating enrichment culture from groundwater,Sample_Type_SD,1,enrichment culture,false,false
,4 rectangular cells and fluid captured using a micromanipulator swab from the dolphin mouth specifically the roof of the mouth the tongue and between the tongue and mandible,Sample_Type_SD,1,oral/oropharyngeal swab,false,false
,5 10cm layer of soil from agricultural field,Environment_Medium_SD,1,soil,false,false
,5 liters of water from the tucurui power plant reservoir point m5 collected 50cm beneath the lake surface then filtered by negative pressure for posterior culture in bg 11 medium,Environment_Medium_SD,1,lake water,false,false
,8 km downstream of halberstadt wastewater treatment plant,Environment_Medium_SD,1,wastewater,false,false
,8 km downstream of wernigerode silstedt wastewater treatment plant,Environment_Medium_SD,1,wastewater,false,false
,90 m water sample filtered on 0 2 um supor filter,Environment_Medium_SD,1,environmental water,false,false
,a dairy farm soil with sulfadiazine comtamination,Environment_Medium_SD,1,soil,false,false
,a feces sample of chicken origin,Sample_Type_SD,1,feces/stool,false,false
,a feces sample of swine origin,Sample_Type_SD,1,feces/stool,false,false
,a nose swab sample of swine origin,Sample_Type_SD,1,nasal swab,false,false
,a pure bacterial culture,Sample_Type_SD,1,pure/single culture,false,false
,a thaliana root,Environment_Broad_Scale_SD,1,plant-associated environment,false,false
,abattoir envo 01000925 carcass uberon 0008979 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111 gallus gallus ncbitaxon 9031 meat whole or parts foodon 03317170,Isolation_Source_SD,1,meat product,false,false
,abattoir envo 01000925 carcass uberon 0008979 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111 meat whole or parts foodon 03317170 gallus gallus ncbitaxon 9031,Isolation_Source_SD,1,meat product,false,false
,abattoir envo 01000925 carcass uberon 0008979 gallus gallus ncbitaxon 9031 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111 meat whole or parts foodon 03317170,Isolation_Source_SD,1,meat product,false,false
,abattoir envo 01000925 carcass uberon 0008979 gallus gallus ncbitaxon 9031 meat whole or parts foodon 03317170 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111,Isolation_Source_SD,1,meat product,false,false
,abattoir envo 01000925 carcass uberon 0008979 meat whole or parts foodon 03317170 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111 gallus gallus ncbitaxon 9031,Isolation_Source_SD,1,meat product,false,false
,abattoir envo 01000925 carcass uberon 0008979 meat whole or parts foodon 03317170 gallus gallus ncbitaxon 9031 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111,Isolation_Source_SD,1,meat product,false,false
,abattoir envo 01000925 chicken breast skinless boneless foodon 02020235 food raw foodon 03311126 meat skinless foodon 00003468 meat boneless foodon 00003467 gallus gallus ncbitaxon 9031,Isolation_Source_SD,1,poultry meat/product,false,false
,abattoir envo 01000925 chicken breast skinless boneless foodon 02020235 gallus gallus ncbitaxon 9031 food raw foodon 03311126 meat skinless foodon 00003468 meat boneless foodon 00003467,Isolation_Source_SD,1,poultry meat/product,false,false
,abattoir envo 01000925 chicken thigh with skin with bone foodon 00003363 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111 gallus gallus ncbitaxon 9031,Isolation_Source_SD,1,poultry meat/product,false,false
,abattoir envo 01000925 chicken thigh with skin with bone foodon 00003363 gallus gallus ncbitaxon 9031 food raw foodon 03311126 meat with bone foodon 02010116 meat with skin foodon 02010111,Isolation_Source_SD,1,poultry meat/product,false,false
,abattoir envo 01000925 food raw foodon 03311126 meat skinless foodon 00003468 meat boneless foodon 00003467 chicken breast skinless boneless foodon 02020235 gallus gallus ncbitaxon 9031,Isolation_Source_SD,1,meat product,false,false
,abattoir envo 01000925 food raw foodon 03311126 meat skinless foodon 00003468 meat boneless foodon 00003467 gallus gallus ncbitaxon 9031 chicken breast skinless boneless foodon 02020235,Isolation_Source_SD,1,meat product,false,false
