environment_broad_scale_sd,assembly_count
host-associated gut/oral/fecal environment,372564
marine environment,95852
terrestrial environment,91101
freshwater environment,81887
food-associated environment,58756
aquatic sediment environment,46883
clinical/host-associated material,40680
wastewater/sewage,37767
environmental sample,33064
healthcare-associated environment,25943
geologic/extreme environment,20934
host-associated environment,19347
host-associated gut environment,17028
plant-associated environment,15467
estuarine environment,9898
built/urban environment,6676
laboratory environment,2649
agricultural environment,1801
geothermal environment,963
air/built environment,792
anthropogenic environment,705
anthropogenic terrestrial biome,359
built environment,109
