isolation_source_sd,assembly_count
clinical/host-associated material,1040985
environmental material,415836
poultry meat/product,81810
food/food product,25367
healthcare facility,24785
plant-associated material,20743
pork/meat product,15091
beef/meat product,14457
turkey meat/product,14060
host-associated context,12174
blood,9729
clinical fluid/material,9021
seafood/aquatic food product,7822
plant/produce food product,6446
healthcare-associated environment,5060
meat product,5025
urban,4014
urine,2892
Římov reservoir,2383
dairy food,2326
agricultural environment,2015
clinical sample,1957
plastic particle,1757
Helgoland LTER site,1346
culture,1021
"Canada Basin,western Arctic Ocean",757
Klíčava reservoir,746
mesocosm experiment,682
ground chicken,669
food/animal-production swab,663
fermented food/beverage,658
metal,602
"Saanich Inlet, British Columbia, Canada",557
Žlutice reservoir,557
Nottingham,542
mud,500
Bioreactor,478
Ruminal microbiome of Nelore,476
physical,464
biomass from liquid digestate stored in the CSTR at the Surrey Biofuel Facility,449
Agricultural,448
temperate grassland biome,431
anthropogenic,425
Aquatic products,410
fetilized topsoil,399
rock,398
Rimov Reservoir,387
travertine gravel,384
South Atlantic Ocean,366
feces/stool,343
Downstream,328
core,322
metal/plastic,291
bioreactor,285
AnMBR reactor,284
aquatic biome,277
Guyana,272
Input used in hydraulically fractured shales,272
Mariane macroalgea Grateloupia sp.,267
Buffy Coat,251
Whole polyp cell suspension neuron,238
"Deciduous woodland, University campus",236
Mediterranean Sea,235
Landštejn reservoir,233
brine pool,232
Anaerobic reactor,226
Campylobacter jejuni,225
Mariane macroalgea Ulva sp.,224
"Coal Oil Point, Santa Barbara, CA",215
respiratory sample,211
Physical,210
Deep-sea hydrothermal vent chimney,209
South Pacific Ocean,209
China:Shenzhen,206
gastric mucosa,203
"Monterey Bay, California, USA",202
decomposed grub time point 2,201
pyropia,201
Southern Sea Otter,197
Algal blade,194
"Helgoland, North Sea, Atlantic Ocean",193
lesion,191
active black smoker DFF12,189
H�pitaux Universitaires - Henri Mondor,187
Slapy reservoir,187
digestive system,187
host-associated,187
Layers,185
South Tunisia,185
ENVO:00000114,184
coral reef,183
Stromatolite,181
retail deli,177
urea,177
subsurface aquifer,176
Microbial mat of gas chimney V59 from Kolumbo volcano,175
Bovine hide,174
Mariane macroalgea Gelidium sp.,174
genital,174
Inshell pistachio from a storage silo,167
Community,165
Extraintestinal sites,165
excreted bodily substance,165
Western Australia,164
slurry,164
Chick paper,163
hydrothermal vent,163
Subsurface cyanoHAB grab filtered through 64 um plankton net,159
medical,159
culture/isolate,158
Rock nearby Barbacenia macrantha specimens,157
Lyophilized powder resuscitation,156
MRSA screen,156
Smear,156
hydrothermal plume,155
Cleanroom,153
Slaughterhouse,153
emissingophyte,151
bacteriomes,150
deepsea hydrothermal sulfide chimney,149
viscera,146
North Atlantic Ocean,145
Health Facility,144
Norway,144
egg raw whole,144
feaces,143
mediterranean [ENVO:01000207],143
sesame seed,143
North Pacific Ocean,142
Right-Forearm,142
WWTP,142
feed,140
Product-Raw-Intact-Siluriformes,139
phloem,138
Animal-Calf-Bob Veal,137
Room Env,137
formation fluids from subseafloor aquifer collected in 2012 through 2014,137
ENVO:01001829,136
Annelid: Themiste lageniformis,133
Feed,133
Microbial mat (BigBio Jelly) collected from high temperature chimney at AEGIR hydrothermal vent field - 15-GS21-ROV-106-ROV432,132
Mid-Cayman Rise Vent Fluids,132
rodent,132
Northwest Arabian Sea Upwelling Province,131
fermentation,131
leafy green,131
Primary Tumor,130
France,129
forest ecosystem,129
Cinciș reservoir,128
Liquor,128
Embalse de Tous reservoir,127
Tarnița reservoir,127
Fântânele reservoir,126
sebum,126
BMDM,124
Chile-Peru Current Coastal Province,124
clinic,124
milk,124
Coastal salt marsh,123
Wild Animal,123
Larus cachinnans,122
agricultural ecosystem [ENVO:00000077],122
Amadorio reservoir,121
Uncertain,121
pens,121
Hogs,120
Hudson Canyon methane seep mesocosm,120
Pigs,120
kiwifruit,119
rhizoplane,119
tree bark,119
Corneal scraping,117
ETA,116
Eastern Africa Coastal Province,116
microbial mat,116
EPIDERMAL PADDLE,115
Indoor biome,115
yolk sac,115
Plumbing,114
larvae,114
veterinary,113
ENVO_00005801,112
Whole - cut in lab,112
animal by-product,112
corals/sponges,111
Anal,110
Creek,110
caudal half,110
hepatopancreas,110
joint,110
grain,109
wet market,109
Ocean,108
Fin,107
Laying hens,107
MSF-NIGER,107
Hydrothermal vent field- microbial mat,106
outflow from WWTP,106
Corneal Scraping,103
ENVO:01000020,101
L_thumb,101
"Madison, Wisconsin, USA",101
clean room of pharmaceutical factory,101
Kathmandu,100
Left-Forearm,100
Pelagic,100
Cropland,99
hemoculture,99
hydrocarbon,98
ocean,98
Livestock,97
Sputamentum,97
dam,97
slaughterhouse,97
Bovine Subiliac Lymph Nodes,96
Dam,96
inflow to WWTP,96
Nanchang,95
agricultural field,95
cornea,95
Coecum,94
subgingival plaque,94
3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,93
Toeweb,93
osteoarticular,93
Chesapeake Bay,92
ENVO:01001055,92
Melanoma cell line,92
goose,92
Not Given,91
Animal-Calf-Formula-fed Veal,90
Shengli oilfield at Shandong province,90
cat,90
frontal cortex,90
Deep-sea hydrothermal vent chimney 1,89
Host-associated,89
R_thumb,89
egg,89
pistachio,89
Faces,88
anammox reactor,88
Yolk sac,87
forest,87
"Norwegian Sea, Atlantic Ocean",86
decomposed grub time point 1,86
Anal Gland secretions,85
Humanbody,85
animal feed,85
diffuse vent DFF1,85
Supermarket,84
liquor,84
ENVO:00000022,83
coastal city,83
egg raw yolk,83
barley seed,82
onion,82
Clinic,81
Red Sea,81
freshwater,81
hide,81
medical center in Taiwan,81
Bed rails,80
Embryo,80
State of Palestine: West Bank,80
aquatic,80
caeca content,80
peach tree,80
03C Raw Product Not Ground-Trimmings,78
finished fertilizer,78
Abattoir Ceacum,77
Rifle well CD01 at time point 1 / A; 5m depth; 0.2 filter,77
Temperate broadleaf and mixed forest,77
chili powder,77
mesenteric lymph nodes,77
sesame seed paste,77
International Space Station during MT-2,76
cell line,76
supermarket,76
Cooling Tower,75
Litter,75
Streptococcus agalactiae,75
chick paper,75
commercial kitchen,75
septic tank,75
AGS WWTP,74
Whole polyp cell suspension GFPlow/RFPlow,74
sea,74
aerobic bioreactor [ENVO:00002123],73
lagoon,73
Broncho-alveolar lavage,72
Glove,72
Joint,72
crop,72
