raw_isolation_source,assembly_count
human,166402
pathogen.cl,24468
marine metagenome,21312
mouse gut metagenome,19911
human gut metagenome,11741
chicken,9322
patient,7310
metagenome,5372
not known,4507
human feces,4225
animal-swine-market swine,3937
animal-cattle-dairy cow,3900
other,3834
milk,3705
animal-cattle-steer,3578
animal-chicken-young chicken,3547
animal,3234
human feces metagenome,2855
Poultry,2763
sheep gut metagenome,2663
human listeriosis,2475
pig,2401
pig gut metagenome,2359
animal-cattle-heifer,2147
wastewater metagenome,2075
marine sediment metagenome,2004
animal-swine-sow,1968
sediment metagenome,1694
turkey,1658
hydrothermal vent metagenome,1618
human stool,1550
bovine,1462
gut metagenome,1437
Human faeces,1400
Animal-Turkey-Young Turkey,1399
cattle,1377
bioreactor metagenome,1352
Chicken Wings,1294
bacteria,1269
soil metagenome,1184
Chicken Thighs,1159
microbial mat metagenome,1049
Hospitalized patient,1017
animal-cattle-beef cow,1004
freshwater metagenome,998
fly,943
Host-associated strain,939
cattle manure,936
Invasive,929
cow,899
Chicken caeca,869
salt marsh metagenome,839
Homo sapiens,831
Chicken Breasts,818
Canal,805
drainage,795
not available: to be reported later,785
screening,738
Chicken Legs,721
Retail chicken,700
surveillance swabs,697
fish,696
human-associated habitat,679
healthy people,672
equine,592
sponge metagenome,570
hot springs metagenome,552
raw milk,533
cattle feces,527
Surveillance,513
Screening,512
Animal-Sheep-Lamb (cecal),511
Non-hospitalized person,497
lichen metagenome,496
pulmonary sample from from cystic fibrosis patient,496
Chicken Gizzard,494
dog,490
aquatic metagenome,482
dairy cattle manure,482
Assembly,469
Human bacterial culture,466
canine,460
Human infection,454
swine,445
duck,441
seawater metagenome,416
biofilm metagenome,415
Animal-Sheep-Mature Sheep (cecal),413
poultry,407
Human Stool,402
avian,400
Companion animal,375
Screening swab,374
poultry manure,365
feces metagenome,358
microbial community [PCO:1000004],356
human - faeces,355
chicken litter,346
"Human, Blood",343
sludge metagenome,341
subsurface metagenome,341
Animal-Chicken-Heavy Fowl,338
freshwater sediment metagenome,336
Cattle faeces,321
human blood,310
goat,309
Host,308
tracheal aspirates from patient ventilator,306
low methane producing sheep,305
Chicken faeces,300
dairy milk,300
mosquito,296
Human sample,289
human - bacteraemia,288
isolate from patient sample,287
human sputum,284
Rifle well FP-101 under low O2 conditions; 0.1 micron filter; full assembly,280
Feces of Homo sapiens (GER),277
soil adjacent to human cadaver hip,277
Feces of Homo sapiens (DK),275
Infants,271
homo,271
lake water metagenome,271
Rifle well FP-101 under high O2 conditions; 0.1 micron filter; full assembly,268
chicken feces,268
Human blood sample,267
Chicken Gizzard (Giblets),265
feces from patient with diarrhea,260
Rifle well FP-101 under high O2 conditions; 0.2 micron filter; full assembly,259
rock metagenome,255
"Human, Stool",253
Human stool,252
cattle fecal samples,250
Human body sites or biosamples,244
feral pig,241
chickens,238
sheep,236
Human urine,233
surface,233
stromatolite metagenome,226
high methane producing sheep,222
Chicken thighs,220
Hospital patients,216
human infection,211
synthetic metagenome,210
Raw milk,208
whole Stomoxys flies,208
Rifle well FP-101 under low O2 conditions; 0.2 micron filter; full assembly,207
diverse,206
poultry litter,206
Whole genome,202
Commercial Turkey,201
cxwnd,196
Raw Milk,191
fecal sample from STEC-infected patient,188
not recorded,187
human biome,184
Rifle well FP-101 under high O2 conditions; 1.2 micron filter; full assembly,182
others,182
single bacteria,182
salt lake metagenome,180
retail chicken,179
sheep recto-anal junction,178
mastitis milk,177
Patient Sinus Swab,174
invasive,171
Rifle well FP-101 under low O2 conditions; 1.2 micron filter; full assembly,168
Other (Specify:),167
food production metagenome,167
canal,166
human fecal sample,165
rock sample from hydrothermal vent,165
Feces of Homo sapiens (DRC),163
poultry feces,161
Dairy milk,160
Feces of Homo sapiens (CIV),160
Cattle feces,149
Fermented cow milk,149
Human Saliva,149
chicken slaughter houses,149
Drainage,148
Tank milk,148
Chicken feces,146
MAG reconstructed from a metagenome collected in the Canada Basin (Arctic Ocean) at depth of 1000m,146
TISSUE_OTHER,146
Chicken from wild market,145
Chicken Whole - cut in lab,143
chicken thigh,143
Guaymas Basin Hydrothermal plume metagenome,142
pig stool,142
Poultry slughterhouses,138
Human,137
vaginal metagenome,137
nd/other,135
Fresh chicken,133
glacial surface ice,133
Human colorectal mucosa,130
surveillance sample,130
MAG reconstructed from a metagenome collected in the Canada Basin (Arctic Ocean) at subsurface chlorophyll maximum,129
coral metagenome,128
Pooled sheep faecal samples collected from floor of farm,126
wetland metagenome,126
Chicken giblets (CL-1),125
patient with infection,124
Chickens,122
Sediment from Urban Other,121
aquifer metagenome,121
Human body,120
Human feces,120
cow paddock straw bedding,120
'missing',119
Bulk tank milk,118
"human, urine",118
whole genome,117
MAG reconstructed from a metagenome collected in the Canada Basin (Arctic Ocean) at salinity of 32.3 PSU,115
chicken drag swab,115
Study sample,113
marine plankton metagenome,112
pig feces,111
Chicken wings,109
biological aqua crust from mine drainage,109
bovine milk,109
human orapharyngeals,108
stool (fecal) sample from asymptomatic human participant,107
Others,106
URINE_OTHER,106
freshwater surface (50 cm depth),106
pig ears,104
Feral swine feces,103
Poultry environment,103
"pooled four-site surveillance swab (nares, axilla, umbilical stump, and inguinal region)",102
Chicken instestinal microbiome,100
