raw_value,classification,note
oyster,manual_review,Aquatic animal/common food word without food/product wording; do not force food source.
fish,manual_review,Host/aquatic animal/food ambiguous without food context.
shellfish,manual_review,Seafood or aquatic animal ambiguous without product/food wording.
shrimp,manual_review,Seafood or aquatic animal ambiguous without product/food wording.
chicken,manual_review,Animal name alone; do not force food.
turkey,manual_review,Animal name alone; do not force food.
cattle,manual_review,Animal name alone; do not force food.
cow,manual_review,Animal name alone; do not force food.
swine,manual_review,Animal name alone; do not force food.
pig,manual_review,Animal name alone; do not force food.
