review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
biofilm	GCA_000174915.1	Pseudomonas sp. UK4	SAMN02391503		absent			biofilm grown on glass slides submerged in a non-chlorinated drinking water reservoir		environmental material	environmental material		drinking/distribution water						absent	Isolation Source raw	biofilm grown on glass slides submerged in a non-chlorinated drinking water reservoir	environment_context_router
biofilm	GCA_000205145.2	Leptospirillum rubarum	SAMN02954271		absent			pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing					biofilm	terrestrial environment					United States	Environment Medium raw	biofilm	non_source_descriptor_router
biofilm	GCA_000205145.2	Leptospirillum rubarum	SAMN02954271		absent			pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing					biofilm	terrestrial environment					United States	Isolation Source raw	pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing	non_source_descriptor_router
biofilm	GCA_000262365.1	Leptospirillum sp. Group II 'C75'	SAMN02954275		absent			pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile					biofilm	terrestrial environment					United States	Environment Medium raw	air interface biofilm	non_source_descriptor_router
biofilm	GCA_000262365.1	Leptospirillum sp. Group II 'C75'	SAMN02954275		absent			pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile					biofilm	terrestrial environment					United States	Isolation Source raw	pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile	non_source_descriptor_router
biofilm	GCA_000297315.1	Pseudomonas aeruginosa ATCC 700888	SAMN02471986		absent			biofilm from an industrial water system		environmental material	environmental material		biofilm						absent	Isolation Source raw	biofilm from an industrial water system	environment_context_router
biofilm	GCA_000299435.1	Exiguobacterium antarcticum B7	SAMN02603748		absent			biofilm		environmental material	environmental material		biofilm						Antarctica	Isolation Source raw	biofilm	environment_context_router
biofilm	GCA_000365005.1	Limimaricola hongkongensis DSM 17492	SAMN02256514		absent			7-day-old marine biofilm in Hong Kong waters		environmental material	environmental material		biofilm	marine environment					China	Environment Broad raw	Biofilm	environment_context_router
biofilm	GCA_000365005.1	Limimaricola hongkongensis DSM 17492	SAMN02256514		absent			7-day-old marine biofilm in Hong Kong waters		environmental material	environmental material		biofilm	marine environment					China	Isolation Source raw	7-day-old marine biofilm in Hong Kong waters	environment_context_router
biofilm	GCA_000373205.1	Calidithermus timidus DSM 17022	SAMN02441032		absent			Biofilm sample from a hot spring		environmental material	environmental material		hot spring water	geologic/extreme environment	hot spring				Portugal	Environment Broad raw	Hot spring; Aquatic; Biofilm	environment_context_router
biofilm	GCA_000373205.1	Calidithermus timidus DSM 17022	SAMN02441032		absent			Biofilm sample from a hot spring		environmental material	environmental material		hot spring water	geologic/extreme environment	hot spring				Portugal	Isolation Site raw	Biofilm sample from a hot spring	environment_context_router
biofilm	GCA_000373205.1	Calidithermus timidus DSM 17022	SAMN02441032		absent			Biofilm sample from a hot spring		environmental material	environmental material		hot spring water	geologic/extreme environment	hot spring				Portugal	Isolation Source raw	Biofilm sample from a hot spring	environment_context_router
biofilm	GCA_000373645.1	Streptomyces sp. ATexAB-D23	SAMN02441037		absent			TA reactor biofilm		environmental material	environmental material		biofilm						absent	Environment Broad raw	Biofilm	environment_context_router
biofilm	GCA_000373645.1	Streptomyces sp. ATexAB-D23	SAMN02441037		absent			TA reactor biofilm		environmental material	environmental material		biofilm						absent	Isolation Site raw	TA reactor biofilm	environment_context_router
biofilm	GCA_000373645.1	Streptomyces sp. ATexAB-D23	SAMN02441037		absent			TA reactor biofilm		environmental material	environmental material		biofilm						absent	Isolation Source raw	TA reactor biofilm	environment_context_router
biofilm	GCA_000380305.1	Porphyromonas gingivalis JCVI SC001	SAMN02436407		absent			biofilm in a hospital bathroom sink drain	drain	healthcare-associated environment	healthcare-associated environment		biofilm	healthcare-associated environment	healthcare facility				absent	Isolation Source raw	biofilm in a hospital bathroom sink drain	environment_context_router
biofilm	GCA_000385635.1	candidate division TM6 bacterium JCVI TM6SC1	SAMN02436396		absent			single cell isolated from hospital sink drain biofilm; amplified by MDA	single cell	healthcare-associated environment	healthcare-associated environment		biofilm	healthcare-associated environment	healthcare facility				United States	Isolation Source raw	single cell isolated from hospital sink drain biofilm; amplified by MDA	environment_context_router
biofilm	GCA_000421565.1	Agromyces subbeticus DSM 16689	SAMN02441229		absent	Chiroptera		Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba		environmental material	environmental material		biofilm		cave				Spain	Environment Broad raw	Cave; Biofilm	environment_context_router
biofilm	GCA_000421565.1	Agromyces subbeticus DSM 16689	SAMN02441229		absent	Chiroptera		Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba		environmental material	environmental material		biofilm		cave				Spain	Isolation Site raw	Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba	environment_context_router
biofilm	GCA_000421565.1	Agromyces subbeticus DSM 16689	SAMN02441229		absent	Chiroptera		Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba		environmental material	environmental material		biofilm		cave				Spain	Isolation Source raw	Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba	environment_context_router
canal	GCA_000242335.3	Prevotella dentalis DSM 3688	SAMN02232045		Homo sapiens	Homo sapiens		dental root canal		clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment					absent	Isolation Site raw	Human dental root canal	sample_context_router
canal	GCA_000242335.3	Prevotella dentalis DSM 3688	SAMN02232045		Homo sapiens	Homo sapiens		dental root canal		clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment					absent	Isolation Source raw	dental root canal	sample_context_router
canal	GCA_000252525.1	SAR86 cluster bacterium SAR86A	SAMN02954345					isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands		environmental material	environmental material		agricultural/food-production water	marine environment	canal				Pacific Ocean	Isolation Source raw	isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands	environment_context_router
canal	GCA_000252545.1	SAR86 cluster bacterium SAR86B	SAMN02954345					isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands		environmental material	environmental material		agricultural/food-production water	marine environment	canal				Pacific Ocean	Isolation Source raw	isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands	environment_context_router
canal	GCA_000312465.1	Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681	SAMN02469678		absent			canal water		environmental material	environmental material		canal water		canal				United States	Isolation Source raw	canal water	environment_context_router
canal	GCA_000319735.1	Bacillus sp. WBUNB009	SAMN02472121		absent			raw sewage canal		environmental material	environmental material		sewage	wastewater/sewage	canal				India	Isolation Source raw	raw sewage canal	environment_context_router
canal	GCA_000734905.1	Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681	SAMN02742758		absent			canal water		environmental material	environmental material		canal water		canal				Netherlands	Isolation Source raw	canal water	environment_context_router
canal	GCA_000737245.1	Pseudomonas syringae	SAMN02929200		absent			irrigation canal		environmental material	environmental material				irrigation canal				France	Isolation Source raw	irrigation canal	environment_context_router
canal	GCA_000875755.1	Mycoplasma yeatsii GM274B	SAMN02700145		goat	Capra hircus		Ear canal of goat		clinical/host-associated material	clinical/host-associated material	organ/tissue site							United States	Isolation Site raw	ear canal	sample_context_router
canal	GCA_000875755.1	Mycoplasma yeatsii GM274B	SAMN02700145		goat	Capra hircus		Ear canal of goat		clinical/host-associated material	clinical/host-associated material	organ/tissue site							United States	Isolation Source raw	Ear canal of goat	sample_context_router
canal	GCA_000955645.1	Prevotella intermedia ZT	SAMN02212661		Homo sapiens	Homo sapiens		root canal		clinical/host-associated material	clinical/host-associated material	oral cavity		plant-associated environment		periodontal disease	diseased		China	Isolation Source raw	root canal	sample_context_router
canal	GCA_000971805.1	Mycobacteroides chelonae	SAMN02837161		tortoise	Testudines		tubercle		tubercle						infectious disease	diseased		France	Host Disease raw	cutaneous infection, pulmonary disease, Diabetes mellitus, dacryocystitis, canaliculitis, conjunctivitis, scleritis, endophthalmitis, keratitis	standardizer
canal	GCA_001540885.1	Lacticaseibacillus paracasei	SAMN03702539		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540895.1	Lactococcus lactis	SAMN03702540		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540905.1	Levilactobacillus brevis	SAMN03702532		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540925.1	Lactiplantibacillus plantarum	SAMN03702584		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540965.1	Lactiplantibacillus plantarum	SAMN03702585		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001553565.1	Actinomyces radicidentis	SAMN04435863		Homo sapiens	Homo sapiens		Infected tooth root canal	culture	clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment			diseased		Sweden	Environment Local raw	Infected tooth root canal	sample_context_router
canal	GCA_001553565.1	Actinomyces radicidentis	SAMN04435863		Homo sapiens	Homo sapiens		Infected tooth root canal	culture	clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment			diseased		Sweden	Environment Medium raw	root canal scraping	sample_context_router
canal	GCA_001553565.1	Actinomyces radicidentis	SAMN04435863		Homo sapiens	Homo sapiens		Infected tooth root canal	culture	clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment			diseased		Sweden	Isolation Source raw	Infected tooth root canal	sample_context_router
cattle	GCA_000020305.1	Anaplasma marginale str. Florida	SAMN02604306		cattle	Bos taurus		erythrocytes		erythrocytes									United States	Host raw	cattle	standardizer
cattle	GCA_000023005.1	Rickettsia africae ESF-5	SAMN02603146		Amblyomma variegatum (cattle tick)	amblyomma variegatum													Ethiopia	Host raw	Amblyomma variegatum (cattle tick)	missing
cattle	GCA_000174895.1	Ruminococcus flavefaciens FD-1	SAMN02471821		cattle	Bos taurus		rumen pill	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract							absent	Host raw	cattle	sample_context_router
cattle	GCA_000176275.1	Mannheimia haemolytica serotype A2 str. BOVINE	SAMN02436661		cattle	Bos taurus													absent	Host raw	cattle	missing
cattle	GCA_000215485.2	Anaplasma marginale str. Florida	SAMN02469629		Bos taurus	Bos taurus		cattle blood	blood										absent	Isolation Source raw	cattle blood	missing
cattle	GCA_000215525.2	Anaplasma marginale str. St. Maries	SAMN02469627		Bos taurus	Bos taurus		cattle blood	blood										absent	Isolation Source raw	cattle blood	missing
cattle	GCA_000215545.2	Anaplasma marginale str. Washington Okanogan	SAMN02469626		Bos taurus	Bos taurus		cattle blood	blood										United States	Isolation Source raw	cattle blood	missing
cattle	GCA_000215565.2	Anaplasma marginale str. Oklahoma	SAMN02469631		Bos taurus	Bos taurus		cattle blood	blood										United States	Isolation Source raw	cattle blood	missing
cattle	GCA_000215585.2	Anaplasma marginale str. South Idaho	SAMN02469628		Bos taurus	Bos taurus		cattle blood	blood										United States	Isolation Source raw	cattle blood	missing
cattle	GCA_000215605.2	Anaplasma marginale str. Okeechobee	SAMN02469625		Bos taurus	Bos taurus		cattle blood	blood										United States	Isolation Source raw	cattle blood	missing
cattle	GCA_000227645.1	Brucella melitensis NI	SAMN02603116		cattle	Bos taurus													China	Host raw	cattle	missing
cattle	GCA_000238175.1	Brucella abortus A13334	SAMN02603577		cattle	Bos taurus		gastric system of dairy cattle fetus						food-associated environment					South Korea	Host raw	cattle	missing
cattle	GCA_000238175.1	Brucella abortus A13334	SAMN02603577		cattle	Bos taurus		gastric system of dairy cattle fetus						food-associated environment					South Korea	Isolation Source raw	gastric system of dairy cattle fetus	missing
cattle	GCA_000247665.4	Escherichia coli O157:H43 str. T22	SAMN02469320		cattle	Bos taurus		milk from healthy cattle	milk							healthy/no disease reported	healthy		Hungary	Host raw	cattle	missing
cattle	GCA_000247665.4	Escherichia coli O157:H43 str. T22	SAMN02469320		cattle	Bos taurus		milk from healthy cattle	milk							healthy/no disease reported	healthy		Hungary	Isolation Source raw	milk from healthy cattle	missing
cattle	GCA_000270525.1	Mycoplasmopsis bovis HB0801	SAMN02603874		cattle	Bos taurus		lung		clinical/host-associated material	clinical/host-associated material	lower respiratory tract/bronch/pleural cavity							China	Host raw	cattle	sample_context_router
cattle	GCA_000272735.4	Salmonella enterica subsp. enterica serovar Newport str. CVM 22513	SAMN01805325		Bos taurus	Bos taurus		cattle											United States	Isolation Source raw	cattle	missing
cattle	GCA_000272775.4	Salmonella enterica subsp. enterica serovar Newport str. CVM 22425	SAMN01813481		Bos taurus	Bos taurus		cattle											United States	Isolation Source raw	cattle	missing
cattle	GCA_000298515.2	Chlamydia psittaci WC	SAMN02604212		Bos taurus	Bos taurus		cattle during an outbreak of enteritis											absent	Isolation Source raw	cattle during an outbreak of enteritis	missing
cattle	GCA_000314265.1	Campylobacter jejuni subsp. jejuni BIGS0013	SAMN01795769		Cow	Bos taurus		cattle											New Zealand	Isolation Source raw	cattle	missing
chicken	GCA_000143685.1	Clostridium ljungdahlii DSM 13528	SAMN02603159		absent	Gallus gallus		chicken yard waste											absent	Isolation Source raw	chicken yard waste	missing
