review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
biofilm	GCA_000174915.1	Pseudomonas sp. UK4	SAMN02391503		absent			biofilm grown on glass slides submerged in a non-chlorinated drinking water reservoir		environmental material	environmental material		drinking/distribution water						absent	Isolation Source raw	biofilm grown on glass slides submerged in a non-chlorinated drinking water reservoir	environment_context_router
biofilm	GCA_000205145.2	Leptospirillum rubarum	SAMN02954271		absent			pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing					biofilm	terrestrial environment					United States	Environment Medium raw	biofilm	non_source_descriptor_router
biofilm	GCA_000205145.2	Leptospirillum rubarum	SAMN02954271		absent			pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing					biofilm	terrestrial environment					United States	Isolation Source raw	pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing	non_source_descriptor_router
biofilm	GCA_000262365.1	Leptospirillum sp. Group II 'C75'	SAMN02954275		absent			pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile					biofilm	terrestrial environment					United States	Environment Medium raw	air interface biofilm	non_source_descriptor_router
biofilm	GCA_000262365.1	Leptospirillum sp. Group II 'C75'	SAMN02954275		absent			pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile					biofilm	terrestrial environment					United States	Isolation Source raw	pink acid mine drainage (AMD)-air interface biofilm; microbial community collected from a pool (about 0.8 m deep, about 5 m wide) of AMD solution at pH 0.7-1.2, Temperature=40-43C that slowly drained through a pyrite pile	non_source_descriptor_router
biofilm	GCA_000297315.1	Pseudomonas aeruginosa ATCC 700888	SAMN02471986		absent			biofilm from an industrial water system		environmental material	environmental material		biofilm						absent	Isolation Source raw	biofilm from an industrial water system	environment_context_router
biofilm	GCA_000299435.1	Exiguobacterium antarcticum B7	SAMN02603748		absent			biofilm		environmental material	environmental material		biofilm						Antarctica	Isolation Source raw	biofilm	environment_context_router
biofilm	GCA_000365005.1	Limimaricola hongkongensis DSM 17492	SAMN02256514		absent			7-day-old marine biofilm in Hong Kong waters		environmental material	environmental material		biofilm	marine environment					China	Environment Broad raw	Biofilm	environment_context_router
biofilm	GCA_000365005.1	Limimaricola hongkongensis DSM 17492	SAMN02256514		absent			7-day-old marine biofilm in Hong Kong waters		environmental material	environmental material		biofilm	marine environment					China	Isolation Source raw	7-day-old marine biofilm in Hong Kong waters	environment_context_router
biofilm	GCA_000373205.1	Calidithermus timidus DSM 17022	SAMN02441032		absent			Biofilm sample from a hot spring		environmental material	environmental material		hot spring water	geologic/extreme environment	hot spring				Portugal	Environment Broad raw	Hot spring; Aquatic; Biofilm	environment_context_router
biofilm	GCA_000373205.1	Calidithermus timidus DSM 17022	SAMN02441032		absent			Biofilm sample from a hot spring		environmental material	environmental material		hot spring water	geologic/extreme environment	hot spring				Portugal	Isolation Site raw	Biofilm sample from a hot spring	environment_context_router
biofilm	GCA_000373205.1	Calidithermus timidus DSM 17022	SAMN02441032		absent			Biofilm sample from a hot spring		environmental material	environmental material		hot spring water	geologic/extreme environment	hot spring				Portugal	Isolation Source raw	Biofilm sample from a hot spring	environment_context_router
biofilm	GCA_000373645.1	Streptomyces sp. ATexAB-D23	SAMN02441037		absent			TA reactor biofilm		environmental material	environmental material		biofilm						absent	Environment Broad raw	Biofilm	environment_context_router
biofilm	GCA_000373645.1	Streptomyces sp. ATexAB-D23	SAMN02441037		absent			TA reactor biofilm		environmental material	environmental material		biofilm						absent	Isolation Site raw	TA reactor biofilm	environment_context_router
biofilm	GCA_000373645.1	Streptomyces sp. ATexAB-D23	SAMN02441037		absent			TA reactor biofilm		environmental material	environmental material		biofilm						absent	Isolation Source raw	TA reactor biofilm	environment_context_router
biofilm	GCA_000380305.1	Porphyromonas gingivalis JCVI SC001	SAMN02436407		absent			biofilm in a hospital bathroom sink drain	drain	healthcare-associated environment	healthcare-associated environment		biofilm	healthcare-associated environment	healthcare facility				absent	Isolation Source raw	biofilm in a hospital bathroom sink drain	environment_context_router
biofilm	GCA_000385635.1	candidate division TM6 bacterium JCVI TM6SC1	SAMN02436396		absent			single cell isolated from hospital sink drain biofilm; amplified by MDA	single cell	healthcare-associated environment	healthcare-associated environment		biofilm	healthcare-associated environment	healthcare facility				United States	Isolation Source raw	single cell isolated from hospital sink drain biofilm; amplified by MDA	environment_context_router
biofilm	GCA_000421565.1	Agromyces subbeticus DSM 16689	SAMN02441229		absent	Chiroptera		Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba		environmental material	environmental material		biofilm		cave				Spain	Environment Broad raw	Cave; Biofilm	environment_context_router
biofilm	GCA_000421565.1	Agromyces subbeticus DSM 16689	SAMN02441229		absent	Chiroptera		Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba		environmental material	environmental material		biofilm		cave				Spain	Isolation Site raw	Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba	environment_context_router
biofilm	GCA_000421565.1	Agromyces subbeticus DSM 16689	SAMN02441229		absent	Chiroptera		Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba		environmental material	environmental material		biofilm		cave				Spain	Isolation Source raw	Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba	environment_context_router
