review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
canal	GCA_000242335.3	Prevotella dentalis DSM 3688	SAMN02232045		Homo sapiens	Homo sapiens		dental root canal		clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment					absent	Isolation Site raw	Human dental root canal	sample_context_router
canal	GCA_000242335.3	Prevotella dentalis DSM 3688	SAMN02232045		Homo sapiens	Homo sapiens		dental root canal		clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment					absent	Isolation Source raw	dental root canal	sample_context_router
canal	GCA_000252525.1	SAR86 cluster bacterium SAR86A	SAMN02954345					isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands		environmental material	environmental material		agricultural/food-production water	marine environment	canal				Pacific Ocean	Isolation Source raw	isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands	environment_context_router
canal	GCA_000252545.1	SAR86 cluster bacterium SAR86B	SAMN02954345					isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands		environmental material	environmental material		agricultural/food-production water	marine environment	canal				Pacific Ocean	Isolation Source raw	isolated as part of a large dataset composed predominantly from surface water marine samples collected along a voyage from Eastern North American coast to the Eastern Pacific Ocean, including locations in the Sargasso Sea, Panama Canal, and the Galapagos Islands	environment_context_router
canal	GCA_000312465.1	Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681	SAMN02469678		absent			canal water		environmental material	environmental material		canal water		canal				United States	Isolation Source raw	canal water	environment_context_router
canal	GCA_000319735.1	Bacillus sp. WBUNB009	SAMN02472121		absent			raw sewage canal		environmental material	environmental material		sewage	wastewater/sewage	canal				India	Isolation Source raw	raw sewage canal	environment_context_router
canal	GCA_000734905.1	Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681	SAMN02742758		absent			canal water		environmental material	environmental material		canal water		canal				Netherlands	Isolation Source raw	canal water	environment_context_router
canal	GCA_000737245.1	Pseudomonas syringae	SAMN02929200		absent			irrigation canal		environmental material	environmental material				irrigation canal				France	Isolation Source raw	irrigation canal	environment_context_router
canal	GCA_000875755.1	Mycoplasma yeatsii GM274B	SAMN02700145		goat	Capra hircus		Ear canal of goat		clinical/host-associated material	clinical/host-associated material	organ/tissue site							United States	Isolation Site raw	ear canal	sample_context_router
canal	GCA_000875755.1	Mycoplasma yeatsii GM274B	SAMN02700145		goat	Capra hircus		Ear canal of goat		clinical/host-associated material	clinical/host-associated material	organ/tissue site							United States	Isolation Source raw	Ear canal of goat	sample_context_router
canal	GCA_000955645.1	Prevotella intermedia ZT	SAMN02212661		Homo sapiens	Homo sapiens		root canal		clinical/host-associated material	clinical/host-associated material	oral cavity		plant-associated environment		periodontal disease	diseased		China	Isolation Source raw	root canal	sample_context_router
canal	GCA_000971805.1	Mycobacteroides chelonae	SAMN02837161		tortoise	Testudines		tubercle		tubercle						infectious disease	diseased		France	Host Disease raw	cutaneous infection, pulmonary disease, Diabetes mellitus, dacryocystitis, canaliculitis, conjunctivitis, scleritis, endophthalmitis, keratitis	standardizer
canal	GCA_001540885.1	Lacticaseibacillus paracasei	SAMN03702539		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540895.1	Lactococcus lactis	SAMN03702540		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540905.1	Levilactobacillus brevis	SAMN03702532		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540925.1	Lactiplantibacillus plantarum	SAMN03702584		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001540965.1	Lactiplantibacillus plantarum	SAMN03702585		bovine	Bos taurus		teat canal	swab						canal				France	Isolation Source raw	teat canal	ambiguous_context_router
canal	GCA_001553565.1	Actinomyces radicidentis	SAMN04435863		Homo sapiens	Homo sapiens		Infected tooth root canal	culture	clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment			diseased		Sweden	Environment Local raw	Infected tooth root canal	sample_context_router
canal	GCA_001553565.1	Actinomyces radicidentis	SAMN04435863		Homo sapiens	Homo sapiens		Infected tooth root canal	culture	clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment			diseased		Sweden	Environment Medium raw	root canal scraping	sample_context_router
canal	GCA_001553565.1	Actinomyces radicidentis	SAMN04435863		Homo sapiens	Homo sapiens		Infected tooth root canal	culture	clinical/host-associated material	clinical/host-associated material	oral cavity		host-associated environment			diseased		Sweden	Isolation Source raw	Infected tooth root canal	sample_context_router
