review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
chicken	GCA_000143685.1	Clostridium ljungdahlii DSM 13528	SAMN02603159		absent	Gallus gallus		chicken yard waste											absent	Isolation Source raw	chicken yard waste	missing
chicken	GCA_000184805.2	Campylobacter jejuni subsp. jejuni DFVF1099	SAMN02469773		chicken	Gallus gallus		slaughterhouse	food processing environment	food processing environment	food/processing environment								absent	Host raw	chicken	food_source_context
chicken	GCA_000190575.1	Phocaeicola salanitronis DSM 18170	SAMN00713589		chicken	Gallus gallus		cecum	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract							Japan	Host raw	chicken	sample_context_router
chicken	GCA_000190575.1	Phocaeicola salanitronis DSM 18170	SAMN00713589		chicken	Gallus gallus		cecum	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract							Japan	Isolation Site raw	caecum of chicken	sample_context_router
chicken	GCA_000191665.1	Escherichia fergusonii ECD227	SAMN02470542		Gallus gallus domesticus	Gallus gallus		a healthy broiler chicken at farm	broiler	clinical/host-associated material	clinical/host-associated material				farm	healthy/no disease reported	healthy		Canada	Isolation Source raw	a healthy broiler chicken at farm	sample_context_router
chicken	GCA_000192125.1	Salmonella enterica subsp. enterica serovar Gallinarum str. SG9	SAMN02225854		Chicken	Gallus gallus		feces	feces/stool	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				United Kingdom	Host raw	Chicken	sample_context_router
chicken	GCA_000204375.3	Clostridium botulinum V891	SAMN02470655		chicken	Gallus gallus													Sweden	Host raw	chicken	missing
chicken	GCA_000242375.2	Campylobacter jejuni subsp. jejuni P110B	SAMN00113350		chicken	Gallus gallus		fresh, whole chicken carcass purchased from a supermarket	chicken carcass	poultry meat/product	food/meat								New Zealand	Host raw	chicken	food_source_context
chicken	GCA_000242375.2	Campylobacter jejuni subsp. jejuni P110B	SAMN00113350		chicken	Gallus gallus		fresh, whole chicken carcass purchased from a supermarket	chicken carcass	poultry meat/product	food/meat								New Zealand	Isolation Source raw	fresh, whole chicken carcass purchased from a supermarket	food_source_context
chicken	GCA_000253455.2	Campylobacter coli Z163	SAMN02429053		chicken	Gallus gallus													Switzerland	Host raw	chicken	missing
chicken	GCA_000253635.2	Campylobacter coli 80352	SAMN02429019		chicken	Gallus gallus													United States	Host raw	chicken	missing
chicken	GCA_000253655.2	Campylobacter coli 86119	SAMN02428969		chicken	Gallus gallus													United States	Host raw	chicken	missing
chicken	GCA_000254235.2	Campylobacter coli Z156	SAMN02429004		chicken	Gallus gallus													Switzerland	Host raw	chicken	missing
chicken	GCA_000254275.2	Campylobacter jejuni subsp. jejuni 51494	SAMN02429005		chicken	Gallus gallus													United States	Host raw	chicken	missing
chicken	GCA_000254295.2	Campylobacter jejuni subsp. jejuni LMG 23216	SAMN02428944		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Host raw	chicken	sample_context_router
chicken	GCA_000254295.2	Campylobacter jejuni subsp. jejuni LMG 23216	SAMN02428944		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	broiler feces from chicken farm collected between 1998-2001	sample_context_router
chicken	GCA_000254315.2	Campylobacter jejuni subsp. jejuni LMG 23218	SAMN02429006		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Host raw	chicken	sample_context_router
chicken	GCA_000254315.2	Campylobacter jejuni subsp. jejuni LMG 23218	SAMN02429006		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	broiler feces from chicken farm collected between 1998-2001	sample_context_router
chicken	GCA_000254335.2	Campylobacter jejuni subsp. jejuni LMG 23223	SAMN02428945		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Host raw	chicken	sample_context_router
chicken	GCA_000254335.2	Campylobacter jejuni subsp. jejuni LMG 23223	SAMN02428945		chicken	Gallus gallus		broiler feces from chicken farm collected between 1998-2001	broiler	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				Belgium	Isolation Source raw	broiler feces from chicken farm collected between 1998-2001	sample_context_router
