review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
cow	GCA_000009005.1	Staphylococcus aureus RF122	SAMEA3138186		Bos taurus (cow)	Bos taurus													Ireland	Host raw	Bos taurus (cow)	missing
cow	GCA_000024925.1	Sanguibacter keddieii DSM 10542	SAMN02598426		Cow	Bos taurus		Blood of dairy cows	blood	dairy food	food/dairy			food-associated environment			healthy		Spain	Host raw	Cow	food_source_context
cow	GCA_000024925.1	Sanguibacter keddieii DSM 10542	SAMN02598426		Cow	Bos taurus		Blood of dairy cows	blood	dairy food	food/dairy			food-associated environment			healthy		Spain	Isolation Site raw	Blood of dairy cows	food_source_context
cow	GCA_000024925.1	Sanguibacter keddieii DSM 10542	SAMN02598426		Cow	Bos taurus		Blood of dairy cows	blood	dairy food	food/dairy			food-associated environment			healthy		Spain	Isolation Source raw	Blood of dairy cows	food_source_context
cow	GCA_000152065.3	Corynebacterium pseudotuberculosis I19	SAMN02603739		bovine	Bos taurus		mastitis abscess from cow with severe clinical mastitis in two quarters	clinical sample	clinical/host-associated material	clinical/host-associated material	abscess		clinical/host-associated material		mastitis	diseased		Israel	Isolation Source raw	mastitis abscess from cow with severe clinical mastitis in two quarters	sample_context_router
cow	GCA_000178155.2	Hominimerdicola alba 8	SAMN02436640		cow	Bos taurus		dairy cow rumen	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract		food-associated environment					absent	Host raw	cow	sample_context_router
cow	GCA_000178155.2	Hominimerdicola alba 8	SAMN02436640		cow	Bos taurus		dairy cow rumen	gut content	clinical/host-associated material	clinical/host-associated material	gastrointestinal tract		food-associated environment					absent	Isolation Source raw	dairy cow rumen	sample_context_router
cow	GCA_000194175.2	Escherichia coli 1.2741	SAMN02436330		cow	Bos taurus													absent	Host raw	cow	missing
cow	GCA_000194215.2	Escherichia coli 97.0246	SAMN02436471		cow	Bos taurus													absent	Host raw	cow	missing
cow	GCA_000194295.2	Escherichia coli 97.0264	SAMN02436632		cow	Bos taurus													absent	Host raw	cow	missing
cow	GCA_000194335.2	Escherichia coli 4.0522	SAMN02436552		cow	Bos taurus													absent	Host raw	cow	missing
cow	GCA_000211395.2	Escherichia coli AA86	SAMN02470896		cow	Bos taurus		healthy cow feces	feces/stool					host-associated gut/oral/fecal environment	gut/fecal local context	healthy/no disease reported	healthy		absent	Host raw	cow	missing
cow	GCA_000211395.2	Escherichia coli AA86	SAMN02470896		cow	Bos taurus		healthy cow feces	feces/stool					host-associated gut/oral/fecal environment	gut/fecal local context	healthy/no disease reported	healthy		absent	Isolation Source raw	healthy cow feces	missing
cow	GCA_000215145.2	Escherichia coli 5.0588	SAMN02436554		cow	Bos taurus													absent	Host raw	cow	missing
cow	GCA_000215285.2	Escherichia coli 3.3884	SAMN02436475		cow	Bos taurus													absent	Host raw	cow	missing
cow	GCA_000215345.3	Aliarcobacter butzleri 7h1h	SAMN02604193		Bos taurus	Bos taurus		feces of a healthy dairy cow	feces/stool					food-associated environment	gut/fecal local context	healthy/no disease reported	healthy		United Kingdom	Isolation Source raw	feces of a healthy dairy cow	missing
cow	GCA_000240525.2	Mycobacterium avium subsp. paratuberculosis ATCC 19698	SAMN02472018		cow	Bos taurus		feces	feces/stool	clinical/host-associated material	clinical/host-associated material			host-associated gut/oral/fecal environment	gut/fecal local context				absent	Host raw	cow	sample_context_router
cow	GCA_000243335.1	Leptonema illini DSM 21528	SAMN02256522		Bos taurus (cow)	Bos taurus		urine of a bull	urine	clinical/host-associated material	clinical/host-associated material								United States	Host raw	Bos taurus (cow)	sample_context_router
cow	GCA_000254935.2	Campylobacter jejuni subsp. jejuni 1213	SAMN02429051		bovine	Bos taurus		dairy cow, adult						food-associated environment					United States	Isolation Source raw	dairy cow, adult	missing
cow	GCA_000254955.2	Campylobacter jejuni subsp. jejuni 1577	SAMN02428996		bovine	Bos taurus		dairy cow, adult						food-associated environment					United States	Isolation Source raw	dairy cow, adult	missing
